,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Opener2,Bovada,Heritage,Intertops,Youwager,Opener3,Justbet,Sportsbetting,Gtbets,Sportbet,Opener4,Nitrogensports,Betphoenix,Betmania,Skybook,Opener5,Mybookie,Abcislands,Jazz,Sportsinteraction,Opener6,Betcris,Sbr,Wagerweb,Thegreek,Opener7,Bodog,Matchbook,Looselines,Bet365
0,0,"Mon Jan 21, 2019",Oklahoma City,15,56%,-,-,+240,-414,-400,+240,-500,-515,-450,-425,+240,-485,-440,-420,-400,+240,-437,-459,-459,-459,+240,-470,-,-,-450,+240,-420,-460,-515,-450,+240,-500,-500,-,-425
1,0,"Mon Jan 21, 2019",New York,14,44%,-,-,-300,+356,+355,-300,+350,+390,+350,+325,-300,+374,+370,+320,+355,-300,+349,+359,+359,+359,-300,+380,-,-,+345,-300,+330,+358,+390,+350,-300,+350,+395,-,+325
2,1,"Mon Jan 21, 2019",Chicago,14,52%,-,-,-,-130,-420,-130,-150,-140,-140,-140,-130,-145,-148,-130,-135,-130,-140,-140,-140,-140,-130,-140,-,-,-150,-130,-145,-135,-140,-145,-130,-150,-141,-,-140
3,1,"Mon Jan 21, 2019",Cleveland,-,48%,-,-,-,+110,+330,+110,+130,+120,+120,+120,+110,+125,+128,+110,+125,+110,+121,+120,+120,+120,+110,+120,-,-,+130,+110,+125,+115,+120,+125,+110,+130,+115,-,+120
4,2,"Mon Jan 21, 2019",Detroit,-,54%,+150,+198,+205,+199,-440,+150,+200,+200,+195,+180,+150,+199,+205,+200,+205,+150,+195,+200,+200,+200,+150,+195,-,-,+200,+150,+199,+199,+200,+185,+150,+200,+206,-,+190
5,2,"Mon Jan 21, 2019",Washington,-,46%,-180,-221,-225,-240,+370,-180,-240,-235,-235,-220,-180,-240,-245,-235,-225,-180,-229,-240,-240,-240,-180,-245,-,-,-250,-180,-240,-240,-235,-225,-180,-240,-210,-,-230
6,3,"Mon Jan 21, 2019",Dallas,17,62%,+525,+590,+568,+588,-136,+525,+500,+570,+525,+550,+525,+616,+575,+550,+568,+525,+582,+545,+545,+620,+525,+570,-,-,+550,+525,+588,+588,+585,+500,+525,+500,+610,-,+525
7,3,"Mon Jan 21, 2019",Milwaukee,8,38%,-750,-730,-700,-850,+123,-750,-800,-745,-750,-750,-750,-904,-750,-750,-700,-750,-813,-795,-820,-820,-750,-820,-,-,-755,-750,-850,-850,-785,-700,-750,-800,-660,-,-750
8,4,"Mon Jan 21, 2019",Orlando,8,60%,-105,+105,+110,-105,-135,-105,+100,+100,+100,+105,-105,-105,+100,-,+110,-105,+103,+100,-,-,-105,+100,-,-,-110,-105,-105,-105,+100,-105,-105,+100,+110,-,+105
9,4,"Mon Jan 21, 2019",Atlanta,-,40%,-125,-116,-120,-115,+125,-125,-120,-120,-120,-125,-125,-115,-120,-,-120,-125,-119,-120,-,-,-125,-120,-,-,-110,-125,-115,-115,-120,-115,-125,-120,-115,-,-125
