,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value
0,0,"Mon Jan 21, 2019",Oklahoma City,530,56%,+240,-414,-400,-420,-440,+185,+200,+185,+180,-485,-440,-420,-400,-105,-459,-459,-459,-470,-,-,-450,-420,-460,-515,-450,-500,-500,-,-425,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
1,0,"Mon Jan 21, 2019",New York,Toronto,44%,-300,+356,+355,+330,+370,-225,-235,-225,-220,+374,+370,+320,+355,-125,+359,+359,+359,+380,-,-,+345,+330,+358,+390,+350,+350,+395,-,+325,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
2,1,"Mon Jan 21, 2019",Chicago,+450,54%,-130,-136,-135,-145,-148,+475,+570,+500,+550,-145,-148,-130,-135,-140,-140,-140,-140,-140,-,-,-150,-145,-135,-140,-145,-150,-141,-,-140,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
3,1,"Mon Jan 21, 2019",Cleveland,-675,46%,+110,+123,+125,+125,+128,-750,-745,-700,-750,+125,+128,+110,+125,+121,+120,+120,+120,+120,-,-,+130,+125,+115,+120,+125,+130,+115,-,+120,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
4,2,"Mon Jan 21, 2019",Detroit,+450,54%,+150,+193,+195,+184,+205,+120,+110,+115,+110,+184,+205,+195,+195,-141,+193,+193,+193,+190,-,-,+200,+184,+199,+200,+185,+185,+196,-,+180,182.55555555555554,0.3570102144628054,200,0.3333333333333333,0.3070102144628054,0,2.0,-0.07896935661158377
5,2,"Mon Jan 21, 2019",Washington,-675,46%,-180,-215,-215,-220,-245,-140,-130,-135,-130,-220,-245,-225,-215,+106,-233,-233,-233,-235,-,-,-250,-220,-240,-235,-225,-225,-198,-,-220,-214.83333333333334,0.6790111065172577,-135,0.574468085106383,0.6290111065172577,1,0.7407407407407407,0.09494525949300409
6,3,"Mon Jan 21, 2019",Dallas,-675,54%,+525,+547,+568,+562,+545,+145,+145,+145,+135,+562,+545,+550,+568,+252,+515,+545,+620,+540,-,-,+555,+562,+534,+560,+500,+475,+550,-,+525,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
7,3,"Mon Jan 21, 2019",Milwaukee,-,46%,-750,-668,-700,-800,-710,-165,-165,-165,-155,-800,-710,-750,-700,-370,-765,-820,-820,-790,-,-,-760,-800,-750,-735,-700,-750,-630,-,-750,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
8,4,"Mon Jan 21, 2019",Orlando,-,54%,-105,+117,+115,+125,+118,+125,+125,+125,+130,+125,+118,+110,+115,+117,+110,-,-,+115,-,-,+110,+125,+125,+110,+115,+120,+121,-,+110,118.6875,0.45752269493491327,125,0.4444444444444444,0.4075226949349133,0,1.25,-0.08307393639644511
9,4,"Mon Jan 21, 2019",Atlanta,-,46%,-125,-129,-125,-145,-138,-145,-145,-145,-150,-145,-138,-130,-125,-156,-130,-,-,-135,-,-,-130,-145,-145,-130,-135,-140,-124,-,-130,-137.875,0.5793150458610827,-130,0.5652173913043479,0.5293150458610827,0,0.7692307692307693,-0.06351953424577678
