,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365
0,0,"Sun Dec 31, 2017",Chicago,110,56%,250,292,290,289,280,270,290,275,280,289,280,270,290,-,270,270,270,280,285,285,290,289,263,290,280,270,310,285,270
1,0,"Sun Dec 31, 2017",Washington,114,44%,-300,-333,-320,-360,-335,-340,-360,-340,-340,-360,-335,-340,-320,-,-330,-330,-330,-350,-360,-360,-370,-360,-325,-360,-340,-340,-320,-360,-340
2,1,"Sun Dec 31, 2017",Minnesota,107,45%,-145,-144,-145,-150,-150,-150,-145,-150,-150,-150,-150,-150,-145,-,-150,-150,-150,-150,-150,-150,-145,-150,-150,-145,-150,-150,-139,-150,-150
3,1,"Sun Dec 31, 2017",Indiana,90,55%,125,130,135,130,130,130,125,130,130,130,130,130,135,-,130,130,130,130,125,125,125,130,130,125,130,130,133,125,130
4,2,"Sun Dec 31, 2017",Brooklyn,105,67%,425,390,400,384,385,375,400,390,400,384,385,370,400,-,428,428,428,385,385,385,430,384,416,400,425,375,400,385,400
5,2,"Sun Dec 31, 2017",Boston,108,33%,-550,-457,-450,-500,-460,-550,-525,-520,-500,-500,-460,-470,-450,-,-548,-548,-548,-520,-505,-505,-560,-500,-550,-525,-550,-550,-450,-505,-525
6,3,"Sun Dec 31, 2017",Dallas,116,44%,200,264,285,274,260,275,285,255,280,274,260,265,285,-,265,265,265,270,280,280,265,274,274,285,280,275,272,280,270
7,3,"Sun Dec 31, 2017",Oklahoma City,113,56%,-240,-300,-315,-340,-310,-350,-355,-310,-340,-340,-310,-330,-315,-,-325,-325,-325,-340,-350,-350,-335,-340,-340,-355,-340,-350,-292,-350,-340
8,4,"Sun Dec 31, 2017",Memphis,114,48%,130,118,120,110,115,115,115,110,115,110,115,115,120,-,115,115,115,115,110,110,110,110,110,115,120,115,120,110,115
9,4,"Sun Dec 31, 2017",Sacramento,96,52%,-150,-130,-130,-130,-135,-135,-135,-130,-135,-130,-135,-135,-130,-,-135,-135,-135,-135,-130,-130,-130,-130,-130,-135,-140,-135,-127,-130,-135
10,5,"Sun Dec 31, 2017",L.A. Lakers,142,71%,1000,998,1100,912,850,750,1050,800,910,912,850,950,1100,-,700,900,900,865,775,775,800,912,837,1050,900,750,1000,775,950
11,5,"Sun Dec 31, 2017",Houston,148,29%,-1500,-1400,-1400,-1600,-1250,-1400,-1600,-1600,-1400,-1600,-1250,-1450,-1400,-,-1100,-1500,-1500,-1430,-1275,-1275,-1395,-1600,-1400,-1600,-1500,-1400,-1150,-1275,-1600
12,6,"Sun Dec 31, 2017",Charlotte,98,44%,120,111,115,105,108,110,110,105,105,105,108,110,115,-,110,110,110,110,110,110,105,105,105,110,110,110,113,110,105
13,6,"Sun Dec 31, 2017",L.A. Clippers,106,56%,-140,-123,-125,-125,-128,-130,-130,-125,-125,-125,-128,-130,-125,-,-130,-130,-130,-130,-130,-130,-125,-125,-125,-130,-130,-130,-124,-130,-125
14,7,"Sun Dec 31, 2017",Philadelphia,123,49%,-140,-158,-160,-160,-160,-165,-160,-160,-160,-160,-160,-165,-160,-,-165,-165,-165,-165,-165,-165,-165,-160,-165,-160,-165,-165,-155,-165,-160
15,7,"Sun Dec 31, 2017",Phoenix,110,51%,120,143,150,140,140,145,140,140,140,140,140,145,150,-,145,145,145,140,140,140,140,140,144,140,145,145,146,140,140
0,0,"Sat Dec 30, 2017",New York,105,46%,190,199,200,188,195,190,195,185,185,188,195,190,200,-,190,190,190,185,195,195,195,188,188,195,180,190,560,195,195
1,0,"Sat Dec 30, 2017",New Orleans,103,54%,-230,-222,-220,-225,-225,-230,-230,-225,-220,-225,-225,-220,-220,-,-230,-230,-230,-225,-235,-235,-240,-225,-225,-230,-220,-230,-1100,-235,-235
2,1,"Sat Dec 30, 2017",Miami,117,51%,-117,-110,-118,-115,-115,-120,-115,-120,-125,-115,-115,-,-118,-,-120,-120,-120,-130,-120,-120,-125,-115,-115,-115,-115,-120,350,-120,-120
3,1,"Sat Dec 30, 2017",Orlando,111,49%,-103,-100,108,-105,-105,100,-105,100,105,-105,-105,-,108,-,100,100,100,110,100,100,105,-105,-105,-105,-105,100,-570,100,100
4,2,"Sat Dec 30, 2017",San Antonio,79,60%,-200,-190,-190,-200,-195,-200,-210,-200,-200,-200,-195,-200,-190,-,-200,-200,-200,-200,-200,-200,-250,-200,-200,-210,-200,-200,-1650,-200,-200
5,2,"Sat Dec 30, 2017",Detroit,93,40%,170,171,175,170,170,170,180,170,175,170,170,170,175,-,170,170,170,170,165,165,200,170,170,180,170,170,-1500,165,170
6,3,"Sat Dec 30, 2017",Portland,89,58%,-165,-120,-125,-125,-130,-135,-135,-130,-130,-125,-130,-130,-125,-,-130,-130,-130,-130,-130,-130,-140,-125,-140,-135,-130,-135,3800,-130,-130
7,3,"Sat Dec 30, 2017",Atlanta,104,42%,145,109,115,105,110,115,115,110,110,105,110,110,115,-,110,110,110,110,110,110,120,105,120,115,110,115,-940,110,110
8,4,"Sat Dec 30, 2017",Cleveland,101,66%,-160,-143,-145,-145,-150,-150,-155,-140,-145,-145,-150,-150,-145,-,-145,-145,-145,-150,-150,-150,-160,-145,-165,-155,-150,-150,-460,-150,-150
9,4,"Sat Dec 30, 2017",Utah,104,34%,140,129,135,125,130,130,135,120,125,125,130,130,135,-,125,125,125,130,125,125,140,125,144,135,130,130,-2700,125,130
10,5,"Sat Dec 30, 2017",Memphis,128,51%,775,1051,1050,912,975,800,1125,775,955,912,975,950,1050,-,900,-,-,900,790,790,915,912,818,1125,900,800,960,790,950
11,5,"Sat Dec 30, 2017",Golden State,141,49%,-1200,-1500,-1300,-1600,-1500,-1700,-1675,-1500,-1500,-1600,-1500,-1450,-1300,-,-1500,-,-,-1500,-1310,-1310,-1515,-1600,-1350,-1675,-1500,-1700,-1350,-1310,-1600
12,6,"Sat Dec 30, 2017",Philadelphia,107,56%,255,239,248,237,230,240,250,235,240,237,230,240,248,-,240,240,240,240,240,240,240,237,230,250,240,240,246,240,240
13,6,"Sat Dec 30, 2017",Denver,102,44%,-310,-270,-270,-290,-275,-280,-310,-275,-280,-290,-275,-280,-270,-,-280,-280,-280,-300,-295,-295,-295,-290,-280,-310,-280,-280,-262,-295,-300
0,0,"Fri Dec 29, 2017",Houston,103,63%,-118,-118,-125,-120,-117,-135,-125,-130,-130,-120,-117,-130,-125,-,-130,-130,-130,-130,-125,-125,-130,-120,-135,-125,-125,-135,-118,-125,-130
1,0,"Fri Dec 29, 2017",Washington,121,37%,-102,107,115,100,-103,115,105,110,110,100,-103,110,115,-,110,110,110,110,105,105,110,100,115,105,105,115,114,105,110
2,1,"Fri Dec 29, 2017",Atlanta,98,43%,500,520,500,506,500,450,510,460,500,506,500,480,500,-,500,-,-,490,490,490,525,506,506,510,450,450,540,490,475
3,1,"Fri Dec 29, 2017",Toronto,111,57%,-700,-630,-600,-700,-650,-700,-660,-640,-700,-700,-650,-630,-600,-,-700,-,-,-680,-680,-680,-740,-700,-700,-660,-600,-700,-610,-680,-650
4,2,"Fri Dec 29, 2017",Indiana,107,45%,130,125,135,115,115,140,135,130,130,115,115,130,135,-,135,135,135,130,120,120,130,115,120,135,130,140,129,120,135
5,2,"Fri Dec 29, 2017",Chicago,119,55%,-150,-138,-145,-135,-135,-160,-155,-150,-150,-135,-135,-150,-145,-,-155,-155,-155,-150,-145,-145,-150,-135,-140,-155,-150,-160,-137,-145,-155
6,3,"Fri Dec 29, 2017",Milwaukee,97,58%,315,188,215,215,200,210,200,200,210,215,200,205,215,-,220,220,220,200,195,195,220,215,215,200,200,210,198,195,205
7,3,"Fri Dec 29, 2017",Oklahoma City,95,42%,-380,-210,-235,-260,-240,-250,-235,-240,-250,-260,-240,-245,-235,-,-260,-260,-260,-250,-235,-235,-270,-260,-260,-235,-240,-250,-222,-235,-245
8,4,"Fri Dec 29, 2017",Dallas,128,43%,220,239,235,222,230,235,240,230,225,222,230,225,235,-,235,235,235,230,235,230,235,222,199,240,220,235,236,230,220
9,4,"Fri Dec 29, 2017",New Orleans,120,57%,-240,-270,-255,-270,-275,-275,-290,-270,-265,-270,-275,-265,-255,-,-275,-275,-275,-280,-290,-280,-285,-270,-240,-290,-260,-275,-254,-280,-270
10,5,"Fri Dec 29, 2017",Brooklyn,111,54%,210,199,215,199,200,220,200,200,200,199,200,205,215,-,205,205,205,195,205,205,205,199,199,200,200,220,214,205,200
11,5,"Fri Dec 29, 2017",Miami,87,46%,-250,-222,-235,-240,-240,-260,-235,-240,-240,-240,-240,-245,-235,-,-245,-245,-245,-245,-250,-250,-255,-240,-240,-235,-240,-260,-234,-250,-240
12,6,"Fri Dec 29, 2017",Phoenix,111,50%,120,128,130,125,125,125,125,120,125,125,125,125,130,-,130,130,130,125,120,120,125,125,125,125,125,125,131,120,125
13,6,"Fri Dec 29, 2017",Sacramento,101,50%,-130,-141,-140,-145,-145,-145,-145,-140,-145,-145,-145,-145,-140,-,-150,-150,-150,-145,-145,-145,-145,-145,-145,-145,-145,-145,-141,-145,-145
14,7,"Fri Dec 29, 2017",L.A. Clippers,121,44%,-145,-147,-150,-140,-145,-150,-150,-155,-155,-140,-145,-155,-150,-,-155,-155,-155,-150,-155,-155,-150,-140,-140,-150,-155,-150,-139,-155,-150
15,7,"Fri Dec 29, 2017",L.A. Lakers,106,56%,135,133,140,120,125,130,130,135,135,120,125,135,140,-,135,135,135,130,130,130,130,120,120,130,135,130,132,130,130
16,8,"Fri Dec 29, 2017",Charlotte,111,41%,500,446,450,416,430,400,470,410,445,416,430,425,450,-,450,-,-,430,430,430,465,416,416,470,425,400,490,430,400
17,8,"Fri Dec 29, 2017",Golden State,100,59%,-700,-530,-525,-550,-525,-600,-620,-550,-550,-550,-525,-550,-525,-,-600,-,-,-580,-580,-580,-575,-550,-550,-620,-550,-600,-600,-580,-525
0,0,"Thu Dec 28, 2017",Detroit,89,53%,-190,-163,-165,-170,-165,-175,-170,-170,-170,-170,-165,-148,-165,-,-170,-170,-170,-170,-175,-175,-170,-170,-170,-170,-170,-175,-159,-175,-170
1,0,"Thu Dec 28, 2017",Orlando,102,47%,165,147,155,148,145,155,150,150,150,148,145,150,155,-,150,150,150,145,145,145,145,148,148,150,150,155,154,145,150
2,1,"Thu Dec 28, 2017",Houston,98,39%,-125,-123,-125,-120,-122,-130,-125,-125,-130,-120,-122,-130,-125,-,-120,-120,-120,-130,-125,-125,-130,-120,-120,-125,-125,-130,-122,-125,-125
3,1,"Thu Dec 28, 2017",Boston,99,61%,105,111,115,100,102,110,105,105,110,100,102,110,115,-,100,100,100,110,105,105,110,100,100,105,105,110,116,105,105
4,2,"Thu Dec 28, 2017",Minnesota,96,45%,145,162,167,160,155,155,155,160,155,160,155,165,167,-,163,163,163,160,160,160,150,160,151,155,160,155,169,160,160
5,2,"Thu Dec 28, 2017",Milwaukee,102,55%,-155,-180,-178,-185,-175,-175,-175,-180,-175,-185,-175,-185,-178,-,-183,-183,-183,-190,-190,-190,-175,-185,-175,-175,-180,-175,-172,-190,-180
6,3,"Thu Dec 28, 2017",New York,107,45%,550,480,480,477,475,415,495,500,450,477,475,450,480,-,475,-,-,465,465,465,445,477,614,495,450,415,500,465,475
7,3,"Thu Dec 28, 2017",San Antonio,119,55%,-800,-575,-570,-650,-600,-630,-645,-700,-600,-650,-600,-600,-570,-,-650,-,-,-630,-645,-645,-595,-650,-900,-645,-600,-630,-540,-645,-650
8,4,"Thu Dec 28, 2017",Philadelphia,110,56%,145,-123,-130,-130,-130,-135,-135,-130,-140,-130,-130,120,-130,-,-135,-135,-135,-135,-135,-135,-135,-130,115,-135,-130,-135,-118,-135,-135
9,4,"Thu Dec 28, 2017",Portland,114,44%,-155,111,120,110,110,115,115,110,120,110,110,-140,120,-,115,115,115,115,115,115,115,110,-135,115,110,115,112,115,115
0,0,"Wed Dec 27, 2017",Boston,102,57%,-112,-107,-105,-110,-115,-125,-120,-115,-115,-110,-115,-117,-105,-,-115,-125,-125,-,-110,-115,-120,-110,-115,-120,-110,-125,-103,-115,-110
1,0,"Wed Dec 27, 2017",Charlotte,91,43%,102,-103,-105,-110,-105,105,100,-105,-105,-110,-105,-103,-105,-,-105,105,105,-,-110,-105,100,-110,-105,100,-110,105,101,-105,-110
2,1,"Wed Dec 27, 2017",Dallas,98,44%,175,153,150,144,160,150,145,145,145,144,160,145,150,-,145,145,145,145,140,140,150,144,151,145,145,150,166,140,145
3,1,"Wed Dec 27, 2017",Indiana,94,56%,-210,-170,-160,-165,-180,-170,-165,-165,-165,-165,-180,-165,-160,-,-165,-165,-165,-170,-170,-170,-175,-165,-175,-165,-165,-170,-181,-170,-165
4,2,"Wed Dec 27, 2017",Washington,99,59%,-220,-225,-225,-215,-225,-235,-245,-235,-225,-215,-225,-235,-225,-,-230,-230,-230,-235,-230,-230,-275,-215,-250,-245,-230,-235,-220,-230,-235
5,2,"Wed Dec 27, 2017",Atlanta,113,41%,180,201,205,180,195,195,205,195,190,180,195,200,205,-,190,190,190,190,190,190,220,180,207,205,190,195,208,190,195
6,3,"Wed Dec 27, 2017",Brooklyn,113,49%,380,371,355,351,375,325,360,350,355,351,375,320,355,-,375,428,428,355,355,355,360,351,384,360,330,325,395,355,350
7,3,"Wed Dec 27, 2017",New Orleans,128,51%,-475,-432,-400,-450,-450,-450,-460,-450,-450,-450,-450,-420,-400,-,-475,-548,-548,-460,-465,-465,-475,-450,-500,-460,-420,-450,-420,-465,-450
8,4,"Wed Dec 27, 2017",New York,87,54%,103,109,108,105,105,105,100,105,105,105,105,103,108,-,105,105,105,110,100,100,110,105,100,100,110,105,112,100,105
9,4,"Wed Dec 27, 2017",Chicago,92,46%,-123,-120,-118,-125,-125,-125,-120,-125,-125,-125,-125,-123,-118,-,-125,-125,-125,-130,-120,-120,-130,-125,-120,-120,-130,-125,-118,-120,-125
10,5,"Wed Dec 27, 2017",Toronto,107,51%,150,152,150,148,145,140,140,145,145,148,145,145,150,-,145,145,145,145,140,135,145,148,140,140,145,140,158,135,145
11,5,"Wed Dec 27, 2017",Oklahoma City,124,49%,-170,-169,-160,-170,-165,-160,-160,-165,-165,-170,-165,-165,-160,-,-165,-165,-165,-170,-165,-160,-170,-170,-160,-160,-165,-160,-165,-160,-165
12,6,"Wed Dec 27, 2017",Denver,125,50%,175,173,185,160,170,175,180,175,175,160,170,180,185,-,180,180,180,175,175,175,180,160,172,180,170,175,177,175,175
13,6,"Wed Dec 27, 2017",Minnesota,128,50%,-210,-193,-200,-185,-195,-210,-210,-205,-200,-185,-195,-210,-200,-,-220,-220,-220,-210,-210,-210,-215,-185,-205,-210,-200,-210,-188,-210,-210
14,7,"Wed Dec 27, 2017",Cleveland,95,58%,-450,-460,-405,-525,-425,-480,-505,-470,-425,-525,-425,-425,-405,-,-438,-438,-438,-460,-500,-500,-545,-525,-475,-505,-450,-480,-460,-500,-450
15,7,"Wed Dec 27, 2017",Sacramento,109,42%,360,393,360,400,355,340,380,360,335,400,355,325,360,-,363,363,363,355,380,380,410,400,367,380,350,340,450,380,350
16,8,"Wed Dec 27, 2017",Memphis,109,41%,125,144,145,140,140,145,145,130,140,140,140,140,145,-,140,140,140,140,140,140,145,140,155,145,140,145,153,140,145
17,8,"Wed Dec 27, 2017",L.A. Lakers,99,59%,-145,-160,-155,-160,-160,-165,-165,-150,-160,-160,-160,-160,-155,-,-160,-160,-160,-165,-165,-165,-170,-160,-180,-165,-160,-165,-158,-165,-165
18,9,"Wed Dec 27, 2017",Utah,101,47%,550,520,515,534,535,475,550,525,550,534,535,500,515,-,500,-,-,525,515,515,600,534,588,550,600,475,610,515,525
19,9,"Wed Dec 27, 2017",Golden State,126,53%,-800,-630,-620,-750,-700,-750,-725,-750,-750,-750,-700,-700,-620,-,-725,-,-,-750,-730,-730,-805,-750,-850,-725,-800,-750,-650,-730,-750
0,0,"Tue Dec 26, 2017",Toronto,93,65%,-210,-230,-230,-240,-255,-255,-245,-235,-240,-240,-255,-230,-230,-,-250,-235,-235,-255,-240,-240,-270,-240,-240,-245,-230,-255,-224,-240,-240
1,0,"Tue Dec 26, 2017",Dallas,98,35%,175,205,210,199,215,215,205,195,200,199,215,200,210,-,210,195,195,200,200,200,220,199,199,205,190,215,210,200,200
2,1,"Tue Dec 26, 2017",Indiana,83,48%,110,104,108,110,100,100,105,105,105,110,100,103,108,-,105,105,105,110,100,100,110,110,110,105,100,100,104,100,105
3,1,"Tue Dec 26, 2017",Detroit,107,52%,-130,-115,-118,-130,-120,-120,-125,-125,-125,-130,-120,-123,-118,-,-125,-125,-125,-130,-120,-120,-130,-130,-130,-125,-120,-120,-115,-120,-125
4,2,"Tue Dec 26, 2017",Orlando,89,51%,210,333,310,351,330,300,335,290,300,351,330,280,310,-,325,325,325,305,330,330,325,351,281,335,290,300,355,330,290
5,2,"Tue Dec 26, 2017",Miami,107,49%,-250,-384,-340,-450,-400,-400,-425,-360,-360,-450,-400,-360,-340,-,-395,-395,-395,-390,-425,-425,-430,-450,-350,-425,-350,-400,-375,-425,-370
6,3,"Tue Dec 26, 2017",Chicago,115,44%,210,264,260,260,260,250,255,255,260,260,260,250,260,-,260,260,260,250,255,255,260,260,234,255,240,250,272,255,240
7,3,"Tue Dec 26, 2017",Milwaukee,106,56%,-250,-300,-290,-320,-310,-300,-315,-310,-320,-320,-310,-300,-290,-,-320,-320,-320,-310,-315,-315,-325,-320,-285,-315,-280,-300,-292,-315,-300
8,4,"Tue Dec 26, 2017",Brooklyn,97,36%,575,604,600,588,575,525,660,550,550,588,575,600,600,-,550,-,-,575,585,585,615,588,534,660,600,525,700,585,575
9,4,"Tue Dec 26, 2017",San Antonio,109,64%,-850,-750,-750,-850,-750,-850,-910,-800,-750,-850,-750,-800,-750,-,-800,-,-,-825,-865,-865,-840,-850,-750,-910,-800,-850,-740,-865,-850
10,5,"Tue Dec 26, 2017",Utah,83,51%,190,218,210,207,230,210,210,200,230,207,230,205,210,-,210,210,210,205,205,205,215,207,188,210,205,210,214,205,205
11,5,"Tue Dec 26, 2017",Denver,107,49%,-230,-245,-230,-250,-275,-250,-250,-240,-270,-250,-275,-240,-230,-,-250,-250,-250,-255,-250,-250,-265,-250,-225,-250,-245,-250,-240,-250,-245
12,6,"Tue Dec 26, 2017",Memphis,97,47%,-117,-120,-113,-120,-120,-125,-120,-125,-125,-120,-120,-118,-113,-,-125,-120,-120,-,-120,-120,-120,-120,-120,-120,-125,-125,-116,-120,-125
13,6,"Tue Dec 26, 2017",Phoenix,99,53%,-103,109,103,100,100,105,100,105,105,100,100,-102,103,-,105,100,100,-,100,100,100,100,100,100,105,105,109,100,105
14,7,"Tue Dec 26, 2017",Sacramento,95,52%,173,203,190,203,200,190,205,180,190,203,200,190,190,-,200,200,200,190,190,190,185,203,180,205,190,190,208,190,185
