,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365
0,0,"Mon Jun 12, 2017",Cleveland,120,63%,+245,+322,+340,+317,+330,+260,+305,+300,+320,+317,+330,+300,+340,-,+316,+330,+330,+275,+335,+335,+260,+317,+306,+330,+320,+260,+335,+335,+320
1,0,"Mon Jun 12, 2017",Golden State,129,37%,-290,-370,-380,-400,-400,-320,-385,-380,-380,-400,-400,-400,-380,-,-376,-400,-400,-345,-430,-430,-320,-400,-385,-420,-400,-320,-360,-430,-400
0,0,"Fri Jun 09, 2017",Golden State,116,38%,+115,-188,-190,-200,-175,-190,-190,-200,-200,-200,-175,-200,-190,-,-194,-200,-200,-220,-195,-195,-200,-200,-210,-195,-200,-190,-183,-195,-200
1,0,"Fri Jun 09, 2017",Cleveland,137,62%,-135,+169,+175,+170,+155,+165,+165,+170,+175,+170,+155,+170,+175,-,+164,+170,+170,+180,+165,+165,+170,+170,+176,+170,+170,+165,+181,+165,+170
0,0,"Wed Jun 07, 2017",Golden State,118,39%,+115,-143,-147,-145,-147,-150,-140,-155,-150,-145,-147,-153,-147,-,-146,-140,-140,-150,-150,-150,-145,-145,-160,-140,-150,-150,-141,-150,-160
1,0,"Wed Jun 07, 2017",Cleveland,113,61%,-135,+129,+137,+125,+127,+130,+120,+135,+130,+125,+127,+133,+137,-,+126,+120,+120,+130,+125,+125,+125,+125,+140,+120,+130,+130,+136,+125,+140
0,0,"Sun Jun 04, 2017",Cleveland,113,66%,+255,+346,+350,+334,+330,+300,+330,+315,+320,+334,+330,+310,+350,-,+336,+345,+345,+335,+345,+345,+305,+334,+337,+330,+340,+300,+360,+345,+350
1,0,"Sun Jun 04, 2017",Golden State,132,34%,-310,-400,-395,-425,-400,-400,-420,-400,-410,-425,-400,-410,-395,-,-411,-420,-420,-435,-445,-445,-395,-425,-430,-420,-430,-400,-375,-445,-450
0,0,"Thu Jun 01, 2017",Cleveland,91,62%,+255,+281,+280,+278,+270,+240,+290,+255,+270,+278,+270,+265,+280,-,+271,+271,+262,+250,+275,+275,+225,+278,+271,+295,+260,+240,+290,+275,+275
1,0,"Thu Jun 01, 2017",Golden State,113,38%,-310,-320,-310,-345,-320,-280,-360,-310,-330,-345,-320,-325,-310,-,-331,-331,-322,-310,-345,-345,-275,-345,-335,-365,-320,-280,-296,-345,-350
0,0,"Thu May 25, 2017",Cleveland,135,39%,-500,-525,-500,-580,-525,-580,-570,-530,-550,-580,-525,-525,-500,-,-544,-544,-544,-565,-535,-535,-600,-580,-575,-570,-550,-580,-490,-535,-550
1,0,"Thu May 25, 2017",Boston,102,62%,+400,+442,+435,+435,+430,+390,+445,+400,+445,+435,+430,+415,+435,-,+424,+424,+424,+415,+405,+405,+450,+435,+431,+445,+425,+390,+470,+405,+425
0,0,"Tue May 23, 2017",Boston,99,70%,+1300,+1346,+1350,+1253,+1225,+1000,+1290,+1100,+1350,+1253,+1225,+1350,+1350,-,+1346,+1453,+1453,+1100,-,-,+1200,+1253,+1322,+1290,+1400,+1000,+1500,-,+1400
1,0,"Tue May 23, 2017",Cleveland,112,30%,-2150,-2135,-2300,-2850,-2050,-2200,-2040,-3000,-2300,-2850,-2050,-2300,-2300,-,-2135,-2400,-2400,-2800,-,-,-2450,-2850,-3200,-2040,-3000,-2200,-1600,-,-2800
0,0,"Mon May 22, 2017",Golden State,129,32%,-600,-642,-750,-750,-725,-700,-665,-680,-800,-750,-725,-750,-750,-,-696,-747,-700,-790,-610,-610,-750,-750,-775,-665,-750,-700,-660,-610,-800
1,0,"Mon May 22, 2017",San Antonio,115,68%,+450,+528,+525,+534,+560,+450,+515,+485,+600,+534,+560,+550,+525,-,+496,+522,+569,+540,+450,+450,+550,+534,+548,+515,+550,+450,+630,+450,+550
0,0,"Sun May 21, 2017",Boston,111,65%,+1250,+1681,+1700,+1453,+1800,+1350,+1665,+1200,+1620,+1453,+1800,+1700,+1700,-,+1681,+1289,+1289,+1400,-,-,+1700,+1453,+1481,+1665,+1700,+1350,+1800,-,+1500
1,0,"Sun May 21, 2017",Cleveland,108,35%,-2000,-3050,-3400,-4000,-3300,-3400,-3165,-4000,-3300,-4000,-3300,-3400,-3400,-,-3050,-2000,-2000,-4500,-,-,-7900,-4000,-4200,-3165,-3300,-3400,-700,-,-3500
0,0,"Sat May 20, 2017",Golden State,120,51%,-270,-450,-485,-500,-475,-550,-530,-490,-475,-495,-475,-485,-485,-,-468,-485,-485,-500,-475,-475,-510,-500,-460,-515,-450,-550,-440,-475,-500
1,0,"Sat May 20, 2017",San Antonio,108,49%,+230,+385,+385,+384,+400,+375,+405,+370,+380,+381,+400,+385,+385,-,+368,+385,+385,+375,+365,+365,+385,+384,+358,+390,+350,+375,+420,+365,+375
