,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value
0,0,"Thu Jan 24, 2019",Golden State,0,63%,-400,-442,-430,-550,-500,-610,-545,-500,-550,-550,-500,-450,-430,-481,-537,-527,-527,-540,-,-,-575,-550,-550,-545,-550,-610,-430,-,-500,-519.16,0.8373460264796587,-430,0.8113207547169812,0.7873460264796587,0,0.23255813953488372,-0.02955024643204862
1,0,"Thu Jan 24, 2019",Washington,0,37%,+325,+379,+380,+416,+405,+405,+420,+375,+430,+416,+405,+350,+380,+380,+417,+407,+407,+395,-,-,+440,+416,+416,+420,+425,+405,+390,-,+375,402.16,0.19949099531444625,440,0.18518518518518517,0.14949099531444626,0,4.4,-0.1927486253019901
2,1,"Thu Jan 24, 2019",New Orleans,0,100%,+530,+615,+675,+664,+615,+650,+655,+600,+600,+664,+615,+650,+675,+607,+625,-,-,+650,-,-,+605,+664,+664,+655,+650,+650,+720,-,+600,642.0869565217391,0.134978819302156,720,0.12195121951219513,0.08497881930215599,0,7.2,-0.30317368172232084
3,1,"Thu Jan 24, 2019",Oklahoma City,0,0%,-875,-767,-860,-1000,-815,-1100,-905,-900,-900,-1000,-815,-900,-860,-855,-925,-,-,-900,-,-,-860,-1000,-1000,-905,-850,-1100,-780,-,-900,-908.5652173913044,0.9001347811663344,-767,0.8846597462514417,0.8501347811663343,0,0.1303780964797914,-0.039026264313934966
4,2,"Thu Jan 24, 2019",Portland,0,100%,-325,-271,-265,-285,-280,-280,-305,-280,-280,-285,-280,-275,-265,-282,-286,-286,-286,-290,-,-,-295,-285,-285,-305,-280,-280,-266,-,-300,-283.08,0.7387668740770538,-265,0.726027397260274,0.6887668740770537,0,0.37735849056603776,-0.05132109796934109
5,2,"Thu Jan 24, 2019",Phoenix,0,0%,+250,+240,+245,+234,+235,+230,+245,+240,+230,+234,+235,+235,+245,+236,+241,+241,+241,+235,-,-,+240,+234,+234,+245,+240,+230,+256,-,+240,238.44,0.29556069581294,256,0.2808988764044944,0.24556069581294,0,2.56,-0.12580392290593367
6,3,"Thu Jan 24, 2019",Minnesota,0,45%,-125,-110,-115,-115,-113,-115,-120,-115,-120,-115,-113,-120,-115,-113,-115,-125,-125,-120,-,-,-110,-115,-115,-120,-120,-115,-109,-,-115,-116.12,0.5371303503177242,-109,0.521531100478469,0.48713035031772417,0,0.9174311926605505,-0.06596107140913432
7,3,"Thu Jan 24, 2019",L.A. Lakers,0,55%,+105,-100,+105,-105,-107,-105,+100,-105,+100,-105,-107,+100,+105,-102,-105,+105,+105,+100,-,-,-105,-105,-105,+100,+100,-105,+103,-,-105,-13.72,0.5041819395726407,105,0.48780487804878053,0.4541819395726407,0,1.05,-0.06892702387608651
8,4,"Thu Jan 24, 2019",Washington,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
9,4,"Thu Jan 24, 2019",Orlando,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
10,5,"Thu Jan 24, 2019",Miami,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
11,5,"Thu Jan 24, 2019",Cleveland,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
12,6,"Thu Jan 24, 2019",New York,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
13,6,"Thu Jan 24, 2019",Brooklyn,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
14,7,"Thu Jan 24, 2019",Toronto,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
15,7,"Thu Jan 24, 2019",Houston,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
16,8,"Thu Jan 24, 2019",Sacramento,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
17,8,"Thu Jan 24, 2019",Memphis,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
18,9,"Thu Jan 24, 2019",L.A. Clippers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
19,9,"Thu Jan 24, 2019",Chicago,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
20,10,"Thu Jan 24, 2019",Detroit,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
21,10,"Thu Jan 24, 2019",Dallas,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
22,11,"Thu Jan 24, 2019",Charlotte,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
23,11,"Thu Jan 24, 2019",Milwaukee,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
24,12,"Thu Jan 24, 2019",Phoenix,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
25,12,"Thu Jan 24, 2019",Denver,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
26,13,"Thu Jan 24, 2019",Minnesota,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
27,13,"Thu Jan 24, 2019",Utah,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
