,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value
0,0,H2H,Providence,0,51%,-,+115,-,+120,-,+115,-,+120,-,+115,-,-,+120,+115,-,+120,-,+115,+120,-,-,+115,-,-,+120,+115,-,-,-,117.3076923076923,0.460237436981623,120,0.45454545454545453,0.410237436981623,0,1.2,-0.09747763864042935
1,0,H2H,Xavier,0,49%,-,-135,-,-140,-,-135,-,-140,-,-135,-,-,-140,-135,-,-140,-,-135,-140,-,-,-135,-,-,-140,-135,-,-,-,-137.30769230769232,0.5785597381342061,-135,0.574468085106383,0.5285597381342061,0,0.7407407407407407,-0.07991452991453019
2,1,H2H,Purdue,0,44%,+140,+156,+165,+148,-,+155,+155,+155,-,+151,+155,+160,+120,+150,+155,+155,-,+150,-,-,+120,+148,+151,+155,-,+155,-,-,+120,148.95,0.40283772513428895,165,0.37735849056603776,0.35283772513428896,0,1.65,-0.0649800283941343
3,1,H2H,St. Bonaventure,0,56%,-150,-184,-175,-170,-,-175,-180,-175,-,-175,-175,-180,-140,-183,-175,-175,-,-180,-,-,-140,-170,-175,-180,-,-175,-,-,-140,-171.1,0.6301245495722427,-140,0.5833333333333334,0.5801245495722427,0,0.7142857142857143,-0.0055007721618696714
4,2,H2H,Massachusetts,0,51%,+145,+122,+125,+121,+155,+125,+120,+125,+160,+121,+130,+120,+165,-,+120,+120,+155,+120,-,-,+155,+121,+125,+120,+145,+125,-,-,+150,132.3913043478261,0.4321218174222743,165,0.37735849056603776,0.3821218174222743,1,1.65,0.01262281616902683
5,2,H2H,La Salle,0,49%,-165,-142,-135,-140,-175,-145,-140,-145,-180,-140,-150,-140,-175,-,-140,-140,-175,-140,-,-,-185,-140,-145,-140,-165,-145,-,-,-170,-151.82608695652175,0.6013884296267484,-135,0.574468085106383,0.5513884296267484,0,0.7407407407407407,-0.040175696575660225
6,3,H2H,Fordham,0,40%,+125,+111,+120,+115,-125,+115,+115,+115,-125,+115,+110,+115,-125,-,+115,+115,-125,+115,-,-,-125,+115,+120,+115,-125,+115,-,-,-125,42.0,0.4925869248824601,120,0.45454545454545453,0.4425869248824601,0,1.2,-0.02630876525858783
7,3,H2H,George Washington,0,60%,-145,-130,-130,-135,+105,-135,-135,-135,+105,-135,-130,-135,+105,-,-135,-135,+105,-135,-,-,+105,-135,-140,-135,+105,-135,-,-,+105,-61.52173913043478,0.5472711597767148,105,0.48780487804878053,0.4972711597767148,1,1.05,0.019405877542265304
8,4,H2H,Davidson,0,59%,+1050,+1230,+1375,-,-128,-,+1330,+1000,-120,-,-,+1200,-125,-,+1175,+1175,-117,-,-,-,-130,-,-,+1330,-125,-,-,-,-120,596.6666666666666,0.29835674945957147,1375,0.06779661016949153,0.24835674945957148,1,13.75,2.6632620545286794
9,4,H2H,Richmond,0,41%,-1600,-2623,-1775,-,+110,-,-2080,-2857,+100,-,-,-2000,+105,-,-2275,-2275,-104,-,-,-,+110,-,-,-2080,+105,-,-,-,+100,-1162.6,0.7393564228947246,110,0.47619047619047616,0.6893564228947245,1,1.1,0.44764848807892155
10,5,H2H,Texas,0,4%,+160,+142,+145,+144,-113,+150,+145,+145,-125,+144,+148,+140,-130,+140,+148,+148,-125,+145,-,-,-,+144,+144,+145,-125,+150,-,-,-,84.04545454545455,0.4408543169048014,150,0.4,0.39085431690480144,0,1.5,-0.022864207737996467
11,5,H2H,Valparaiso,0,96%,-185,-167,-155,-165,+103,-170,-165,-165,+105,-165,-168,-160,+110,-171,-168,-168,+105,-170,-,-,-,-165,-165,-165,+105,-170,-,-,-,-104.27272727272727,0.5927220293192667,110,0.47619047619047616,0.5427220293192666,1,1.1,0.1397162615704599
12,6,H2H,George Mason,0,41%,+135,+123,+135,+125,-125,+130,+130,+125,-120,+125,+130,+130,-123,+121,+125,+125,-120,+125,-,-,-,+125,+125,+130,-125,+130,-,-,-,70.27272727272727,0.46564963692845873,135,0.425531914893617,0.41564963692845874,0,1.35,-0.023223353218121856
13,6,H2H,Dayton,0,59%,-155,-144,-145,-145,+105,-150,-150,-145,+100,-145,-150,-150,+103,-147,-145,-145,+100,-145,-,-,-,-145,-145,-150,+105,-150,-,-,-,-90.13636363636364,0.5718207654823622,105,0.48780487804878053,0.5218207654823621,1,1.05,0.06973256923884241
14,7,H2H,Rhode Island,0,100%,+255,+305,+315,+296,-130,+300,+310,+300,-125,+296,+320,+280,-113,+287,+318,+310,-120,+305,-,-,-130,+296,+296,+310,-125,+300,-,-,-125,178.16666666666666,0.3374398868814112,320,0.23809523809523808,0.2874398868814112,1,3.2,0.2072475249019271
15,7,H2H,Bradley,0,0%,-310,-379,-345,-370,+110,-400,-390,-380,+105,-370,-380,-360,+103,-375,-378,-370,+100,-390,-,-,+110,-370,-370,-390,+105,-400,-,-,+105,-236.625,0.7018772942792101,110,0.47619047619047616,0.65187729427921,1,1.1,0.36894231798634114
