,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value
0,0,"Fri Jan 25, 2019",Washington,0,52%,+155,+149,+155,+151,+145,+145,+150,+145,+155,+151,+145,+150,+155,+145,+148,+148,+148,+135,-,-,+150,+151,+151,+150,+150,+145,+157,-,+155,149.16,0.40148613436568475,157,0.3891050583657587,0.35148613436568477,0,1.57,-0.09668063468019017
1,0,"Fri Jan 25, 2019",Orlando,0,48%,-175,-165,-165,-175,-165,-165,-170,-165,-175,-175,-165,-170,-165,-169,-168,-168,-168,-160,-,-,-180,-175,-175,-170,-170,-165,-165,-,-175,-169.12,0.6283026193150887,-160,0.6153846153846154,0.5783026193150886,0,0.625,-0.06025824361298093
2,1,"Fri Jan 25, 2019",Miami,0,46%,-400,-389,-380,-385,-405,-420,-405,-400,-420,-385,-405,-400,-380,-412,-408,-408,-408,-420,-,-,-420,-385,-385,-405,-400,-420,-380,-,-400,-401.0,0.8002510961556815,-380,0.7916666666666666,0.7502510961556814,0,0.2631578947368421,-0.05231440485598138
3,1,"Fri Jan 25, 2019",Cleveland,0,54%,+325,+337,+340,+306,+335,+310,+325,+315,+320,+306,+335,+300,+340,+332,+333,+333,+333,+320,-,-,+325,+306,+306,+325,+320,+310,+340,-,+320,322.88,0.23667988362031941,340,0.22727272727272727,0.1866798836203194,0,3.4,-0.1786085120705947
4,2,"Fri Jan 25, 2019",New York,0,63%,+450,+397,+400,+371,+395,+350,+385,+370,+400,+371,+395,+375,+400,+391,+393,+393,+393,+385,-,-,+380,+371,+371,+385,+375,+350,+410,-,+375,383.24,0.20713790481067537,410,0.19607843137254904,0.15713790481067536,0,4.1,-0.19859668546555576
5,2,"Fri Jan 25, 2019",Brooklyn,0,37%,-600,-465,-450,-480,-470,-500,-510,-490,-500,-480,-470,-475,-450,-498,-513,-513,-513,-520,-,-,-495,-480,-480,-510,-475,-500,-460,-,-500,-487.88,0.8296975007846241,-450,0.8181818181818182,0.7796975007846241,0,0.2222222222222222,-0.04703638792990392
6,3,"Fri Jan 25, 2019",Toronto,0,52%,-130,-148,-150,-155,-152,-155,-150,-155,-160,-155,-152,-155,-150,-152,-159,-159,-159,-165,-,-,-160,-155,-155,-150,-155,-155,-143,-,-155,-154.36,0.6067326529511359,-143,0.5884773662551441,0.5567326529511358,0,0.6993006993006993,-0.05394381351660138
7,3,"Fri Jan 25, 2019",Houston,0,48%,+100,+134,+140,+135,+132,+135,+130,+135,+140,+135,+132,+135,+140,+131,+139,+139,+139,+145,-,-,+135,+135,+135,+130,+135,+135,+136,-,+135,135.68,0.424394332455106,145,0.4081632653061224,0.374394332455106,0,1.45,-0.08273388548499028
8,4,"Fri Jan 25, 2019",Sacramento,0,62%,+100,+121,+128,+128,+130,+120,+120,+115,+115,+128,+130,+123,+128,+119,+120,+120,+120,+120,-,-,+130,+128,+128,+120,+115,+120,+124,-,+120,122.8,0.449046138344996,130,0.4347826086956522,0.399046138344996,0,1.3,-0.0821938818065091
9,4,"Fri Jan 25, 2019",Memphis,0,38%,-130,-134,-138,-148,-150,-140,-140,-135,-135,-148,-150,-143,-138,-138,-140,-140,-140,-140,-,-,-150,-148,-148,-140,-135,-140,-132,-,-140,-141.2,0.5852035713591248,-132,0.5689655172413792,0.5352035713591248,0,0.7575757575757576,-0.05933917761123525
