,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Min_Odds,Min_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Win_Short,Expected_Value_Long,Expected_Value_Short
0,0,"Fri Jan 25, 2019",Washington,0,53%,+155,+147,+155,+155,+145,+145,+150,+145,+155,+155,+145,+150,+155,+144,+148,+148,+148,+135,-,-,+150,+155,+155,+150,+150,+145,+157,-,+150,149.48,0.40099692494117695,157,0.3891050583657587,135,0.425531914893617,0.36099692494117697,0,1,1.57,-1.35,-0.07223790290117516,-1.126348923729412
1,0,"Fri Jan 25, 2019",Orlando,0,47%,-175,-163,-165,-180,-165,-165,-170,-165,-175,-180,-165,-170,-165,-168,-168,-168,-168,-160,-,-,-180,-180,-180,-170,-170,-165,-167,-,-170,-169.68,0.6290150157879556,-160,0.6153846153846154,-180,0.6428571428571429,0.5890150157879556,0,1,0.625,-0.5555555555555556,-0.04285059934457219,-0.7382155485386864
2,1,"Fri Jan 25, 2019",Miami,0,46%,-400,-383,-380,-385,-405,-420,-405,-400,-420,-385,-405,-400,-380,-405,-408,-408,-408,-420,-,-,-425,-385,-385,-405,-400,-420,-370,-,-400,-400.28,0.7999371447864343,-370,0.7872340425531915,-425,0.8095238095238095,0.7599371447864343,0,1,0.2702702702702703,-0.23529411764705882,-0.03467443770371864,-0.41887159516331496
3,1,"Fri Jan 25, 2019",Cleveland,0,54%,+325,+332,+340,+306,+335,+310,+325,+315,+320,+306,+335,+300,+340,+327,+333,+333,+333,+320,-,-,+325,+306,+306,+325,+320,+310,+340,-,+320,322.48,0.23689424704134524,340,0.22727272727272727,300,0.25,0.19689424704134523,0,1,3.4,-3.0,-0.13366531301808093,-1.3937884940826903
4,2,"Fri Jan 25, 2019",New York,0,63%,+450,+406,+400,+371,+395,+350,+385,+370,+400,+371,+395,+375,+400,+400,+393,+393,+393,+385,-,-,+380,+371,+371,+385,+375,+350,+410,-,+375,383.96,0.2068481139009641,410,0.19607843137254904,350,0.2222222222222222,0.1668481139009641,0,1,4.1,-3.5,-0.14907461910508313,-1.4171202847524103
5,2,"Fri Jan 25, 2019",Brooklyn,0,37%,-600,-477,-450,-480,-470,-500,-510,-490,-500,-480,-470,-475,-450,-513,-513,-513,-513,-520,-,-,-495,-480,-480,-510,-475,-500,-460,-,-500,-488.96,0.8300084155196541,-450,0.8181818181818182,-520,0.8387096774193549,0.7900084155196541,0,1,0.2222222222222222,-0.19230769230769232,-0.03443415880931172,-0.3619162797725871
6,3,"Fri Jan 25, 2019",Toronto,0,49%,-130,-150,-150,-155,-152,-155,-150,-155,-160,-155,-152,-155,-150,-155,-159,-159,-159,-165,-,-,-160,-155,-155,-150,-155,-155,-143,-,-155,-154.56,0.6070484265724123,-143,0.5884773662551441,-165,0.6226415094339622,0.5670484265724123,0,1,0.6993006993006993,-0.6060606060606061,-0.03641421218813862,-0.776617286501777
7,3,"Fri Jan 25, 2019",Houston,0,51%,+100,+136,+140,+135,+132,+135,+130,+135,+140,+135,+132,+135,+140,+133,+139,+139,+139,+140,-,-,+140,+135,+135,+130,+135,+135,+138,-,+135,135.92,0.42394392883373994,140,0.4166666666666667,130,0.4347826086956522,0.38394392883373996,0,1,1.4,-1.3,-0.07853457079902415,-1.115183178650122
8,4,"Fri Jan 25, 2019",Sacramento,0,64%,+100,+119,+128,+128,+117,+120,+120,+115,+115,+128,+117,+123,+128,+117,+120,+120,+120,+120,-,-,+130,+128,+128,+120,+115,+120,+123,-,+120,121.56,0.4515435981823374,130,0.4347826086956522,115,0.46511627906976744,0.41154359818233743,0,1,1.3,-1.15,-0.05344972418062388,-1.0617315397273506
9,4,"Fri Jan 25, 2019",Memphis,0,36%,-130,-131,-138,-148,-137,-140,-140,-135,-135,-148,-137,-143,-138,-135,-140,-140,-140,-140,-,-,-150,-148,-148,-140,-135,-140,-129,-,-140,-139.8,0.5827858733709,-129,0.5633187772925764,-150,0.6,0.5427858733709,0,1,0.7751937984496124,-0.6666666666666666,-0.03644988370592167,-0.8190713755430333
