,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short
0,0,"Fri Jan 25, 2019",Washington,0,53%,-,-,+155,+141,+145,+140,+140,+140,+140,+140,+138,+140,+145,+138,+143,+143,+143,+140,-,-,+135,+140,+135,+140,+135,+140,+155,-,+140,141.29166666666666,0.4146004637142114,155,0.3921568627450981,0.3746004637142114,0,1,1.55,-1,1,-1.55,-0.04476881752876094,0.04476881752876094
1,0,"Fri Jan 25, 2019",Orlando,0,47%,-,-,-175,-156,-155,-160,-160,-160,-160,-160,-158,-160,-155,-161,-163,-163,-163,-165,-,-,-160,-160,-155,-160,-155,-160,-156,-,-160,-160.0,0.6152889746551947,-155,0.607843137254902,0.5752889746551947,0,1,0.6451612903225806,-1,1,-0.6451612903225806,-0.05355684814790551,0.05355684814790551
2,1,"Fri Jan 25, 2019",Miami,0,50%,-,-,-400,-385,+140,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-384.0416666666667,0.7863856589365849,140,0.4166666666666667,0.7463856589365848,1,0,1.4,-1,1,-1.4,0.7913255814478034,-0.7913255814478034
3,1,"Fri Jan 25, 2019",Cleveland,0,50%,-,-,+325,+334,-160,+310,+335,+315,+310,+317,+330,+300,+345,+329,+333,+333,+333,+350,-,-,+340,+317,+317,+335,+320,+310,+340,-,+320,305.75,0.25079731253385956,350,0.2222222222222222,0.21079731253385955,0,1,3.5,-1,1,-3.5,-0.05141209359763199,0.05141209359763199
4,2,"Fri Jan 25, 2019",New York,0,52%,-,-,-,+450,+138,+325,+355,+355,+330,+330,+335,+320,+355,+337,+348,+348,+348,+335,-,-,+340,+330,+371,+355,+340,+325,+350,-,+350,337.82608695652175,0.2329136986188436,450,0.18181818181818182,0.19291369861884358,1,0,4.5,-1,1,-4.5,0.06102534240363966,-0.06102534240363966
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,-,-,-,-600,-158,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-426.7391304347826,0.8048078561339834,-158,0.6124031007751938,0.7648078561339834,1,0,0.6329113924050633,-1,1,-0.6329113924050633,0.24886346128207415,-0.24886346128207415
6,3,"Fri Jan 25, 2019",Toronto,0,50%,-130,-156,-150,-160,-385,-160,-170,-160,-160,-160,-163,-155,-150,-166,-164,-164,-164,-165,-,-,-175,-160,-160,-165,-160,-160,-155,-,-160,-169.88,0.6236586609334807,-150,0.6,0.5836586609334806,0,1,0.6666666666666666,-1,1,-0.6666666666666666,-0.027235565110865667,0.027235565110865667
7,3,"Fri Jan 25, 2019",Houston,0,50%,+100,+141,+140,+140,+345,+140,+150,+140,+140,+140,+143,+135,+140,+142,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+148,-,+140,150.04,0.40589993938958996,345,0.2247191011235955,0.36589993938959,1,0,3.45,-1,1,-3.45,0.6282547302836755,-0.6282547302836755
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+122,+120,+115,-400,+115,+115,+115,+120,+105,+112,+112,+120,+113,+115,+115,+115,+115,-,-,+105,+115,+115,+115,+115,+115,+119,-,+110,94.12,0.47927597893352997,122,0.4504504504504505,0.43927597893353,0,1,1.22,-1,1,-1.22,-0.024807326767563476,0.024807326767563476
9,4,"Fri Jan 25, 2019",Memphis,0,48%,-130,-135,-130,-135,+317,-135,-135,-135,-140,-125,-132,-132,-130,-130,-135,-135,-135,-135,-,-,-125,-135,-135,-135,-135,-135,-124,-,-130,-114.84,0.5571671127073042,317,0.23980815347721823,0.5171671127073042,1,0,3.17,-1,1,-3.17,1.1565868599894586,-1.1565868599894586
10,5,"Fri Jan 25, 2019",L.A. Clippers,0,56%,-4500,-194,-190,-210,-400,-220,-195,-200,-190,-200,-205,-200,-190,-195,-210,-210,-210,-200,-,-,-215,-210,-205,-195,-210,-220,-183,-,-200,-210.28,0.6741890633577218,-183,0.6466431095406361,0.6341890633577217,0,1,0.546448087431694,-1,1,-0.546448087431694,-0.019259535900353786,0.019259535900353786
11,5,"Fri Jan 25, 2019",Chicago,0,44%,+1802,+174,+175,+176,+330,+180,+170,+170,+165,+170,+175,+170,+175,+167,+175,+175,+175,+170,-,-,+175,+176,+174,+170,+175,+180,+169,-,+170,179.24,0.3610691832652293,330,0.23255813953488372,0.3210691832652293,1,0,3.3,-1,1,-3.3,0.3805974880404859,-0.3805974880404859
12,6,"Fri Jan 25, 2019",Detroit,0,47%,+150,+173,+175,+170,+344,+170,+175,+170,+175,+170,+171,+170,+175,+170,+170,+170,+170,+170,-,-,+175,+170,+170,+175,+170,+170,+183,-,+170,178.84,0.36205039637582365,344,0.22522522522522526,0.32205039637582367,1,0,3.44,-1,1,-3.44,0.42990375990865703,-0.42990375990865703
13,6,"Fri Jan 25, 2019",Dallas,0,53%,-180,-192,-190,-200,-398,-200,-205,-200,-210,-200,-196,-200,-190,-199,-200,-200,-200,-200,-,-,-205,-200,-200,-205,-200,-200,-188,-,-200,-207.12,0.6709885508603984,-188,0.6527777777777778,0.6309885508603984,0,1,0.5319148936170213,-1,1,-0.5319148936170213,-0.03337924123513436,0.03337924123513436
14,7,"Fri Jan 25, 2019",Charlotte,0,45%,+475,+600,+575,+614,+355,+550,+580,+600,+550,+664,+675,+550,+575,+592,+525,-,-,+550,-,-,+580,+614,+614,+580,+600,+550,+630,-,+550,577.0869565217391,0.14915159512394022,675,0.12903225806451613,0.10915159512394021,0,1,6.75,-1,1,-6.75,-0.15407513778946336,0.15407513778946336
15,7,"Fri Jan 25, 2019",Milwaukee,0,55%,-650,-744,-710,-900,-400,-900,-780,-900,-750,-1000,-900,-750,-710,-826,-775,-,-,-800,-,-,-785,-900,-900,-780,-800,-900,-720,-,-800,-801.304347826087,0.8865465692824808,-400,0.8,0.8465465692824807,1,0,0.25,-1,1,-0.25,0.058183211603100915,-0.058183211603100915
16,8,"Fri Jan 25, 2019",Phoenix,0,54%,+800,+1151,+1150,+1098,+330,+950,+1075,+850,+975,+1098,+1025,+950,+1150,+1137,+1150,+1290,-,-,-,-,+1000,+1098,+1098,+1075,-,+950,+1100,-,+1125,1037.5,0.09264293765479663,1290,0.07194244604316546,0.05264293765479663,0,1,12.9,-1,1,-12.9,-0.26826316659832683,0.26826316659832683
17,8,"Fri Jan 25, 2019",Denver,0,46%,-1475,-1700,-1450,-2200,-420,-2000,-1625,-1800,-1700,-2200,-1600,-1500,-1450,-2174,-2000,-2740,-,-,-,-,-1785,-2200,-2200,-1625,-,-2000,-1400,-,-2000,-1807.6818181818182,0.9415617664216648,-420,0.8076923076923077,0.9015617664216647,1,0,0.23809523809523808,-1,1,-0.23809523809523808,0.11621932985539443,-0.11621932985539443
18,9,"Fri Jan 25, 2019",Minnesota,0,57%,+425,+427,+435,+403,+335,+375,+430,+375,+430,+403,+420,+415,+435,+421,+426,+505,-,+410,-,-,+425,+403,+364,+430,+400,+375,+410,-,+375,409.4583333333333,0.1970837196882913,505,0.1652892561983471,0.1570837196882913,0,1,5.05,-1,1,-5.05,-0.04964349588583772,0.04964349588583772
19,9,"Fri Jan 25, 2019",Utah,0,43%,-550,-505,-500,-530,-405,-550,-555,-500,-550,-530,-515,-525,-500,-543,-546,-730,-,-560,-,-,-555,-530,-470,-555,-500,-550,-450,-,-500,-527.25,0.8393932567953196,-405,0.801980198019802,0.7993932567953196,0,1,0.24691358024691357,-1,1,-0.24691358024691357,-0.0032256921441077002,0.0032256921441077002
20,10,"Fri Jan 25, 2019",San Antonio,0,8%,-,-,-,-,-163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
21,10,"Fri Jan 25, 2019",New Orleans,0,92%,-,-,-,-,+143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
22,11,"Fri Jan 25, 2019",Indiana,0,52%,-145,-165,-160,-160,+112,-165,-,-,-,-160,-160,-,-,-170,-,-,-,-165,-,-,-,-160,-160,-,-,-165,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
23,11,"Fri Jan 25, 2019",Memphis,0,48%,+125,+149,+140,+140,-132,+145,-,-,-,+140,+140,-,-,+146,-,-,-,+140,-,-,-,+140,+140,-,-,+145,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
24,12,"Fri Jan 25, 2019",Golden State,0,100%,-135,-133,-135,-130,-205,-130,-,-,-,-130,-135,-,-160,-137,-,-,-,-135,-,-,-,-130,-130,-,-,-130,-,-,-,-140.0,0.5808537606495823,-130,0.5652173913043479,0.5408537606495822,0,1,0.7692307692307693,-1,1,-0.7692307692307693,-0.04310488500458526,0.04310488500458526
25,12,"Fri Jan 25, 2019",Boston,0,0%,+115,+120,+115,+110,+175,+110,-,-,-,+110,+115,-,+140,+117,-,-,-,+115,-,-,-,+110,+110,-,-,+110,-,-,-,119.76923076923077,0.45755151325293864,175,0.36363636363636365,0.41755151325293866,1,0,1.75,-1,1,-1.75,0.1482666614455812,-0.1482666614455812
26,13,"Fri Jan 25, 2019",Philadelphia,0,-,+245,-,+350,+330,+171,+325,-,-,-135,+330,-,-,-135,-,-,-,-,-,-,-,-,+330,+330,-,-,+325,-,-,-135,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
27,13,"Fri Jan 25, 2019",Denver,0,-,-290,-,-440,-420,-196,-450,-,-,+115,-420,-,-,+115,-,-,-,-,-,-,-,-,-420,-420,-,-,-450,-,-,+115,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
28,14,"Fri Jan 25, 2019",Atlanta,0,-,-,+500,+455,+440,+675,+500,+450,-,-,+500,+477,+475,+350,+500,+449,-,-,+500,+450,-,-,+500,+477,+477,-,+500,+450,-,-,480.2631578947368,0.1739333757704572,675,0.12903225806451613,0.1339333757704572,1,0,6.75,-1,1,-6.75,0.03798366222104321,-0.03798366222104321
29,14,"Fri Jan 25, 2019",Portland,0,-,-,-700,-542,-580,-900,-700,-700,-,-,-700,-650,-600,-440,-700,-585,-,-,-700,-600,-,-,-700,-650,-650,-,-700,-700,-,-,-657.7368421052631,0.8660680560124144,-440,0.8148148148148149,0.8260680560124144,1,0,0.22727272727272727,-1,1,-0.22727272727272727,0.013810796015235854,-0.013810796015235854
30,15,"Fri Jan 25, 2019",Cleveland,0,-,-,-,-,-,+1025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
31,15,"Fri Jan 25, 2019",Chicago,0,-,-,-,-,-,-1600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
32,16,"Fri Jan 25, 2019",Sacramento,0,-,-,-,-,-,+420,-,-,-,-,-,-,-,+440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+450,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
33,16,"Fri Jan 25, 2019",L.A. Clippers,0,-,-,-,-,-,-515,-,-,-,-,-,-,-,-580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-600,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
34,17,"Fri Jan 25, 2019",Milwaukee,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
35,17,"Fri Jan 25, 2019",Oklahoma City,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
36,18,"Fri Jan 25, 2019",Toronto,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
37,18,"Fri Jan 25, 2019",Dallas,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
38,19,"Fri Jan 25, 2019",Orlando,0,-,-,-,-,-,-160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
39,19,"Fri Jan 25, 2019",Houston,0,-,-,-,-,-,+140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
40,20,"Fri Jan 25, 2019",Washington,0,-,-,-,-,-,-135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
41,20,"Fri Jan 25, 2019",San Antonio,0,-,-,-,-,-,+115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
42,21,"Fri Jan 25, 2019",Utah,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
43,21,"Fri Jan 25, 2019",Minnesota,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
44,22,"Fri Jan 25, 2019",Miami,0,-,-,-,-,-,+477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
45,22,"Fri Jan 25, 2019",New York,0,-,-,-,-,-,-650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
46,23,"Fri Jan 25, 2019",Phoenix,0,-,-,-,-,-,+475,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
47,23,"Fri Jan 25, 2019",L.A. Lakers,0,-,-,-,-,-,-600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.04,0,1,0.0,-1,1,0.0,-1.04,1.04
