,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Kelly_Long,Kelly_Short
2,1,"Fri Jan 25, 2019",Miami,0,50%,-,-,-400,-385,+140,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-384.0416666666667,0.7863856589365849,140,0.4166666666666667,0.7463856589365848,1,0,1.4,-1,1,-1.4,0.7913255814478034,-0.7913255814478034,0.5652325581770025,-0.7913255814478034
4,2,"Fri Jan 25, 2019",New York,0,52%,-,-,-,+450,+138,+325,+355,+355,+330,+330,+335,+320,+355,+337,+348,+348,+348,+335,-,-,+340,+330,+371,+355,+340,+325,+350,-,+350,337.82608695652175,0.2329136986188436,450,0.18181818181818182,0.19291369861884358,1,0,4.5,-1,1,-4.5,0.06102534240363966,-0.06102534240363966,0.013561187200808813,-0.06102534240363966
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,-,-,-,-600,-158,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-426.7391304347826,0.8048078561339834,-158,0.6124031007751938,0.7648078561339834,1,0,0.6329113924050633,-1,1,-0.6329113924050633,0.24886346128207415,-0.24886346128207415,0.3932042688256771,-0.24886346128207415
7,3,"Fri Jan 25, 2019",Houston,0,50%,+100,+141,+140,+140,+345,+140,+150,+140,+140,+140,+143,+135,+140,+142,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+148,-,+140,150.04,0.40589993938958996,345,0.2247191011235955,0.36589993938959,1,0,3.45,-1,1,-3.45,0.6282547302836755,-0.6282547302836755,0.18210282037207984,-0.6282547302836755
9,4,"Fri Jan 25, 2019",Memphis,0,48%,-130,-135,-130,-135,+317,-135,-135,-135,-140,-125,-132,-132,-130,-130,-135,-135,-135,-135,-,-,-125,-135,-135,-135,-135,-135,-124,-,-130,-114.84,0.5571671127073042,317,0.23980815347721823,0.5171671127073042,1,0,3.17,-1,1,-3.17,1.1565868599894586,-1.1565868599894586,0.3648538990503024,-1.1565868599894586
11,5,"Fri Jan 25, 2019",Chicago,0,44%,+1802,+174,+175,+176,+330,+180,+170,+170,+165,+170,+175,+170,+175,+167,+175,+175,+175,+170,-,-,+175,+176,+174,+170,+175,+180,+169,-,+170,179.24,0.3610691832652293,330,0.23255813953488372,0.3210691832652293,1,0,3.3,-1,1,-3.3,0.3805974880404859,-0.3805974880404859,0.11533257213348057,-0.3805974880404859
12,6,"Fri Jan 25, 2019",Detroit,0,47%,+150,+173,+175,+170,+344,+170,+175,+170,+175,+170,+171,+170,+175,+170,+170,+170,+170,+170,-,-,+175,+170,+170,+175,+170,+170,+183,-,+170,178.84,0.36205039637582365,344,0.22522522522522526,0.32205039637582367,1,0,3.44,-1,1,-3.44,0.42990375990865703,-0.42990375990865703,0.12497202322926076,-0.42990375990865703
15,7,"Fri Jan 25, 2019",Milwaukee,0,55%,-650,-744,-710,-900,-400,-900,-780,-900,-750,-1000,-900,-750,-710,-826,-775,-,-,-800,-,-,-785,-900,-900,-780,-800,-900,-720,-,-800,-801.304347826087,0.8865465692824808,-400,0.8,0.8465465692824807,1,0,0.25,-1,1,-0.25,0.058183211603100915,-0.058183211603100915,0.23273284641240366,-0.058183211603100915
17,8,"Fri Jan 25, 2019",Denver,0,46%,-1475,-1700,-1450,-2200,-420,-2000,-1625,-1800,-1700,-2200,-1600,-1500,-1450,-2174,-2000,-2740,-,-,-,-,-1785,-2200,-2200,-1625,-,-2000,-1400,-,-2000,-1807.6818181818182,0.9415617664216648,-420,0.8076923076923077,0.9015617664216647,1,0,0.23809523809523808,-1,1,-0.23809523809523808,0.11621932985539443,-0.11621932985539443,0.48812118539265664,-0.11621932985539443
25,12,"Fri Jan 25, 2019",Boston,0,0%,+115,+120,+115,+110,+175,+110,-,-,-,+110,+115,-,+140,+117,-,-,-,+115,-,-,-,+110,+110,-,-,+110,-,-,-,119.76923076923077,0.45755151325293864,175,0.36363636363636365,0.41755151325293866,1,0,1.75,-1,1,-1.75,0.1482666614455812,-0.1482666614455812,0.08472380654033211,-0.1482666614455812
28,14,"Fri Jan 25, 2019",Atlanta,0,-,-,+500,+455,+440,+675,+500,+450,-,-,+500,+477,+475,+350,+500,+449,-,-,+500,+450,-,-,+500,+477,+477,-,+500,+450,-,-,480.2631578947368,0.1739333757704572,675,0.12903225806451613,0.1339333757704572,1,0,6.75,-1,1,-6.75,0.03798366222104321,-0.03798366222104321,0.005627209217932328,-0.03798366222104321
29,14,"Fri Jan 25, 2019",Portland,0,-,-,-700,-542,-580,-900,-700,-700,-,-,-700,-650,-600,-440,-700,-585,-,-,-700,-600,-,-,-700,-650,-650,-,-700,-700,-,-,-657.7368421052631,0.8660680560124144,-440,0.8148148148148149,0.8260680560124144,1,0,0.22727272727272727,-1,1,-0.22727272727272727,0.013810796015235854,-0.013810796015235854,0.060767502467037764,-0.013810796015235854
