,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value,Kelly
10,5,H2H,Wright State,0,47%,+150,+146,+160,+148,+650,+150,+155,+155,+650,+148,+155,+155,+650,+144,+155,+155,+650,+150,-,-,+650,+148,+148,+155,+650,+150,-,-,+650,296.9583333333333,0.3205120880660532,650,0.13333333333333333,0.2705120880660532,1,6.5,1.028840660495399,0.1582831785377537
11,5,H2H,Texas State,0,53%,-170,-172,-170,-170,-1000,-170,-175,-175,-1000,-170,-175,-175,-1000,-176,-175,-175,-1000,-180,-,-,-1000,-170,-170,-175,-1000,-170,-,-,-1000,-414.2916666666667,0.7141033528767972,-170,0.6296296296296295,0.6641033528767971,1,0.5882352941176471,0.054752383980795405,0.09307905276735219
12,6,H2H,Georgia State,0,53%,+425,+388,+420,+384,+632,+385,+415,+375,+600,+384,+400,+400,+711,+384,+407,+407,+626,+390,-,-,+710,+384,+384,+400,+711,+385,-,-,+600,470.0833333333333,0.18233533344576766,711,0.12330456226880396,0.13233533344576764,1,7.11,0.07323955424517559,0.010300921834764498
14,7,H2H,Georgia Southern,0,89%,-200,-239,-225,-243,+725,+725,+900,+725,+700,+837,+825,+900,+725,+741,+825,+825,+695,+830,-,-,-,+837,+837,+810,+711,+725,-,-,-,645.0454545454545,0.19394303280903988,900,0.1,0.14394303280903986,1,9.0,0.4394303280903986,0.04882559201004429
15,7,H2H,(19) Iowa,0,11%,+170,+200,+205,+201,-925,-1300,-1250,-1300,-950,-1400,-1200,-1350,-1000,-1299,-1275,-1275,-1020,-1320,-,-,-,-1400,-1400,-1160,-1100,-1300,-,-,-,-1028.090909090909,0.8425513963262069,205,0.3278688524590164,0.7925513963262069,1,2.05,1.417281758794931,0.6913569555097224
16,8,H2H,Elon,0,49%,+1000,+748,+1000,+837,+711,-550,-510,-480,+675,-500,-450,-475,+700,-467,-489,-489,-,-510,-,-,-,-500,-500,-450,+675,-550,-,-,-,-74.95238095238095,0.593356024107829,1000,0.09090909090909091,0.5433560241078289,1,10.0,4.976916265186118,0.49769162651861176
17,8,H2H,Charleston,0,51%,-1500,-1158,-1200,-1400,-1100,+375,+385,+365,-1100,+384,+375,+375,-1000,+347,+389,+389,-,+380,-,-,-,+384,+384,+360,-925,+375,-,-,-,-124.57142857142857,0.4458760862304566,389,0.20449897750511245,0.3958760862304566,1,3.89,0.935834061666933,0.24057430891180795
18,9,H2H,Northeastern,0,0%,-450,-446,-450,-500,+725,+750,+905,+750,+650,+797,+850,+850,+725,+804,+812,+800,-,+840,-,-,+715,+797,+797,+840,+700,+750,-,-,+650,613.5217391304348,0.20724865498729558,905,0.09950248756218905,0.15724865498729557,1,9.05,0.5803489826223205,0.06412695940578127
19,9,H2H,Towson,0,100%,+360,+351,+400,+384,-1000,-1400,-1305,-1400,-1000,-1300,-1250,-1300,-925,-1493,-1262,-1250,-,-1360,-,-,-1065,-1300,-1300,-1190,-1000,-1400,-,-,-1000,-1015.8695652173913,0.8301765822360949,400,0.2,0.7801765822360949,1,4.0,2.9008829111804744,0.7252207277951186
20,10,H2H,Tulsa,0,52%,+800,+812,+950,+797,+155,+550,+630,+600,+155,+639,+635,+650,+160,+571,+560,+560,+155,+635,-,-,+155,+639,+639,+700,+145,+550,-,-,+155,508.2083333333333,0.21024693425600202,950,0.09523809523809523,0.160246934256002,1,9.5,0.6825928096880209,0.0718518747040022
