,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm
0,0,"Sat Jan 26, 2019",San Antonio,0,60%,-,-,-,-105,-185,-210,-190,-190,-180,-195,-180,-200,-190,-195,-196,-196,-196,-195,-,-,-200,-195,-175,-190,-200,-210,-175,-,-200,-189.04347826086956,0.6518482087836294,0.6118482087836293,-105,0.5121951219512195,1,0,0.9523809523809523,-1,1,-0.9523809523809523,0.19456078857756198,-0.19456078857756198,-157.631169720034,-154.54036247062157
1,0,"Sat Jan 26, 2019",New Orleans,0,40%,-,-,-,-125,+166,+175,+165,+165,+160,+166,+160,+170,+175,+166,+166,+166,+166,+165,-,-,+170,+166,+151,+165,+170,+175,+168,-,+170,153.95652173913044,0.3830317612899857,0.3430317612899857,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.05666265645253932,0.05666265645253932,191.51819535294837,195.34855926000733
2,1,"Sat Jan 26, 2019",Indiana,0,54%,-145,-190,-190,-195,-190,-200,-200,-190,-200,-195,-195,-200,-190,-196,-200,-200,-200,-200,-,-,-200,-195,-195,-200,-200,-200,-186,-,-200,-196.28,0.6624050117562683,0.6224050117562683,-186,0.6503496503496503,0,1,0.5376344086021505,-1,1,-0.5376344086021505,-0.04296863783713589,0.04296863783713589,-164.83402352642338,-161.60198384943467
3,1,"Sat Jan 26, 2019",Memphis,0,46%,+125,+171,+175,+166,+175,+170,+170,+165,+170,+166,+170,+170,+175,+168,+170,+170,+170,+170,-,-,+165,+166,+166,+170,+170,+170,+175,-,+170,169.72,0.3707989866953478,0.3307989866953478,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.09030278658779356,0.09030278658779356,202.2983867000048,206.34435443400494
4,2,"Sat Jan 26, 2019",Golden State,0,52%,-135,-165,-173,-170,-195,-180,-185,-175,-180,-170,-182,-180,-173,-183,-175,-175,-175,-180,-,-,-200,-170,-195,-185,-180,-180,-161,-,-170,-178.28,0.6402797717986602,0.6002797717986602,-161,0.6168582375478927,0,1,0.6211180124223602,-1,1,-0.6211180124223602,-0.026875649444408012,0.026875649444408012,-150.1749797601682,-147.2303723138904
5,2,"Sat Jan 26, 2019",Boston,0,48%,+115,+149,+163,+148,+166,+160,+160,+155,+160,+148,+162,+160,+163,+156,+155,+155,+155,+150,-,-,+170,+148,+166,+160,+160,+160,+153,-,+150,157.28,0.3888994655215003,0.3488994655215003,170,0.37037037037037035,0,1,1.7,-1,1,-1.7,-0.05797144309194924,0.05797144309194924,186.61551501814404,190.34782531850692
6,3,"Sat Jan 26, 2019",Philadelphia,0,97%,+245,+439,+450,+428,-180,+390,+425,+410,+430,+428,+440,+425,+450,+433,+425,+425,+425,+425,-,-,+395,+428,+428,+425,+450,+390,+450,-,+425,402.36,0.208191499937102,0.168191499937102,450,0.18181818181818182,0,1,4.5,-1,1,-4.5,-0.074946750345939,0.074946750345939,494.5603674228285,504.45157477128504
7,3,"Sat Jan 26, 2019",Denver,0,3%,-290,-521,-525,-570,+160,-580,-550,-550,-550,-570,-535,-550,-525,-562,-575,-575,-575,-575,-,-,-515,-570,-570,-550,-600,-580,-460,-,-550,-524.92,0.8281685914593022,0.7881685914593022,160,0.3846153846153846,1,0,1.6,-1,1,-1.6,1.0492383377941858,-1.0492383377941858,-372.0735262485291,-364.7779669103226
8,4,"Sat Jan 26, 2019",Atlanta,0,43%,+500,+361,+380,+371,-195,+345,+370,+360,+360,+371,+355,+350,+380,+356,+358,+467,+467,+380,-,-,+385,+371,+371,+370,+350,+345,+385,-,+350,350.52,0.23004547513599602,0.190045475135996,467,0.1763668430335097,1,0,4.67,-1,1,-4.67,0.07755784402109733,-0.07755784402109733,426.18984971065623,434.7136467048694
9,4,"Sat Jan 26, 2019",Portland,0,57%,-700,-420,-430,-480,+170,-490,-470,-470,-460,-480,-425,-450,-430,-446,-458,-642,-642,-470,-,-,-510,-480,-480,-470,-450,-490,-400,-,-450,-448.92,0.8063988622351532,0.7663988622351532,170,0.37037037037037035,1,0,1.7,-1,1,-1.7,1.0692769280349135,-1.0692769280349135,-328.08010678725543,-321.6471635169171
