,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds
0,0,"Fri Jan 25, 2019",Washington,0,53%,+155,+141,+145,+140,+138,+140,+140,+140,+140,+140,+138,+140,+145,+138,+143,+143,+143,+140,-,-,+135,+140,+135,+140,+135,+140,+155,-,+140,140.56,0.4158035600115813,155,0.3921568627450981,0.37580356001158133,0,1,1.55,-1,1,-1.55,-0.0417009219704676,0.0417009219704676,166.0964680508036
1,0,"Fri Jan 25, 2019",Orlando,0,47%,-175,-156,-155,-160,-158,-160,-160,-160,-160,-160,-158,-160,-155,-161,-163,-163,-163,-165,-,-,-160,-160,-155,-160,-155,-160,-156,-,-160,-159.32,0.6143343788608339,-155,0.607843137254902,0.5743343788608338,0,1,0.6451612903225806,-1,1,-0.6451612903225806,-0.05512731219669276,0.05512731219669276,74.11459888287631
2,1,"Fri Jan 25, 2019",Miami,0,50%,-400,-385,-385,-400,-400,-420,-425,-400,-400,-400,-400,-400,-385,-408,-408,-408,-408,-450,-,-,-445,-400,-400,-425,-400,-420,-370,-,-400,-405.68,0.8020161432320423,-370,0.7872340425531915,0.7620161432320423,0,1,0.2702702702702703,-1,1,-0.2702702702702703,-0.032033547786324695,0.032033547786324695,31.230815630567164
3,1,"Fri Jan 25, 2019",Cleveland,0,50%,+325,+334,+345,+317,+330,+310,+335,+315,+310,+317,+330,+300,+345,+329,+333,+333,+333,+350,-,-,+340,+317,+317,+335,+320,+310,+340,-,+320,326.6,0.2346216864766661,350,0.2222222222222222,0.19462168647666608,0,1,3.5,-1,1,-3.5,-0.12420241085500261,0.12420241085500261,413.81735412096214
4,2,"Fri Jan 25, 2019",New York,0,52%,+450,+344,+355,+330,+335,+325,+355,+355,+330,+330,+335,+320,+355,+337,+348,+348,+348,+335,-,-,+340,+330,+371,+355,+340,+325,+350,-,+350,341.84,0.2264990984479969,371,0.21231422505307856,0.1864990984479969,0,1,3.71,-1,1,-3.71,-0.12158924630993473,0.12158924630993473,436.19562149188533
5,2,"Fri Jan 25, 2019",Brooklyn,0,48%,-600,-398,-400,-420,-405,-450,-445,-460,-430,-420,-405,-420,-400,-418,-423,-423,-423,-435,-,-,-445,-420,-480,-445,-430,-450,-385,-,-450,-427.2,0.8099961610409707,-385,0.7938144329896908,0.7699961610409707,0,1,0.2597402597402597,-1,1,-0.2597402597402597,-0.03000483609124474,0.03000483609124474,29.87077736180961
6,3,"Fri Jan 25, 2019",Toronto,0,51%,-130,-156,-150,-160,-163,-160,-170,-160,-160,-160,-163,-155,-150,-256,-164,-164,-164,-165,-,-,-175,-160,-160,-165,-160,-160,-153,-,-160,-164.52,0.6203745948973524,-150,0.6,0.5803745948973523,0,1,0.6666666666666666,-1,1,-0.6666666666666666,-0.03270900850441283,0.03270900850441283,72.30251096309006
7,3,"Fri Jan 25, 2019",Houston,0,49%,+100,+141,+140,+140,+143,+140,+150,+140,+140,+140,+143,+135,+140,+186,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+139,-,+140,143.36,0.4114365384761953,186,0.34965034965034963,0.37143653847619534,1,0,1.86,-1,1,-1.86,0.06230850004191868,-0.06230850004191868,169.2249944236674
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+122,+120,+115,+110,+115,+115,+115,+120,+115,+110,+112,+120,+155,+115,+115,+115,+115,-,-,+105,+115,+115,+115,+115,+115,+119,-,+110,116.52,0.46250268032810493,155,0.3921568627450981,0.42250268032810495,1,0,1.55,-1,1,-1.55,0.0773818348366676,-0.0773818348366676,136.68488901027214
9,4,"Fri Jan 25, 2019",Memphis,0,48%,-130,-135,-130,-135,-130,-135,-135,-135,-140,-135,-130,-132,-130,-208,-135,-135,-135,-135,-,-,-125,-135,-135,-135,-135,-135,-124,-,-130,-136.16,0.5751943497257543,-124,0.5535714285714285,0.5351943497257543,0,1,0.8064516129032258,-1,1,-0.8064516129032258,-0.03319730372121804,0.03319730372121804,86.84801147703122
