,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds,Kelly_Long,Kelly_Short
7,3,"Fri Jan 25, 2019",Houston,0,49%,+100,+141,+140,+140,+143,+140,+150,+140,+140,+140,+143,+135,+140,+186,+144,+144,+144,+140,-,-,+150,+140,+140,+145,+140,+140,+139,-,+140,143.36,0.4114365384761953,0.37143653847619534,186,0.34965034965034963,1,0,1.86,-1,1,-1.86,0.06230850004191868,-0.06230850004191868,172.60949431214075,0.03349919357092402,-0.06230850004191868
8,4,"Fri Jan 25, 2019",Sacramento,0,52%,+100,+122,+120,+115,+110,+115,+115,+115,+120,+115,+110,+112,+120,+155,+115,+115,+115,+115,-,-,+105,+115,+115,+115,+115,+115,+119,-,+110,116.52,0.46250268032810493,0.42250268032810495,155,0.3921568627450981,1,0,1.55,-1,1,-1.55,0.0773818348366676,-0.0773818348366676,139.41858679047758,0.049923764410753295,-0.0773818348366676
15,7,"Fri Jan 25, 2019",Milwaukee,0,56%,-650,-733,-710,-900,-900,-900,-780,-900,-750,-900,-900,-750,-710,-455,-775,-,-,-800,-,-,-780,-900,-900,-780,-800,-900,-720,-,-800,-801.8695652173913,0.8872645541164271,0.8472645541164271,-455,0.8198198198198198,1,0,0.21978021978021978,-1,1,-0.21978021978021978,0.033476544032125355,-0.033476544032125355,-543.84986984406,0.15231827534617037,-0.033476544032125355
17,8,"Fri Jan 25, 2019",Denver,0,43%,-1475,-1571,-1450,-2200,-1500,-2000,-1625,-1800,-1700,-2200,-1500,-1600,-1450,-227,-1988,-2740,-,-,-,-,-1910,-2200,-2200,-1625,-,-2000,-1300,-,-2000,-1763.0,0.9352866480671082,0.8952866480671081,-227,0.6941896024464832,1,0,0.44052863436123346,-1,1,-0.44052863436123346,0.2896860525019575,-0.2896860525019575,-838.2235805720799,0.6575873391794436,-0.2896860525019575
22,11,"Saturday, January 26, 2019",Indiana,0,-,-145,-193,-150,-144,-159,-180,-185,-190,-,-175,-190,-185,-105,-200,-,-,-,-190,-,-,-,-175,-175,-185,-,-180,-190,-,+100,-160.57894736842104,0.626552193665596,0.586552193665596,100,0.5,1,0,1.0,-1,1,-1.0,0.17310438733119193,-0.17310438733119193,-139.0867629359911,0.17310438733119193,-0.17310438733119193
23,11,"Saturday, January 26, 2019",Memphis,0,-,+125,+173,+140,+123,+139,+160,+160,+165,-,+151,+165,+165,-125,+170,-,-,-,+160,-,-,-,+151,+151,+160,-,+160,+176,-,-120,127.57894736842105,0.40704623149067237,0.3670462314906724,176,0.3623188405797102,1,0,1.76,-1,1,-1.76,0.013047598914255776,-0.013047598914255776,175.89414860833978,0.007413408474008964,-0.013047598914255776
24,12,"Saturday, January 26, 2019",Golden State,0,-,-135,-151,+330,+477,+475,-160,-150,-155,-189,-144,-159,-155,-175,-156,-,-,-,-150,-,-,-180,-144,-144,-150,-,-160,-149,-,-180,-74.71428571428571,0.5521927472095818,0.5121927472095817,477,0.1733102253032929,1,0,4.77,-1,1,-4.77,1.9553521513992866,-1.9553521513992866,-102.94019805851482,0.40992707576504966,-1.9553521513992866
25,12,"Saturday, January 26, 2019",Boston,0,54%,+115,+136,-420,-650,-600,+140,+130,+135,+164,+123,+139,+135,+165,+133,-,-,-,+130,-,-,+150,+123,+123,+130,-,+140,+138,-,+160,39.23809523809524,0.4808472155467965,0.4408472155467965,165,0.37735849056603776,1,0,1.65,-1,1,-1.65,0.1682451211990107,-0.1682451211990107,129.37267607210862,0.10196674012061255,-0.1682451211990107
27,13,"Saturday, January 26, 2019",Denver,0,60%,-290,-550,-555,-,-,-450,-,-,+130,-420,-,-550,+140,-,-,-,-,-,-,-,+140,-420,-420,-,-,-450,-650,-,+130,-301.9230769230769,0.705280131801105,0.665280131801105,140,0.4166666666666667,1,0,1.4,-1,1,-1.4,0.5966723163226519,-0.5966723163226519,-194.86008609051248,0.4261945116590371,-0.5966723163226519
29,14,"Saturday, January 26, 2019",Portland,0,96%,-700,-575,-,-,-,-700,-615,-630,-,-650,-600,-580,-550,-625,-,-,-,-630,-,-,-430,-650,-650,-615,-,-700,-560,-,-450,-600.5882352941177,0.8555560727094133,0.8155560727094132,-430,0.8113207547169812,1,0,0.23255813953488372,-1,1,-0.23255813953488372,0.005220275665090701,-0.005220275665090701,-433.5001910398476,0.022447185359890015,-0.005220275665090701
