,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short
0,0,"Sun Jan 27, 2019",Cleveland,0,38%,+150,+170,+185,+172,+175,+175,+175,+170,+170,+172,+175,+180,+185,+167,+175,+175,+175,+175,-,-,+180,+172,+172,+175,+175,+175,+174,-,+170,174.56,0.3643042062352741,0.3343042062352741,185,0.3508771929824561,0,1,1.85,-1,1,-1.85,-0.04723301222946874,0.04723301222946874,199.1287520014712,1.9912875200147122,2.0311132704150063,1.9514617696144179
1,0,"Sun Jan 27, 2019",Chicago,0,62%,-180,-189,-200,-205,-205,-210,-205,-200,-200,-203,-205,-210,-200,-195,-210,-210,-210,-210,-,-,-215,-205,-205,-205,-210,-210,-186,-,-200,-204.12,0.6710183488930308,0.6410183488930308,-186,0.6503496503496503,0,1,0.5376344086021505,-1,1,-0.5376344086021505,-0.01434813019673764,0.01434813019673764,-178.56576984265425,0.5600177463357978,0.5712181012625138,0.5488173914090818
2,1,"Sun Jan 27, 2019",Sacramento,0,40%,+165,+161,+160,+151,+165,+160,+160,+165,+165,+170,+165,+155,+160,+158,+158,+161,+161,+155,-,-,+160,+151,+151,+160,+165,+160,+166,-,+160,160.12,0.38456710738199207,0.35456710738199204,170,0.37037037037037035,0,1,1.7,-1,1,-1.7,-0.042668810068621554,0.042668810068621554,182.0340576382491,1.820340576382491,1.8567473879101408,1.783933764854841
3,1,"Sun Jan 27, 2019",L.A. Clippers,0,60%,-205,-179,-170,-175,-190,-180,-185,-190,-190,-200,-190,-175,-170,-185,-183,-181,-181,-185,-,-,-190,-175,-175,-185,-185,-180,-176,-,-180,-182.2,0.6454234224662387,0.6154234224662387,-170,0.6296296296296295,0,1,0.5882352941176471,-1,1,-0.5882352941176471,-0.022562799612444395,0.022562799612444395,-160.02623623437177,0.6248975315119057,0.6373954821421439,0.6123995808816676
4,2,"Sun Jan 27, 2019",Milwaukee,0,49%,-102,-110,-113,-115,-116,+105,-115,-115,-115,-115,-116,-118,-113,-113,-115,-,-,-120,-,-,-120,-115,-115,-115,-120,+105,-107,-,-115,-95.91304347826087,0.5308015700718207,0.5008015700718207,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.026643218647232403,-0.026643218647232403,-100.3211428657482,0.9967988516022195,1.016734828634264,0.9768628745701751
5,2,"Sun Jan 27, 2019",Oklahoma City,0,51%,-118,-100,+103,-105,-104,-125,-105,-105,-105,-105,-104,-102,+103,-102,-105,-,-,+100,-,-,+100,-105,-105,-105,+100,-125,+103,-,-105,-52.30434782608695,0.5104523337467322,0.48045233374673213,103,0.4926108374384236,0,1,1.03,-1,1,-1.03,-0.024681762494133785,0.024681762494133785,108.13719275784486,1.0813719275784486,1.1029993661300175,1.0597444890268797
6,3,"Sun Jan 27, 2019",Toronto,0,62%,-170,-198,-200,-215,-210,-220,-210,-205,-200,-185,-210,-210,-200,-205,-210,-210,-210,-210,-,-,-235,-215,-215,-210,-200,-220,-189,-,-210,-208.08,0.6750706268416571,0.6450706268416571,-185,0.6491228070175439,0,1,0.5405405405405406,-1,1,-0.5405405405405406,-0.0062425478385282895,0.0062425478385282895,-181.7461939262702,0.5502178496269774,0.5612222066195169,0.5392134926344379
7,3,"Sun Jan 27, 2019",Dallas,0,38%,+150,+177,+185,+180,+180,+180,+180,+175,+170,+160,+180,+180,+185,+174,+175,+175,+175,+175,-,-,+190,+180,+180,+180,+170,+180,+180,-,+175,177.64,0.3603320816756836,0.3303320816756836,190,0.3448275862068966,0,1,1.9,-1,1,-1.9,-0.042036963140517525,0.042036963140517525,202.72566773632025,2.0272566773632024,2.0678018109104666,1.9867115438159382
8,4,"Sun Jan 27, 2019",Orlando,0,34%,+300,+334,+335,+344,+330,+315,+345,+315,+350,+344,+330,+295,+335,+329,+353,+353,+353,+340,-,-,+360,+344,+344,+345,+320,+315,+350,-,+325,336.12,0.22958184349871677,0.19958184349871677,360,0.2173913043478261,0,1,3.6,-1,1,-3.6,-0.08192351990590285,0.08192351990590285,401.0475815183206,4.010475815183206,4.09068533148687,3.930266298879542
9,4,"Sun Jan 27, 2019",Houston,0,66%,-390,-385,-375,-440,-400,-430,-435,-400,-450,-440,-400,-390,-375,-408,-428,-428,-428,-440,-,-,-480,-440,-440,-435,-400,-430,-375,-,-425,-419.08,0.8068518913397955,0.7768518913397955,-375,0.7894736842105263,0,1,0.26666666666666666,-1,1,-0.26666666666666666,-0.01598760430292573,0.01598760430292573,-348.13285938387014,0.2872466568567565,0.29299158999389163,0.28150172371962134
