,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Breakeven_Odds_Net_Comm_Short,Edge_Long_5ticks,Edge_Long_10ticks,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Sun Jan 27, 2019",Cleveland,0,37%,+150,+170,+170,+170,+165,+175,+170,+165,+160,+170,+165,+165,+170,+164,+165,+165,+165,+165,-,-,+175,+170,+160,+175,+165,+175,+174,-,+165,167.92,0.3733482041786683,0.3433482041786683,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.05579243850866222,0.05579243850866222,191.24952099054212,1.9124952099054213,1.9507451141035295,1.874245305707313,-0.3128146754268568,-0.2815909813645082,0.3736486503040284,0.3908160605129618
1,0,"Sun Jan 27, 2019",Chicago,0,63%,-180,-189,-185,-200,-190,-210,-200,-190,-180,-200,-190,-190,-185,-192,-195,-195,-195,-195,-,-,-205,-200,-185,-205,-185,-210,-182,-,-185,-193.52,0.659035994296206,0.6290359942962059,-180,0.6428571428571429,0,1,0.5555555555555556,-1,1,-0.5555555555555556,-0.021499564428124063,0.021499564428124063,-169.5679323665909,0.5897341472785599,0.6015288302241311,0.5779394643329887,1.6935831875185097,1.8719165243734064,0.6679070741250921,0.6993588738399024
2,1,"Sun Jan 27, 2019",Sacramento,0,43%,+165,+152,+160,+153,+160,+160,+160,+145,+160,+153,+160,+155,+160,+151,+148,+155,+155,+155,-,-,+160,+153,+153,+160,+150,+160,+160,-,+150,155.52,0.3914818077127575,0.3614818077127575,160,0.3846153846153846,0,1,1.6,-1,1,-1.6,-0.060147299946830435,0.060147299946830435,176.63909459992107,1.7663909459992106,1.8017187649191948,1.7310631270792265,-0.3882001513876982,-0.346630540758178,0.3923262619441402,0.4104003523297781
3,1,"Sun Jan 27, 2019",L.A. Clippers,0,57%,-205,-169,-170,-178,-180,-180,-185,-165,-180,-178,-180,-175,-170,-177,-168,-175,-175,-185,-,-,-190,-178,-178,-185,-170,-180,-162,-,-170,-176.12,0.6376262722167809,0.6076262722167809,-162,0.6183206106870229,0,1,0.6172839506172839,-1,1,-0.6172839506172839,-0.01729578197039139,0.01729578197039139,-154.8590614488047,0.6457484571095589,0.65866342625175,0.6328334879673677,1.9544318680094925,2.233462429949439,0.6458550603832844,0.6762363739941233
4,2,"Sun Jan 27, 2019",Milwaukee,0,46%,-102,-109,-113,-115,-116,+105,-115,-115,-115,-115,-116,-118,-113,-113,-115,-,-,-120,-,-,-115,-115,-115,-115,-120,+105,-107,-,-115,-95.65217391304348,0.5302429071215873,0.5002429071215873,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.02549795959925394,-0.02549795959925394,-100.09721007467375,0.9990288433154008,1.0190094201817088,0.9790482664490927,-6.741624819958299,-3.6990641066875822,0.5352501943352349,0.5602623396913142
5,2,"Sun Jan 27, 2019",Oklahoma City,0,54%,-118,-101,+103,-105,-104,-125,-105,-105,-105,-105,-104,-102,+103,-102,-105,-,-,+100,-,-,+100,-105,-105,-105,+100,-125,+104,-,-105,-52.30434782608695,0.5104554991024715,0.48045549910247143,104,0.49019607843137253,0,1,1.04,-1,1,-1.04,-0.01987078183095825,0.01987078183095825,108.13582150023852,1.0813582150023853,1.102985379302433,1.0597310507023376,-2.9155847190314073,-2.079061362077201,0.5148691640755455,0.538891939030669
6,3,"Sun Jan 27, 2019",Toronto,0,59%,-170,-195,-200,-210,-205,-220,-210,-205,-200,-210,-205,-210,-200,-202,-210,-210,-210,-220,-,-,-230,-210,-210,-210,-200,-220,-187,-,-210,-207.96,0.6750240710029584,0.6450240710029583,-187,0.6515679442508711,0,1,0.5347593582887701,-1,1,-0.5347593582887701,-0.010043270706689589,0.010043270706689589,-181.7092423211417,0.550329739547679,0.5613363343386326,0.5393231447567255,1.5583482645392874,1.693190629714884,0.684374793133047,0.7166259966831949
7,3,"Sun Jan 27, 2019",Dallas,0,41%,+150,+175,+185,+176,+175,+180,+180,+175,+170,+176,+175,+180,+185,+172,+175,+175,+175,+170,-,-,+190,+176,+176,+180,+170,+180,+178,-,+175,176.96,0.3611653171778525,0.33116531717785247,190,0.3448275862068966,0,1,1.9,-1,1,-1.9,-0.03962058018422787,0.03962058018422787,201.96398841577656,2.0196398841577654,2.0600326818409207,1.9792470864746101,-0.27137071060191215,-0.24540006179124377,0.361100276693188,0.37765854255208064
8,4,"Sun Jan 27, 2019",Orlando,0,35%,+300,+334,+335,+344,+330,+325,+345,+315,+350,+344,+330,+295,+335,+329,+353,+353,+353,+340,-,-,+365,+344,+344,+345,+320,+325,+375,-,+325,338.12,0.22856692658315797,0.19856692658315797,375,0.21052631578947367,0,1,3.75,-1,1,-3.75,-0.05680709872999956,0.05680709872999956,403.6085400562461,4.036085400562461,4.116807108573711,3.955363692551212,-0.054505978061734406,-0.05057237408575494,0.22452393438065266,0.2344522807098106
9,4,"Sun Jan 27, 2019",Houston,0,65%,-390,-385,-375,-440,-400,-450,-435,-400,-450,-440,-400,-390,-375,-408,-428,-428,-428,-440,-,-,-485,-440,-440,-435,-400,-450,-380,-,-425,-421.08,0.8075474406017591,0.7775474406017591,-375,0.7894736842105263,0,1,0.26666666666666666,-1,1,-0.26666666666666666,-0.015106575237771841,0.015106575237771841,-349.53405018360405,0.28609515996359086,0.2918170631628627,0.280373256764319,1.1155272740918596,1.1433133079493505,0.8208738638198119,0.8597512358498998
