,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Wed Jan 30, 2019",Chicago,0,8%,+465,+415,+435,+428,+420,+380,+415,+400,+430,+428,+420,+415,+435,+409,+415,+415,+415,+415,-,-,+415,+428,+428,+415,+400,+380,+470,-,+425,418.04,0.19325280346268517,0.15325280346268516,470,0.17543859649122806,0,1,4.7,-1,1,-4.7,-0.1264590202626945,0.1264590202626945,552.5166113802842,5.525166113802842,6.635669436078898,0.004326242385425103,0.005624491550034133,6.414662791526784,0.024597584103880576,0.032260224277014804
1,0,"Wed Jan 30, 2019",Miami,0,92%,-630,-489,-500,-570,-515,-560,-540,-530,-550,-570,-515,-525,-500,-526,-565,-565,-565,-565,-,-,-545,-570,-570,-540,-500,-560,-480,-,-550,-538.6,0.8430939618030813,0.8030939618030812,-480,0.8275862068965517,0,1,0.20833333333333334,-1,1,-0.20833333333333334,-0.029594796154610165,0.029594796154610165,-407.85644216757606,0.2451843091371669,1.2500879953199102,0.14693296480283077,0.24064668903388461,1.2402806229544234,0.044092818854092525,0.0842475169442466
2,1,"Wed Jan 30, 2019",Dallas,0,91%,-235,-257,-250,-270,-275,-275,-280,-270,-300,-270,-275,-260,-250,-268,-270,-270,-270,-275,-,-,-275,-270,-270,-280,-275,-275,-252,-,-270,-270.08,0.7295774671150899,0.6895774671150898,-250,0.7142857142857143,0,1,0.4,-1,1,-0.4,-0.03459154603887421,0.03459154603887421,-222.14156321272986,0.4501633938005415,1.4591666616765524,0.07990963878011978,0.13442539142772916,1.4411601259245308,0.04068732401345265,0.07516619736920713
3,1,"Wed Jan 30, 2019",New York,0,9%,+195,+228,+230,+222,+230,+225,+230,+230,+240,+222,+230,+220,+230,+224,+230,+230,+230,+225,-,-,+225,+222,+222,+230,+235,+225,+242,-,+220,227.88,0.3050740432228086,0.26507404322280864,242,0.29239766081871343,0,1,2.42,-1,1,-2.42,-0.09344677217799435,0.09344677217799435,277.2530828902955,2.772530828902955,3.8279814454810137,0.009712439717279819,0.014073150470752154,3.7170802123248956,0.027952221296684177,0.0412059234578247
4,2,"Wed Jan 30, 2019",Charlotte,0,0%,+260,+264,+265,+263,+270,+265,+280,+255,+250,+263,+270,+255,+265,+268,+268,+268,+268,+265,-,-,+275,+263,+263,+280,+260,+265,+268,-,+260,265.44,0.2737354173957735,0.2337354173957735,280,0.2631578947368421,0,1,2.8,-1,1,-2.8,-0.11180541389606069,0.11180541389606069,327.8341772683708,3.2783417726837083,4.343908608137381,0.007958983473246055,0.011236893249786828,4.212774937230034,0.02701206252187316,0.03869883339166191
5,2,"Wed Jan 30, 2019",Boston,0,100%,-350,-299,-295,-325,-325,-330,-350,-310,-320,-325,-325,-310,-295,-325,-328,-328,-328,-330,-,-,-345,-325,-325,-350,-320,-330,-290,-,-320,-322.12,0.7627884841509521,0.7227884841509521,-290,0.7435897435897436,0,1,0.3448275862068966,-1,1,-0.3448275862068966,-0.027974107521133385,0.027974107521133385,-260.73537455223817,0.3835306205447971,1.391201232955693,0.09447764741109556,0.1584342088552858,1.3758600081339012,0.041683654524528546,0.07782307873207614
6,3,"Wed Jan 30, 2019",Memphis,0,100%,+210,+171,+170,+176,+170,+175,+165,+170,+180,+176,+170,+165,+170,+168,+170,+170,+170,+170,-,-,+180,+176,+176,+165,+180,+175,+174,-,+180,172.48,0.3671051938095675,0.32710519380956754,180,0.35714285714285715,0,1,1.8,-1,1,-1.8,-0.08410545733321095,0.08410545733321095,205.71205194075125,2.0571205194075124,3.0982629297956628,0.013877796521454136,0.021002226293766014,3.015978109019362,0.029813155814287007,0.04616841550476536
7,3,"Wed Jan 30, 2019",Minnesota,0,0%,-270,-190,-185,-210,-195,-210,-190,-200,-220,-210,-195,-190,-185,-196,-200,-200,-200,-200,-,-,-225,-210,-210,-190,-220,-210,-187,-,-220,-201.92,0.6682942571439563,0.6282942571439563,-185,0.6491228070175439,0,1,0.5405405405405406,-1,1,-0.5405405405405406,-0.032087225480932235,0.032087225480932235,-169.03001075968996,0.5916109189756252,1.6034431373551379,0.05945249937364475,0.09988517456535163,1.5797787005961128,0.038848827714318634,0.0702635405715164
8,4,"Wed Jan 30, 2019",Denver,0,100%,-330,-347,-335,-360,-370,-360,-425,-360,-330,-360,-370,-350,-335,-366,-364,-364,-364,-370,-,-,-370,-360,-360,-405,-360,-360,-340,-,-360,-361.8,0.783089503572204,0.7430895035722039,-330,0.7674418604651163,0,1,0.30303030303030304,-1,1,-0.30303030303030304,-0.03173185898167366,0.03173185898167366,-289.2406164420951,0.3457329099560249,1.3526475681551455,0.10503648463827359,0.175516595857521,1.3388182517569045,0.04229268510716608,0.07944716028577628
9,4,"Wed Jan 30, 2019",New Orleans,0,0%,+270,+303,+305,+289,+310,+280,+335,+290,+255,+289,+310,+275,+305,+299,+304,+304,+304,+295,-,-,+285,+289,+289,+325,+300,+280,+305,-,+280,296.2,0.2528195110144899,0.2128195110144899,335,0.2298850574712644,0,1,3.35,-1,1,-3.35,-0.07423512708696889,0.07423512708696889,369.8817299377756,3.6988172993777564,4.7727936453653115,0.00690191199894427,0.009560426986722874,4.624840953390201,0.02638458533043453,0.03702556088115905
10,5,"Wed Jan 30, 2019",Indiana,0,43%,-110,-105,-105,-110,-115,-115,-110,-120,-115,-110,-115,-110,-105,-108,-120,-,-,-120,-,-,-110,-110,-110,-110,-120,-115,+100,-,-110,-102.95652173913044,0.5272321146017166,0.4872321146017166,100,0.5,0,1,1.0,-1,1,-1.0,-0.025535770796566715,0.025535770796566715,105.24098679690698,1.0524098679690699,2.0734580653284516,0.030812866546942378,0.050260483020864784,2.031361670609688,0.03461696343805171,0.058978569168137485
11,5,"Wed Jan 30, 2019",Washington,0,57%,-110,-105,-105,-110,-105,-105,-110,+100,-105,-110,-105,-110,-105,-108,+100,-,-,+100,-,-,-110,-110,-110,-110,+100,-105,-104,-,-110,-71.3913043478261,0.5148209295954289,0.47482092959542893,100,0.5,0,1,1.0,-1,1,-1.0,-0.05035814080914219,0.05035814080914219,110.6057121054141,1.106057121054141,2.128178263475224,0.029065744080910987,0.04721275086204462,2.0839359786330585,0.034244627887862755,0.05798567436763419
12,6,"Wed Jan 30, 2019",Atlanta,0,37%,+185,+179,+185,+192,+175,+180,+180,+175,+170,+192,+175,+180,+185,+176,+175,+175,+175,+175,-,-,+185,+192,+192,+180,+180,+180,+184,-,+175,180.48,0.3567066988267428,0.3167066988267428,192,0.3424657534246575,0,1,1.92,-1,1,-1.92,-0.07521643942591105,0.07521643942591105,215.74955746264743,2.1574955746264743,3.200645486119004,0.01310788444770744,0.01970600693573978,3.114345663133945,0.029501200964802243,0.0453365359061394
13,6,"Wed Jan 30, 2019",Sacramento,0,63%,-225,-199,-200,-230,-205,-220,-210,-205,-200,-230,-205,-210,-200,-206,-210,-210,-210,-210,-,-,-225,-230,-230,-210,-220,-220,-196,-,-210,-212.04,0.6791740551010095,0.6391740551010094,-196,0.6621621621621622,0,1,0.5102040816326531,-1,1,-0.5102040816326531,-0.034716733112761244,0.034716733112761244,-177.14193342719287,0.5645190727304612,1.5758094541850705,0.06259928064532731,0.10525736798674723,1.553228691275852,0.039175221653030334,0.07113392440808075
14,7,"Wed Jan 30, 2019",Utah,0,40%,-103,-100,+108,+100,-105,+105,+100,-105,+105,+100,-105,+103,+108,-102,+100,-,-,+100,-,-,+105,+100,+100,+100,+105,+105,+104,-,+100,57.869565217391305,0.4967350273284923,0.4567350273284923,108,0.4807692307692307,0,1,1.08,-1,1,-1.08,-0.04999114315673603,0.04999114315673603,118.94532719531965,1.1894532719531965,2.2132423373922605,0.02667900672916551,0.043052832349701774,2.1656642065141325,0.03370205081985478,0.056538802186279435
