,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Wed Jan 30, 2019",Ole Miss,0,56%,+200,+181,+200,+195,+190,+190,+185,+180,+190,+195,+190,+200,+200,+179,+185,-,-,+185,-,-,+190,+195,+195,+185,+205,+190,-,-,+180,190.22727272727272,0.3447661765679482,0.30476617656794824,205,0.3278688524590164,0,1,2.05,-1,1,-2.05,-0.07046316146775788,0.07046316146775788,228.12040078110437,2.2812040078110436,3.3268280879672645,0.012261292873714842,0.01828777833316162,3.2355799276548227,0.029142985297038404,0.0443812941254359
1,0,"Wed Jan 30, 2019",Florida,0,44%,-240,-215,-220,-235,-220,-230,-220,-220,-230,-235,-220,-230,-220,-221,-225,-,-,-225,-,-,-230,-235,-235,-220,-245,-230,-,-,-220,-226.4090909090909,0.6934814613201244,0.6534814613201244,-215,0.6825396825396826,0,1,0.46511627906976744,-1,1,-0.46511627906976744,-0.04257367294958514,0.04257367294958514,-188.58484853643878,0.5302652931880568,1.540870599051818,0.06702727112020426,0.11278176438823614,1.5196599873242955,0.03960444383960382,0.07227851690561005
2,1,"Wed Jan 30, 2019",(10) Marquette,0,98%,+135,+128,+135,+125,+128,+115,+120,+125,+125,+125,+128,+130,+135,+126,+130,-,-,+130,-,-,+125,+125,+125,+120,+130,+115,+139,-,+130,126.69565217391305,0.44139516709732446,0.4013951670973245,139,0.4184100418410042,0,1,1.39,-1,1,-1.39,-0.04066555063739452,0.04066555063739452,149.13105138546288,1.4913105138546288,2.521136724131721,0.02039405897702977,0.03214510694383093,2.461484303577536,0.032041855012919784,0.052111613367786025
3,1,"Wed Jan 30, 2019",Butler,0,2%,-155,-150,-145,-145,-148,-135,-140,-145,-145,-145,-148,-150,-145,-153,-150,-,-,-150,-,-,-145,-145,-145,-140,-150,-135,-156,-,-150,-146.08695652173913,0.5934695617054373,0.5534695617054373,-135,0.574468085106383,0,1,0.7407407407407407,-1,1,-0.7407407407407407,-0.03655298517942407,0.03655298517942407,-123.94889894165064,0.8067840929113483,1.8229197747695753,0.04193293348271959,0.06964588547523876,1.7906484110531213,0.036604086851163176,0.064277564936435
4,2,"Wed Jan 30, 2019",Fordham,0,100%,+135,+120,+130,+115,+113,+115,+120,+125,+120,+115,+113,+125,+130,+118,+115,-,-,+120,-,-,+115,+115,+115,+120,+125,+115,-,-,+120,119.04545454545455,0.4567629201380008,0.4167629201380008,130,0.4347826086956522,0,1,1.3,-1,1,-1.3,-0.041445283682598144,0.041445283682598144,139.94457080511737,1.3994457080511737,2.427434622212197,0.02199954374662804,0.03492197494763203,2.3714567938901503,0.032502887604139996,0.053341033611040034
5,2,"Wed Jan 30, 2019",George Washington,0,0%,-155,-141,-140,-135,-133,-135,-140,-145,-140,-135,-133,-145,-140,-144,-135,-,-,-140,-,-,-135,-135,-135,-140,-145,-135,-,-,-140,-138.45454545454547,0.5805202406656235,0.5405202406656234,-133,0.5708154506437768,0,1,0.7518796992481203,-1,1,-0.7518796992481203,-0.05307356334518604,0.05307356334518604,-117.63744314845246,0.850069478931169,1.8670708685097925,0.03949052190352298,0.06539502048148979,1.8330680893525457,0.03621560721996864,0.06324161925324978
6,3,"Wed Jan 30, 2019",Northern Iowa,0,0%,+160,+130,+140,+135,+438,+140,+140,+135,+438,+135,+135,+135,+438,+128,+138,-,+438,+135,-,-,+438,+135,+135,+140,+438,+140,-,-,+438,227.91304347826087,0.3514022200551552,0.3114022200551552,438,0.1858736059479554,1,0,4.38,-1,1,-4.38,0.675343943896735,-0.675343943896735,221.1280895245002,2.211280895245002,3.255506513149902,0.012726950209984815,0.01906688746292343,3.167055277340102,0.029342066601654726,0.04491217760441257
7,3,"Wed Jan 30, 2019",Bradley,0,100%,-185,-152,-150,-155,-575,-160,-160,-155,-575,-155,-155,-155,-575,-156,-158,-,-575,-160,-,-,-575,-155,-155,-160,-575,-160,-,-,-575,-283.7391304347826,0.6834669871573977,0.6434669871573977,-150,0.6,1,0,0.6666666666666666,-1,1,-0.6666666666666666,0.07244497859566279,-0.07244497859566279,-180.47893574485553,0.554081281492987,1.5651629071228466,0.06389203438573539,0.1074584259091748,1.5429996558631274,0.03930400961472186,0.07147735897259172
9,4,"Wed Jan 30, 2019",Rhode Island,0,50%,+115,+118,+120,+113,-519,+115,+115,+120,-600,+113,+113,+115,-550,+116,+115,-,-549,+115,-,-,-565,+113,+113,+115,-550,+115,-,-,-600,-90.82608695652173,0.5815036798057105,0.5415036798057105,120,0.45454545454545453,1,0,1.2,-1,1,-1.2,0.191308095572563,-0.191308095572563,-118.10425862878164,0.8467095188693756,1.8636437092467633,0.03967094615476858,0.06570923856697147,1.829775328491988,0.03624511039417139,0.06332029438445691
11,5,"Wed Jan 30, 2019",Massachusetts,0,55%,-102,+112,+115,+113,-500,+110,+110,+115,-550,+113,+110,+110,-515,+110,+110,-,-555,+110,-,-,-,+113,+113,+110,-550,+110,-,-,-,-42.19047619047619,0.5607593749172102,0.5207593749172101,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.1196326560720018,-0.1196326560720018,-108.66344538868086,0.9202726790256616,1.9386781326061748,0.0360307162388775,0.05936463670286604,1.9018672254451483,0.03562278124751633,0.061660749993376784
