,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks,Kelly_Long,Kelly_Short
4,2,"Wed Jan 30, 2019",Fordham,0,100%,+135,+120,+130,+117,+113,+400,+425,+390,+120,+416,+420,+415,+123,+396,+425,-,+129,+415,-,-,+120,+416,+416,+425,+125,+400,-,-,+120,285.9130434782609,0.306609100499174,0.266609100499174,425,0.19047619047619047,1,0,4.25,-1,1,-4.25,0.3996977776206636,-0.3996977776206636,275.0809699022626,2.7508096990226263,3.805825893003079,0.009803914546601905,0.014222713115554939,3.6957935050421735,0.02799827301497526,0.04132872803993404,0.09404653591074438,-0.3996977776206636
5,2,"Wed Jan 30, 2019",George Washington,0,0%,-155,-141,-140,-137,-133,-600,-550,-520,-140,-550,-515,-525,-143,-549,-555,-,-156,-565,-,-,-140,-550,-550,-550,-146,-600,-,-,-140,-373.69565217391306,0.733158717110349,0.6931587171103489,-133,0.5708154506437768,1,0,0.7518796992481203,-1,1,-0.7518796992481203,0.21433068486249096,-0.21433068486249096,-225.90138803442193,0.4426710294704449,1.4515244500598539,0.0813415208539522,0.13680752931377652,1.433817608881036,0.04079476151331052,0.07545269736882795,0.285059810867113,-0.21433068486249096
7,3,"Wed Jan 30, 2019",Bradley,0,100%,-185,-164,-160,-165,-575,-165,-160,-170,-140,-165,-163,-165,-140,-168,-163,-,-145,-165,-,-,-,-165,-165,-160,-143,-165,-,-,-147,-178.0909090909091,0.6244777904644192,0.5844777904644192,-140,0.5833333333333334,1,0,0.7142857142857143,-1,1,-0.7142857142857143,0.0019619265104328654,-0.0019619265104328654,-140.6610229373,0.7109289973283874,1.7251475772749552,0.048422177678585046,0.08090458613187977,1.6967104173818197,0.037534333713932555,0.06675822323715347,0.0027466971146060115,-0.0019619265104328654
9,4,"Wed Jan 30, 2019",Rhode Island,0,50%,+115,+118,+120,+113,-519,+115,+115,+120,-145,+113,+113,+115,-145,+116,+115,-,-,+115,-,-,-,+113,+113,+115,-140,+115,-,-,-,44.75,0.5019728588219655,0.46197285882196554,120,0.45454545454545453,1,0,1.2,-1,1,-1.2,0.016340289408324216,-0.016340289408324216,116.46293302814539,1.1646293302814539,2.187921916887083,0.02735163284757275,0.04422459774846038,2.141336743675825,0.03385918576465896,0.05695782870575733,0.01361690784027018,-0.016340289408324216
11,5,"Wed Jan 30, 2019",Massachusetts,0,57%,-102,+112,+115,+113,-500,+110,+110,+115,-145,+113,+110,+110,-140,+110,+110,-,-,+110,-,-,-145,+113,+113,+110,-145,+110,-,-,-145,25.636363636363637,0.5158905834001826,0.4758905834001826,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.023164754310392444,-0.023164754310392444,110.13233606244464,1.1013233606244464,2.123349827836935,0.029212700840630296,0.04746904389130719,2.079296893411957,0.03427671750200567,0.05807124667201474,0.02014326461773256,-0.023164754310392444
12,6,"Wed Jan 30, 2019",La Salle,0,50%,+438,+433,+470,+431,+416,+400,+445,+425,+120,+431,+445,+455,+130,+429,+445,-,-,+440,-,-,+120,+431,+431,+445,+125,+400,-,-,+120,363.04545454545456,0.24690162813691738,0.20690162813691737,470,0.17543859649122806,1,0,4.7,-1,1,-4.7,0.179339280380429,-0.179339280380429,383.3214745600015,3.833214745600015,4.909879040512015,0.006618143780654173,0.009115519416337804,4.756550450688015,0.026207048844107517,0.036552130250953385,0.03815729369796362,-0.179339280380429
15,7,"Wed Jan 30, 2019",Indiana,0,100%,+125,+108,+118,+107,-515,+110,+110,+110,-550,+107,+108,+113,-500,+106,+110,-,-,+110,-,-,-540,+107,+107,+110,-600,+110,-,-,-550,-68.36363636363636,0.5774912390457795,0.5374912390457794,118,0.4587155963302753,1,0,1.18,-1,1,-1.18,0.17173090111979916,-0.17173090111979916,-116.21212059569629,0.8604954413309563,1.8777053501575756,0.038939882329273465,0.06443587438026079,1.8432855325043374,0.03612473717137332,0.06299929912366231,0.1455346619659315,-0.17173090111979916
21,10,"Wed Jan 30, 2019",Providence,0,100%,-170,-189,-190,-200,+110,+100,-105,+100,+110,-103,-103,-102,+115,-102,-105,-,-,+110,-,-,+110,-103,-103,+100,+115,+100,-,-,+110,-10.227272727272727,0.5159477792069892,0.4759477792069892,115,0.46511627906976744,1,0,1.15,-1,1,-1.15,0.023287725295026873,-0.023287725295026873,110.10708394651442,1.1010708394651443,2.123092256254447,0.029220577659984683,0.047482781482411265,2.0790494226758414,0.03427843337620967,0.05807582233655911,0.020250195908719022,-0.023287725295026873
24,12,"Wed Jan 30, 2019",Niagara,0,48%,-,+150,+146,+155,-128,+115,-,+115,-130,+115,-,-,-128,+115,-,+115,-,+115,+115,-,-135,+115,-,-,-130,+115,-,-,-125,39.44444444444444,0.4871096044571195,0.4471096044571195,155,0.3921568627450981,1,0,1.55,-1,1,-1.55,0.14012949136565467,-0.14012949136565467,123.65880536478299,1.23658805364783,2.2613198147207867,0.025480655259394695,0.04096669111365875,2.2118562925748733,0.03341328813371369,0.05576876835656969,0.09040612346171269,-0.14012949136565467
25,12,"Wed Jan 30, 2019",South Dakota,0,52%,-,-170,-172,-165,+108,-135,-,-135,+110,-135,-,-,+118,-135,-,-135,-,-135,-135,-,+115,-135,-,-,+110,-135,-,-,+105,-58.666666666666664,0.549979099044251,0.509979099044251,118,0.4587155963302753,1,0,1.18,-1,1,-1.18,0.11175443591646717,-0.11175443591646717,-104.07292791992647,0.9608646744035089,1.980081967891579,0.03426850879020823,0.0562904758443696,1.9416473809154386,0.03529937297132757,0.06079832792354006,0.09470714908175185,-0.11175443591646717
