,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
1,0,"Sat Feb 02, 2019",Newcastle United,0,9%,-,-,+858,-,+738,-,-,+800,-264,-,-,+738,-,-,-,+852,-238,-,-,+762,-,-,-,+738,-238,-,-,+800,-220,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
3,1,"Sat Feb 02, 2019",Brighton & Hove Albion FC,0,88%,+146,+158,+164,+158,-,+160,+225,+165,+355,+158,+219,+190,-,+157,+233,+199,+355,+148,+210,-,-,+158,+219,+186,+336,+160,+225,+206,+360,212.6667,0.3323,0.31229999999999997,360,0.2174,1,0,0.4366,0.12127222222222221,220.2,3.202,3.246,0.0128,0.0192,3.158,0.0294,0.045
4,1,"Sat Feb 02, 2019",Watford FC,0,0%,+165,+199,+195,+186,-,+208,+195,+158,-250,+208,+184,+157,-250,+208,+196,+153,-238,+208,+178,-,-,+208,+184,+155,-264,+208,+195,+164,-,114.375,0.4105,0.39049999999999996,208,0.3247,1,0,0.2027,0.0974711538461538,156.08,2.5608,2.592,0.0193,0.0303,2.5296000000000003,0.0317,0.0512
9,3,"Sat Feb 02, 2019",Chelsea FC,0,50%,-637,-436,-458,-400,+157,+105,+245,+265,-,+107,+232,+255,-,+110,+249,+280,+355,-101,+230,-,+343,+107,+232,+275,+344,+105,+245,+315,-,131.7083,0.3964,0.37639999999999996,355,0.2198,1,0,0.7126,0.200738028169014,165.67,2.6567,2.6898,0.018,0.028,2.6235999999999997,0.0313,0.0501
12,4,"Sat Feb 02, 2019",Crystal Palace,0,85%,-103,+111,+110,+107,-455,+209,+130,+185,+180,+209,+130,+215,+185,+209,+132,+229,+199,+209,+120,-,-,+209,+130,+211,+165,+209,+130,+232,-,148.0,0.3934,0.3734,232,0.3012,1,0,0.2397,0.10331379310344824,167.81,2.6781,2.7116999999999996,0.0177,0.0275,2.6445,0.0312,0.0499
15,5,"Sat Feb 02, 2019",Everton FC,0,46%,+124,+140,+142,+136,+102,+270,+240,+120,-,+250,+245,+114,+195,+273,+237,+119,+199,+249,+224,-,+179,+250,+245,+111,+188,+270,+240,+120,+190,194.1538,0.3546,0.3346,273,0.2681,1,0,0.2481,0.09086373626373627,198.86,2.9886,3.0284,0.0144,0.022,2.9488,0.0301,0.0468
18,6,"Sat Feb 02, 2019",Cardiff City,0,34%,+180,+229,+231,+211,+137,-,-,+600,+150,-,-,-,+155,-,-,-,+153,-,-,-,-,-,-,-,+158,-,-,+600,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
19,6,"Sat Feb 02, 2019",AFC Bournemouth,0,66%,+128,+133,+134,+130,+205,-,-,-260,+175,-,-,-,+185,-,-,-,+198,-,-,-,-,-,-,-,+173,-,-,-260,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
20,6,"Sat Feb 02, 2019",Draw,0,0%,+209,+250,+246,+241,+220,-,-,-,+220,-,-,-,+230,-,-,-,+243,-,-,-,-,-,-,-,+215,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
21,7,"Sunday, February 03, 2019",Leicester City,0,-,+240,+275,+272,+250,+215,-,-,-,-,-,-,-,+157,-,-,-,+153,-,-,-,+150,-,-,-,-,-,-,-,+160,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
22,7,"Sunday, February 03, 2019",Manchester United,0,-,-106,+119,+116,+111,+130,-,-,-,-,-,-,-,+191,-,-,-,+198,-,-,-,+179,-,-,-,-,-,-,-,+190,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
23,7,"Sunday, February 03, 2019",Draw,0,-,+221,+237,+248,+245,+225,-,-,-,-,-,-,-,+231,-,-,-,+243,-,-,-,+222,-,-,-,-,-,-,-,+240,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
24,8,"Sunday, February 03, 2019",Arsenal FC,0,-,-,-,-,-,+240,-,-,-,+450,-,-,-,+500,-,-,-,+572,-,-,-,-,-,-,-,+482,-,-,-,+680,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
25,8,"Sunday, February 03, 2019",Draw,0,-,-,-,-,-,+114,-,-,-,-455,-,-,-,-400,-,-,-,-436,-,-,-,-,-,-,-,-417,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
26,8,"Wednesday, February 06, 2019",Everton FC,0,-,-,-,-,-,+225,-,-,-,+1100,-,-,-,+1150,-,-,-,+1279,-,-,-,-,-,-,-,+1100,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
27,9,"Wednesday, February 06, 2019",Draw,0,-,-,-,-,-,-,-,-,-,+450,-,-,-,+500,-,-,-,+572,-,-,-,-,-,-,-,+450,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
28,9,"Saturday, February 09, 2019",Fulham FC,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-458,-,-,-,-436,-,-,-,-461,-,-,-,-498,-,-,-,-500,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
29,9,"Saturday, February 09, 2019",Manchester United,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+1351,-,-,-,+1279,-,-,-,+1200,-,-,-,+1252,-,-,-,+1600,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
30,10,"Saturday, February 09, 2019",Draw,0,-,-,-,-,-,-359,-,-,-,-,-,-,-,+598,-,-,-,+572,-,-,-,+502,-,-,-,+560,-,-,-,+650,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
31,10,"Saturday, February 09, 2019",Crystal Palace,0,-,-,-,-,-,+605,-,-,-,+245,-,-,-,+230,-,-,-,+249,-,-,-,-,-,-,-,+232,-,-,-,+252,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
32,10,"Saturday, February 09, 2019",West Ham United,0,-,-,-,-,-,+410,-,-,-,+100,-,-,-,+105,-,-,-,+111,-,-,-,-,-,-,-,-108,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
33,11,"Saturday, February 09, 2019",Draw,0,-,-,-,-,-,-324,-,-,-,+260,-,-,-,+270,-,-,-,+280,-,-,-,-,-,-,-,+265,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
34,11,"Saturday, February 09, 2019",Huddersfield Town,0,-,-,-,-,-,+822,-,-,-,+225,-,-,-,+245,-,-,-,+249,-,-,-,-,-,-,-,+245,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
35,11,"Saturday, February 09, 2019",Arsenal FC,0,-,-,-,-,-,+537,-,-,-,-,-,-,-,+110,-,-,-,+111,-,-,-,+102,-,-,-,+104,-,-,-,+105,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
36,12,"Saturday, February 09, 2019",Draw,0,-,-,-,-,-,-318,-,-,-,-,-,-,-,+284,-,-,-,+280,-,-,-,+258,-,-,-,+267,-,-,-,+280,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
37,12,"Saturday, February 09, 2019",Liverpool FC,0,-,-,-,-,-,+859,-,-,-,-,-,-,-,+250,-,-,-,+249,-,-,-,+237,-,-,-,+237,-,-,-,+260,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
38,12,"Saturday, February 09, 2019",AFC Bournemouth,0,-,-,-,-,-,+514,-,-,-,+235,-,-,-,+220,-,-,-,+233,-,-,-,-,-,-,-,+230,-,-,-,+238,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
39,13,"Saturday, February 09, 2019",Draw,0,-,-,-,-,-,-357,-,-,-,+130,-,-,-,+135,-,-,-,+140,-,-,-,-,-,-,-,+120,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-14.7549,-8.5754,1.0200080032012806,1.0194,1.0184
