,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Fri Feb 01, 2019",Memphis,0,9%,+180,+262,+265,+260,+265,+230,+255,+255,+245,+260,+265,+255,+265,+256,+255,+255,+255,+255,-,-,+260,+260,+260,+255,+250,+230,+264,-,+250,255.48,0.2815,0.26149999999999995,265,0.274,0,1,-0.0455,0.0,282.41,3.8241,3.8806,0.0095,0.0137,3.7676,0.0278,0.0409
1,0,"Fri Feb 01, 2019",Charlotte,0,91%,-240,-297,-295,-320,-315,-280,-315,-310,-310,-320,-315,-310,-295,-310,-315,-315,-315,-315,-,-,-325,-320,-320,-315,-300,-280,-290,-,-310,-308.48,0.755,0.735,-280,0.7368,0,1,-0.0025,0.0,-277.3925,1.3605,1.3677000000000001,0.1006,0.1684,1.3533,0.0421,0.0788
2,1,"Fri Feb 01, 2019",Boston,0,44%,-1475,-1113,-1100,-1300,-1200,-1400,-1095,-1300,-1200,-1300,-1200,-1200,-1100,-1299,-1238,-,-,-1220,-,-,-1300,-1300,-1300,-1095,-1200,-1400,-1050,-,-1300,-1226.5217,0.9242,0.9042,-1050,0.913,0,1,-0.0097,0.0,-943.3962,1.106,1.1081,0.2983,0.4438,1.1039,0.0471,0.0923
3,1,"Fri Feb 01, 2019",New York,0,56%,+800,+836,+900,+797,+825,+750,+795,+725,+825,+797,+825,+800,+900,+825,+788,-,-,+805,-,-,+900,+797,+797,+795,+800,+750,+860,-,+800,812.6957,0.1098,0.08979999999999999,900,0.1,0,1,-0.102,0.0,1013.59,11.1359,11.3386,0.0022,0.0026,10.9332,0.0227,0.0272
4,2,"Fri Feb 01, 2019",Oklahoma City,0,60%,-180,-178,-178,-180,-194,-180,-180,-190,-185,-180,-194,-185,-178,-184,-184,-182,-182,-185,-,-,-190,-180,-180,-180,-180,-180,-172,-,-180,-182.44,0.6458,0.6258,-172,0.6324,0,1,-0.0104,0.0,-167.2241,1.598,1.6099999999999999,0.0588,0.0988,1.5859999999999999,0.0388,0.0701
5,2,"Fri Feb 01, 2019",Miami,0,40%,+150,+160,+167,+155,+169,+160,+155,+165,+165,+155,+169,+165,+167,+157,+159,+162,+162,+155,-,-,+155,+155,+155,+155,+160,+160,+161,-,+160,160.32,0.3843,0.36429999999999996,169,0.3717,0,1,-0.02,0.0,174.5,2.745,2.7799,0.0169,0.0261,2.7100999999999997,0.0309,0.0491
6,3,"Fri Feb 01, 2019",Atlanta,0,51%,+575,+629,+635,+639,+635,+600,+615,+600,+600,+639,+635,+650,+635,+635,+565,-,-,+630,-,-,+565,+639,+639,+615,+550,+600,+650,-,+575,616.3043,0.1398,0.1198,650,0.1333,0,1,-0.1015,0.0,734.72,8.3472,8.4941,0.0031,0.0039,8.200300000000002,0.0236,0.0296
7,3,"Fri Feb 01, 2019",Utah,0,49%,-850,-786,-800,-950,-850,-1000,-865,-900,-850,-950,-850,-850,-800,-909,-840,-,-,-880,-,-,-760,-950,-950,-865,-750,-1000,-760,-,-850,-868.0435,0.8961,0.8761,-750,0.8824,0,1,-0.0071,0.0,-707.2136,1.1414,1.1442,0.2381,0.3687,1.1386,0.0463,0.0901
8,4,"Fri Feb 01, 2019",Houston,0,55%,+160,+163,+175,+170,+165,+165,+170,+170,+170,+170,+165,+170,+175,+160,+170,+170,+170,+170,-,-,+170,+170,+170,+170,+175,+165,+165,-,+170,168.92,0.3719,0.3519,175,0.3636,0,1,-0.0323,0.0,184.17,2.8417,2.8785,0.0158,0.0243,2.8049,0.0306,0.0481
9,4,"Fri Feb 01, 2019",Denver,0,45%,-195,-181,-190,-200,-190,-190,-200,-200,-200,-200,-190,-200,-190,-187,-200,-200,-200,-200,-,-,-200,-200,-200,-200,-210,-190,-178,-,-200,-195.84,0.6618,0.6418,-178,0.6403,1,0,0.0024,0.004204000000000182,-179.1794,1.5581,1.5693000000000001,0.0634,0.1066,1.5469,0.0393,0.0714
