,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Fri Feb 01, 2019",Pennsylvania,0,8%,-240,-264,-255,-270,-257,-250,-275,-255,-260,-265,-257,-255,-255,-260,-265,-265,-255,-260,-,-,-270,-270,-270,-275,-250,-250,-,-,-250,-260.75,0.7227,0.7027,-250,0.7143,0,1,-0.0162,0.0,-236.3507,1.4231,1.4316,0.0854,0.1434,1.4146,0.0411,0.0762
1,0,"Fri Feb 01, 2019",Cornell,0,92%,+200,+219,+235,+222,+217,+210,+225,+215,+220,+218,+217,+215,+235,+207,+225,+225,+215,+210,-,-,+220,+222,+222,+225,+210,+210,-,-,+210,218.7083,0.3139,0.2939,235,0.2985,0,1,-0.0154,0.0,240.25,3.4025,3.4505,0.0115,0.0171,3.3544,0.0288,0.0435
2,1,"Fri Feb 01, 2019",North Dakota,0,0%,+135,+142,+145,+144,+145,+150,+140,+140,+140,+144,+145,+140,+145,+140,+143,-,-,+140,-,-,+140,+144,-,+140,+140,+150,-,-,+145,142.9524,0.4117,0.3917,150,0.4,0,1,-0.0208,0.0,155.3,2.553,2.5841000000000003,0.0194,0.0305,2.5219,0.0318,0.0513
3,1,"Fri Feb 01, 2019",Western Illinois,0,100%,-155,-167,-155,-165,-165,-170,-160,-160,-160,-165,-165,-160,-155,-171,-163,-,-,-165,-,-,-165,-165,-,-160,-160,-170,-,-,-165,-163.381,0.6202,0.6002,-155,0.6078,0,1,-0.0126,0.0,-150.1276,1.6661,1.6794,0.0521,0.0872,1.6528,0.038,0.068
4,2,"Fri Feb 01, 2019",Princeton,0,97%,-135,-124,-130,-135,-130,-135,-135,-130,-140,-135,-130,-135,-130,-126,-135,-,-,-135,-,-,-135,-135,-133,-135,-130,-135,-,-,-340,-142.1818,0.5795,0.5595,-124,0.5536,1,0,0.0107,0.013279999999999955,-127.0164,1.7873,1.803,0.0431,0.0717,1.7715999999999998,0.0368,0.0647
5,2,"Fri Feb 01, 2019",Columbia,0,3%,+115,+106,+120,+115,+110,+115,+115,+110,+120,+115,+110,+115,+120,+104,+115,-,-,+115,-,-,+115,+115,+113,+115,+110,+115,-,-,+270,120.8182,0.4591,0.4391,270,0.2703,1,0,0.6247,0.23135925925925926,127.74,2.2774,2.3029,0.0245,0.0393,2.2519,0.0331,0.0551
6,3,"Fri Feb 01, 2019",Brown,0,5%,-135,-136,-130,-130,-137,-135,-135,-130,-140,-130,-137,-135,-130,-139,-135,-,-,-135,-,-,-135,-130,-130,-135,-140,-135,-,-,-130,-134.0455,0.5726,0.5526,-130,0.5652,0,1,-0.0223,0.0,-123.5178,1.8096,1.8258,0.0418,0.0693,1.7934,0.0366,0.0642
7,3,"Fri Feb 01, 2019",Dartmouth,0,95%,+115,+116,+120,+110,+117,+115,+115,+110,+120,+110,+117,+115,+120,+114,+115,-,-,+115,-,-,+115,+110,+110,+115,+120,+115,-,-,+110,114.7273,0.4658,0.4458,120,0.4545,0,1,-0.0192,0.0,124.32,2.2432,2.2681,0.0253,0.0407,2.2183,0.0334,0.0557
8,4,"Fri Feb 01, 2019",Yale,0,95%,-110,+104,+103,+100,+100,+100,+100,+100,+100,+100,+100,-102,+103,+102,+100,-,-,-,-,-,-105,+100,+100,+100,+100,+100,-,-,+100,81.1905,0.4994,0.4794,104,0.4902,0,1,-0.022,0.0,108.59,2.0859,2.1075999999999997,0.0297,0.0483,2.0642,0.0344,0.0584
9,4,"Fri Feb 01, 2019",Harvard,0,5%,-110,-122,-113,-120,-120,-120,-120,-120,-120,-120,-120,-118,-113,-124,-120,-,-,-,-,-,-115,-120,-120,-120,-120,-120,-,-,-120,-119.2857,0.5439,0.5239,-113,0.5305,0,1,-0.0125,0.0,-110.0352,1.9088,1.927,0.0366,0.0603,1.8906,0.0357,0.0619
10,5,"Fri Feb 01, 2019",Davidson,0,53%,-123,-128,-120,-125,-123,-125,-125,-125,-125,-125,-123,-125,-120,-131,-125,-,-,-,-,-,-125,-125,-125,-125,-125,-125,-,-,-125,-124.7619,0.555,0.535,-120,0.5455,0,1,-0.0192,0.0,-115.0483,1.8692,1.8866,0.0385,0.0637,1.8518,0.036,0.0628
11,5,"Fri Feb 01, 2019",St. Bonaventure,0,47%,+103,+110,+110,+105,+103,+105,+105,+105,+105,+105,+103,+105,+110,+108,+105,-,-,-,-,-,+105,+105,+105,+105,+105,+105,-,-,+105,105.6667,0.4863,0.4663,110,0.4762,0,1,-0.0208,0.0,114.45,2.1445,2.1673999999999998,0.0279,0.0452,2.1216,0.034,0.0573
12,6,"Fri Feb 01, 2019",(5) Michigan,0,58%,-185,-219,-215,-205,-225,-210,-230,-205,-210,-200,-225,-225,-215,-209,-225,-,-,-250,-,-,-200,-205,-205,-230,-220,-210,-258,-,-220,-218.087,0.685,0.665,-200,0.6667,0,1,-0.0025,0.0,-198.4915,1.5038,1.5139,0.0709,0.1193,1.4937,0.0399,0.0732
13,6,"Fri Feb 01, 2019",Iowa,0,42%,+160,+184,+195,+172,+195,+175,+195,+175,+175,+170,+195,+195,+195,+170,+185,-,-,+210,-,-,+170,+172,+172,+195,+180,+175,+153,-,+180,181.8696,0.3555,0.33549999999999996,210,0.3226,1,0,0.04,0.01907142857142853,198.06,2.9806,3.0202,0.0145,0.0221,2.941,0.0301,0.0468
14,7,"Fri Feb 01, 2019",Northern Kentucky,0,94%,-170,-156,-150,-160,-155,-155,-155,-155,-160,-160,-155,-155,-150,-159,-159,-,-,-160,-,-,-160,-160,-160,-155,-155,-155,-,-,-155,-156.5455,0.6101,0.5901,-150,0.6,0,1,-0.0165,0.0,-143.9678,1.6946,1.7085,0.0497,0.0831,1.6806999999999999,0.0377,0.0672
15,7,"Fri Feb 01, 2019",IUPUI,0,6%,+150,+133,+140,+140,+135,+135,+135,+135,+140,+140,+135,+135,+140,+131,+139,-,-,+135,-,-,+135,+140,+140,+135,+135,+135,-,-,+135,136.5,0.4229,0.4029,140,0.4167,0,1,-0.033,0.0,148.2,2.482,2.5116,0.0205,0.0324,2.4524,0.0321,0.0522
16,8,"Fri Feb 01, 2019",Quinnipiac,0,100%,+150,+145,+150,+140,+150,+145,+150,+145,+150,+135,+150,+145,+150,+143,+148,-,-,+145,-,-,+145,+140,+140,+150,+145,+145,-,-,+150,145.7273,0.4071,0.3871,150,0.4,0,1,-0.0322,0.0,158.33,2.5833,2.615,0.019,0.0297,2.5515999999999996,0.0316,0.051
17,8,"Fri Feb 01, 2019",Canisius,0,0%,-170,-170,-160,-160,-170,-165,-170,-165,-170,-155,-170,-165,-160,-174,-168,-,-,-170,-,-,-170,-160,-160,-170,-165,-165,-,-,-170,-166.0,0.6239,0.6039,-155,0.6078,0,1,-0.0065,0.0,-152.4623,1.6559,1.669,0.053,0.0888,1.6428,0.0381,0.0683
18,9,"Fri Feb 01, 2019",Milwaukee,0,0%,+255,+237,+265,+245,+245,+255,+255,+255,+245,+245,+245,+255,+265,+234,+252,-,-,+250,-,-,+255,+245,+245,+255,+260,+255,-,-,+245,250.3636,0.2856,0.2656,265,0.274,0,1,-0.0306,0.0,276.51,3.7651,3.8204,0.0097,0.0141,3.7098,0.028,0.0412
19,9,"Fri Feb 01, 2019",Green Bay,0,100%,-310,-287,-295,-300,-290,-310,-315,-310,-310,-300,-290,-310,-295,-297,-307,-,-,-310,-,-,-315,-300,-300,-315,-320,-310,-,-,-305,-304.1364,0.7524,0.7323999999999999,-287,0.7416,0,1,-0.0124,0.0,-273.6727,1.3654,1.3727,0.0993,0.1663,1.3580999999999999,0.0419,0.0786
20,10,"Fri Feb 01, 2019",(18) Buffalo,0,88%,-380,-346,-345,-370,-360,-380,-390,-380,-370,-370,-360,-360,-345,-360,-364,-,-,-370,-,-,-370,-370,-370,-390,-380,-380,-360,-,-380,-368.2609,0.7863,0.7663,-345,0.7753,0,1,-0.0116,0.0,-327.8689,1.305,1.3111,0.1191,0.1978,1.2989,0.043,0.0813
21,10,"Fri Feb 01, 2019",Bowling Green,0,13%,+315,+281,+315,+296,+300,+290,+310,+300,+290,+296,+300,+280,+315,+278,+304,-,-,+295,-,-,+290,+296,+296,+310,+310,+290,+272,-,+300,296.2609,0.2526,0.2326,315,0.241,0,1,-0.0347,0.0,329.92,4.2992,4.3652,0.0079,0.0111,4.2332,0.027,0.0386
22,11,"Fri Feb 01, 2019",Wright State,0,100%,-135,-136,-135,-150,-137,-145,-140,-135,-140,-150,-137,-140,-135,-139,-135,-,-,-135,-,-,-140,-150,-150,-140,-145,-145,-,-,-135,-140.6364,0.5842,0.5642,-135,0.5745,0,1,-0.0179,0.0,-129.4666,1.7724,1.7877999999999998,0.044,0.0733,1.7570000000000001,0.0369,0.0651
23,11,"Fri Feb 01, 2019",Illinois-Chicago,0,0%,+115,+116,+125,+130,+117,+125,+120,+115,+120,+130,+117,+120,+125,+114,+115,-,-,+115,-,-,+120,+130,+130,+120,+125,+125,-,-,+115,121.3182,0.4521,0.4321,130,0.4348,0,1,-0.0062,0.0,131.43,2.3143,2.3406000000000002,0.0237,0.0379,2.2880000000000003,0.033,0.0546
24,12,"Fri Feb 01, 2019",(21) Maryland,0,38%,+180,+187,+190,+199,+200,+185,+190,+185,+180,+199,+200,+190,+190,+185,+185,-,-,+185,-,-,+180,+199,+180,+190,+180,+185,+183,-,+180,188.1304,0.3473,0.3273,200,0.3333,0,1,-0.0181,0.0,205.53,3.0553,3.0964,0.0139,0.021,3.0142,0.0298,0.0462
25,12,"Fri Feb 01, 2019",(24) Wisconsin,0,62%,-220,-222,-210,-240,-240,-225,-225,-225,-220,-240,-240,-220,-210,-228,-225,-,-,-225,-,-,-220,-240,-215,-225,-220,-225,-230,-,-220,-225.6522,0.6927,0.6727,-210,0.6774,0,1,-0.007,0.0,-205.5498,1.4865,1.4962,0.0735,0.1237,1.4768,0.0402,0.0738
