,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
4,2,"Fri Feb 01, 2019",Princeton,0,94%,-135,-124,-130,-133,-130,-135,-135,-130,-140,-133,-130,-135,-130,-126,-135,-,-,-135,-,-,-135,-133,-133,-135,-130,-135,-,-,-340,-141.9091,0.579,0.5589999999999999,-124,0.5536,1,0,0.0098,0.012159999999999858,-126.7588,1.7889,1.8047,0.043,0.0715,1.7731,0.0368,0.0647
5,2,"Fri Feb 01, 2019",Columbia,0,6%,+115,+106,+120,+113,+110,+115,+115,+110,+120,+113,+110,+115,+120,+104,+115,-,-,+115,-,-,+115,+113,+113,+115,+110,+115,-,-,+270,120.5455,0.4597,0.4397,270,0.2703,1,0,0.6269,0.23218148148148143,127.43,2.2743,2.2998000000000003,0.0246,0.0394,2.2488,0.0332,0.0552
10,5,"Fri Feb 01, 2019",Davidson,0,0%,-185,-188,-185,-190,-123,-200,-195,-190,-123,-190,-190,-190,-123,-193,-196,-,-123,-220,-,-,-123,-190,-190,-195,-123,-200,-206,-,-123,-173.7083,0.6286,0.6086,-123,0.5516,1,0,0.1034,0.12717800000000007,-155.4968,1.6431,1.6560000000000001,0.0542,0.0909,1.6301999999999999,0.0383,0.0687
11,5,"Fri Feb 01, 2019",(5) Michigan,0,100%,+160,+160,+170,+163,+103,+170,+170,+165,+103,+163,+165,+165,+103,+158,+166,-,+103,+180,-,-,+103,+163,+163,+170,+103,+170,+154,-,+103,147.3333,0.4105,0.39049999999999996,180,0.3571,1,0,0.0934,0.051888888888888846,156.08,2.5608,2.592,0.0193,0.0303,2.5296000000000003,0.0317,0.0512
12,6,"Fri Feb 01, 2019",Iowa,0,58%,-170,-152,-150,-155,-127,-155,-155,-155,-125,-155,-155,-155,-123,-156,-159,-,-130,-160,-,-,-,-155,-155,-155,-123,-155,-,-,-125,-147.0455,0.594,0.574,-123,0.5516,1,0,0.0407,0.050019999999999884,-134.7346,1.7422,1.7570000000000001,0.0461,0.0769,1.7274,0.0372,0.0659
13,6,"Fri Feb 01, 2019",Northern Kentucky,0,42%,+150,+130,+140,+135,+109,+135,+135,+135,+105,+135,+135,+135,+103,+128,+139,-,+107,+135,-,-,-,+135,+135,+135,+103,+135,-,-,+105,126.7727,0.4426,0.4226,140,0.4167,1,0,0.0142,0.010171428571428515,136.63,2.3663,2.3936,0.0226,0.036,2.339,0.0327,0.0538
14,7,"Fri Feb 01, 2019",IUPUI,0,67%,+150,+143,+155,+144,-120,+150,+150,+150,-125,+144,+150,+150,-123,+141,+148,-,-125,+145,-,-,-,+144,+144,+150,-123,+150,-,-,-,82.9524,0.4395,0.4195,155,0.3922,1,0,0.0697,0.04498387096774189,138.38,2.3838,2.4115,0.0223,0.0354,2.3561,0.0326,0.0536
15,7,"Fri Feb 01, 2019",Quinnipiac,0,33%,-170,-168,-165,-165,+110,-170,-170,-170,+105,-165,-170,-170,+103,-172,-168,-,+105,-170,-,-,-,-165,-165,-170,+103,-170,-,-,-,-103.1905,0.594,0.574,110,0.4762,1,0,0.2054,0.18672727272727263,-134.7346,1.7422,1.7570000000000001,0.0461,0.0769,1.7274,0.0372,0.0659
16,8,"Fri Feb 01, 2019",Canisius,0,100%,+255,+237,+265,+245,-123,+255,+255,+255,-125,+245,+245,+255,-125,+234,+252,-,-,+250,-,-,-,+245,+245,+255,-125,+255,-,-,-,174.75,0.3399,0.31989999999999996,265,0.274,1,0,0.1676,0.06325849056603769,212.6,3.126,3.1685,0.0133,0.0201,3.0835,0.0296,0.0456
18,9,"Fri Feb 01, 2019",(18) Buffalo,0,0%,-380,-346,-345,-375,-123,-380,-390,-380,-125,-375,-365,-360,-120,-360,-370,-,-,-380,-,-,-125,-375,-375,-390,-125,-380,-360,-,-125,-306.4783,0.7264,0.7064,-120,0.5455,1,0,0.2951,0.35408,-240.616,1.4156,1.4239,0.0869,0.146,1.4073,0.0412,0.0765
19,9,"Fri Feb 01, 2019",Bowling Green,0,100%,+315,+281,+315,+299,+103,+290,+310,+300,+105,+299,+305,+280,+110,+278,+310,-,-,+300,-,-,+105,+299,+299,+310,+105,+290,+270,-,+105,246.4348,0.3137,0.29369999999999996,315,0.241,1,0,0.2189,0.06947777777777772,240.48,3.4048,3.4529,0.0115,0.017,3.3567,0.0288,0.0435
20,10,"Fri Feb 01, 2019",Wright State,0,88%,-,-135,-134,-130,-190,-135,-135,-135,-185,-135,-133,-137,-185,-135,-137,-135,-,-135,-135,-,-190,-135,-133,-133,-200,-135,-135,-,-192,-147.96,0.5933,0.5733,-130,0.5652,1,0,0.0143,0.018590000000000117,-134.3544,1.7443,1.7592,0.046,0.0767,1.7294,0.0372,0.0659
21,10,"Fri Feb 01, 2019",Illinois-Chicago,0,13%,-,+115,+115,+120,+165,+115,+115,+115,+165,+115,+113,+117,+170,+115,+113,+115,-,+115,+115,-,+160,+115,+113,+113,+170,+115,+115,-,+167,127.24,0.4438,0.42379999999999995,170,0.3704,1,0,0.1443,0.08485882352941167,135.96,2.3596,2.3868,0.0228,0.0363,2.3324,0.0327,0.0539
22,11,"Fri Feb 01, 2019",(21) Maryland,0,38%,+180,+177,+190,+180,-155,+180,+185,+180,-160,+180,+195,+190,-150,+175,+180,-,-,+190,-,-,-155,+180,+180,+185,-155,+180,+172,-,-155,94.3043,0.4205,0.40049999999999997,195,0.339,1,0,0.1815,0.09306410256410248,149.69,2.4969,2.5268,0.0203,0.032,2.467,0.032,0.052
