,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
0,0,"Mon Feb 04, 2019",Denver,0,67%,-170,-157,-160,-160,-165,-180,-170,-165,-165,-160,-165,-165,-160,-,-169,-169,-169,-180,-,-,-180,-160,-160,-170,-160,-180,-155,-,-170,-166.4167,0.6244,0.6043999999999999,-155,0.6078,0,1,-0.0057,0.0,-152.7884,1.6545,1.6676,0.0291,0.0531,0.089,1.6414,0.0382,0.0684,0.0322,0.0645,0.1263
1,0,"Mon Feb 04, 2019",Detroit,0,33%,+150,+141,+150,+140,+145,+160,+150,+145,+145,+140,+145,+145,+150,-,+149,+149,+149,+150,-,-,+150,+140,+140,+150,+140,+160,+151,-,+150,147.25,0.4046,0.3846,160,0.3846,0,0,-0.0,0.0,160.01,2.6001,2.6321000000000003,0.0121,0.0187,0.0293,2.5681000000000003,0.0315,0.0508,0.0129,0.0208,0.0346
2,1,"Mon Feb 04, 2019",Atlanta,0,93%,+210,+233,+240,+195,+235,+215,+225,+215,+225,+195,+235,+230,+240,-,+230,+230,+230,+225,-,-,+230,+195,+195,+225,+240,+215,+240,-,+220,223.25,0.31,0.29,240,0.2941,0,1,-0.014,0.0,244.83,3.4483,3.4973,0.008,0.0113,0.0166,3.3993,0.0287,0.0432,0.0084,0.0122,0.0188
3,1,"Mon Feb 04, 2019",Washington,0,8%,-250,-262,-260,-235,-280,-260,-275,-255,-270,-235,-280,-270,-260,-,-270,-270,-270,-275,-,-,-280,-235,-235,-275,-280,-260,-258,-,-270,-263.3333,0.7243,0.7043,-235,0.7015,1,0,0.004,0.00940500000000014,-238.2087,1.4198,1.4282,0.0445,0.0859,0.1445,1.4114,0.0412,0.0764,0.0512,0.1139,0.2453
4,2,"Mon Feb 04, 2019",Milwaukee,0,51%,-290,-266,-265,-275,-280,-300,-300,-275,-280,-275,-280,-275,-265,-,-286,-286,-286,-300,-,-,-330,-275,-275,-300,-280,-300,-262,-,-280,-283.1667,0.7386,0.7186,-262,0.7238,0,1,-0.0071,0.0,-255.3626,1.3916,1.3994,0.0476,0.0924,0.1551,1.3838,0.0415,0.0775,0.0549,0.1244,0.2729
5,2,"Mon Feb 04, 2019",Brooklyn,0,49%,+245,+236,+245,+226,+235,+250,+240,+235,+230,+226,+235,+235,+245,-,+241,+241,+241,+240,-,-,+270,+226,+226,+240,+240,+250,+246,-,+230,238.7083,0.2955,0.27549999999999997,270,0.2703,1,0,0.0193,0.007166666666666658,262.98,3.6298,3.6824,0.0074,0.0103,0.0151,3.5771999999999995,0.0283,0.042,0.0078,0.0112,0.017
6,3,"Mon Feb 04, 2019",Indiana,0,56%,-118,-135,-135,-131,-135,-135,-140,-130,-140,-131,-135,-140,-135,-,-135,-,-,-135,-,-,-140,-131,-131,-140,-130,-135,-133,-,-140,-135.0909,0.5745,0.5545,-130,0.5652,0,1,-0.019,0.0,-124.471,1.8034,1.8195000000000001,0.0238,0.0421,0.07,1.7873,0.0367,0.0644,0.0261,0.0497,0.0937
7,3,"Mon Feb 04, 2019",New Orleans,0,44%,-102,+122,+125,+111,+115,+115,+120,+110,+120,+111,+115,+120,+125,-,+115,-,-,+115,-,-,+120,+111,+111,+120,+110,+115,+128,-,+120,117.0,0.4611,0.4411,128,0.4386,1,0,0.0057,0.004459375000000036,126.71,2.2671,2.2923999999999998,0.0152,0.0248,0.0397,2.2418,0.0332,0.0553,0.0163,0.0279,0.0484
8,4,"Mon Feb 04, 2019",Houston,0,68%,-360,-359,-345,-375,-370,-400,-400,-360,-370,-375,-370,-365,-345,-,-370,-370,-370,-400,-,-,-385,-375,-375,-400,-380,-400,-355,-,-380,-374.75,0.7891,0.7691,-345,0.7753,0,1,-0.008,0.0,-333.1113,1.3002,1.3062,0.0613,0.1209,0.2007,1.2942,0.0431,0.0815,0.073,0.1764,0.4199
9,4,"Mon Feb 04, 2019",Phoenix,0,32%,+300,+313,+315,+299,+310,+300,+320,+290,+290,+299,+310,+285,+315,-,+310,+310,+310,+310,-,-,+315,+299,+299,+320,+310,+300,+320,-,+300,306.2083,0.2463,0.2263,320,0.2381,0,1,-0.0495,0.0,341.89,4.4189,4.487299999999999,0.0057,0.0076,0.0106,4.350499999999999,0.0268,0.0381,0.006,0.0081,0.0117
