,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
0,0,"Wed Feb 06, 2019",Everton FC,0,-,-,+844,+850,-,-,-,-300,+950,+500,-,-300,+844,+482,-,-300,+969,+499,-,-300,+866,+467,-,-300,+844,+482,-,-300,+950,+500,412.35,0.3165,0.2965,969,0.0935,1,0,2.1696,0.22389938080495353,237.27,3.3727,3.4202,0.0082,0.0117,0.0174,3.3252,0.0087,0.0127,0.0197
1,0,"Wed Feb 06, 2019",Manchester City,0,+976,+945,-344,-333,-,-,+574,+351,-335,+880,+574,+351,-344,+850,+574,+351,-345,+976,+574,+351,-410,-,+574,+351,-344,+844,+574,+351,-335,+1000,292.4,0.3572,0.3372,1000,0.0909,1,0,2.7092,0.27092,196.56,2.9656,3.0049,0.0099,0.0147,0.0223,2.9263,0.0105,0.016,0.0257
2,0,"Wed Feb 06, 2019",Draw,0,-334,-339,+482,+440,-,-,-,-169,+400,-345,-,-169,+394,-333,-,-169,+426,-334,-,-169,+389,-,-,-169,+394,-344,-,-169,+400,-320,33.4211,0.483,0.46299999999999997,482,0.1718,1,0,1.6947,0.3515892116182572,115.98,2.1598,2.183,0.0166,0.0275,0.0444,2.1366,0.0179,0.0312,0.055
3,1,"Saturday, February 09, 2019",Fulham FC,0,+499,+524,+394,+370,-,-,+349,+272,-150,+430,+349,+272,-158,+440,+349,+272,-151,+499,+349,+272,-169,-,+349,+272,-158,+482,+349,+272,-150,+560,238.6,0.3153,0.2953,560,0.1515,1,0,0.949,0.1694607142857143,238.64,3.3864,3.4341,0.0081,0.0116,0.0172,3.3387,0.0086,0.0126,0.0195
4,1,"Saturday, February 09, 2019",Manchester United,0,-,-,-158,-152,-,-,-,+243,+110,+800,-,+243,+102,+850,-,+243,+109,+976,-,+243,-102,-,-,+243,+102,+880,-,+243,+110,-,282.5,0.3501,0.3301,976,0.0929,1,0,2.5519,0.2614627049180328,202.94,3.0294,3.07,0.0096,0.0141,0.0214,2.9888,0.0102,0.0154,0.0246
5,1,"Saturday, February 09, 2019",Draw,0,+429,+353,+307,+295,-,-,-103,+211,+280,-357,-103,+211,+269,-333,-103,+211,+276,-334,-103,+211,+257,-,-103,+211,+269,-345,-103,+211,+280,-,63.0,0.4242,0.4042,307,0.2457,1,0,0.6451,0.21012833876221498,147.4,2.474,2.5035,0.0131,0.0207,0.0326,2.4444999999999997,0.0141,0.023,0.0389
6,2,"Saturday, February 09, 2019",Crystal Palace,0,-148,-171,+102,+100,-,-,-,-182,+450,+450,-,-182,+416,+475,-,-182,+459,+499,-,-182,+425,-,-,-182,+416,+430,-,-182,+450,-,198.8889,0.3722,0.35219999999999996,499,0.1669,1,0,1.1097,0.22238036072144282,183.93,2.8393,2.8761,0.0106,0.0159,0.0244,2.8025,0.0112,0.0174,0.0283
7,2,"Saturday, February 09, 2019",West Ham United,0,+325,+272,+269,+250,-,-,+385,+272,-165,-,+385,+272,-161,+945,+385,+272,-162,+976,+385,+272,-178,+800,+385,+272,-161,+952,+385,+272,-165,+800,317.68,0.306,0.286,976,0.0929,1,0,2.0774,0.21284426229508194,249.65,3.4965,3.5464,0.0078,0.011,0.0162,3.4466,0.0082,0.0119,0.0183
8,2,"Saturday, February 09, 2019",Draw,0,-,-,+240,+230,-,-,-,+889,-475,-,-,+889,-454,-339,-,+889,-503,-334,-,+889,-562,-359,-,+889,-454,-369,-,+889,-475,-275,63.4211,0.5275,0.5075,889,0.1011,1,0,4.0192,0.4521006749156355,-103.0503,1.9704,1.9898,0.0198,0.0339,0.0556,1.951,0.02,0.0352,0.0606
9,3,"Saturday, February 09, 2019",Huddersfield Town,0,+110,-103,+416,+420,-,-,-563,+489,+1300,-,-563,+489,+1101,+524,-563,+489,+1391,+499,-563,+489,+1079,+460,-563,+489,+1101,+482,-563,+489,+1300,+450,403.16,0.3128,0.2928,1391,0.0671,1,0,3.3656,0.2419588785046729,241.53,3.4153,3.4636,0.0081,0.0115,0.0169,3.367,0.0085,0.0124,0.0192
