,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
0,0,"Tue Feb 05, 2019",L.A. Lakers,0,65%,-155,-158,-155,-165,-165,-170,-160,-160,-160,-165,-165,-160,-155,-163,-164,-164,-164,-165,-,-,-165,-165,-165,-160,-150,-170,-154,-,-165,-162.08,0.6183,0.5982999999999999,-150,0.6,0,1,-0.0028,0.0,-148.9425,1.6714,1.6848,0.0284,0.0516,0.0864,1.658,0.02,0.0379,0.0678
1,0,"Tue Feb 05, 2019",Indiana,0,35%,+135,+143,+145,+144,+145,+150,+140,+140,+140,+144,+145,+140,+145,+140,+144,+144,+144,+140,-,-,+140,+144,+144,+140,+130,+150,+146,-,+145,142.88,0.4118,0.3918,150,0.4,0,1,-0.0205,0.0,155.23,2.5523,2.5833,0.0125,0.0194,0.0305,2.5213,0.0133,0.0216,0.0361
2,1,"Tue Feb 05, 2019",Boston,0,36%,-950,-760,-750,-870,-850,-900,-860,-875,-900,-870,-850,-800,-750,-847,-,-,-,-845,-,-,-805,-870,-870,-800,-800,-900,-740,-,-800,-832.3636,0.8924,0.8724,-740,0.881,0,1,-0.0097,0.0,-683.527,1.1463,1.1492,0.1183,0.2318,0.3604,1.1434,0.0199,0.0461,0.0897
3,1,"Tue Feb 05, 2019",Cleveland,0,64%,+625,+611,+600,+599,+635,+550,+610,+585,+600,+599,+635,+600,+600,+603,-,-,-,+595,-,-,+555,+599,+599,+600,+600,+550,+640,-,+550,596.1364,0.1438,0.12380000000000001,640,0.1351,0,1,-0.0839,0.0,707.75,8.0775,8.219,0.0028,0.0033,0.0041,7.9359,0.0029,0.0034,0.0044
4,2,"Tue Feb 05, 2019",L.A. Clippers,0,88%,+105,+148,+155,+144,+140,+140,+145,+150,+145,+148,+140,+150,+155,+145,+148,+148,+148,+145,-,-,+150,+148,+148,+145,+150,+140,+154,-,+150,147.16,0.4047,0.3847,155,0.3922,0,1,-0.019,0.0,159.94,2.5994,2.6314,0.0121,0.0188,0.0293,2.5674,0.0129,0.0208,0.0346
5,2,"Tue Feb 05, 2019",Charlotte,0,12%,-135,-164,-165,-165,-160,-160,-165,-170,-165,-170,-160,-170,-165,-169,-168,-168,-168,-170,-,-,-180,-170,-170,-165,-170,-160,-162,-,-170,-166.76,0.625,0.605,-160,0.6154,0,1,-0.0169,0.0,-153.1628,1.6529,1.666,0.0292,0.0533,0.0893,1.6398000000000001,0.02,0.0382,0.0684
6,3,"Tue Feb 05, 2019",Detroit,0,52%,-155,-174,-170,-175,-173,-190,-175,-190,-180,-175,-173,-175,-170,-180,-175,-175,-175,-180,-,-,-175,-175,-175,-175,-185,-190,-172,-,-175,-177.08,0.6389,0.6189,-170,0.6296,0,1,-0.017,0.0,-162.3904,1.6158,1.6280999999999999,0.0309,0.0569,0.0955,1.6035,0.02,0.0385,0.0695
7,3,"Tue Feb 05, 2019",New York,0,48%,+135,+157,+160,+151,+153,+165,+155,+165,+160,+151,+153,+155,+160,+154,+155,+155,+155,+150,-,-,+150,+151,+151,+155,+165,+165,+160,-,+155,156.24,0.3904,0.3704,165,0.3774,0,1,-0.0184,0.0,169.98,2.6998,2.7338,0.0114,0.0174,0.0271,2.6658,0.0121,0.0193,0.0317
8,4,"Tue Feb 05, 2019",Orlando,0,40%,+400,+399,+420,+422,+420,+385,+415,+370,+400,+422,+420,+400,+420,+393,+416,+416,+416,+400,-,-,+405,+422,+422,+415,+400,+385,+410,-,+400,407.72,0.1971,0.1771,422,0.1916,0,1,-0.0755,0.0,464.65,5.6465,5.7394,0.0042,0.0053,0.0071,5.5536,0.0044,0.0056,0.0077
9,4,"Tue Feb 05, 2019",Oklahoma City,0,60%,-500,-468,-475,-560,-515,-570,-540,-490,-500,-560,-515,-500,-475,-503,-536,-536,-536,-550,-,-,-535,-560,-560,-540,-500,-570,-460,-,-525,-523.16,0.8391,0.8190999999999999,-460,0.8214,0,1,-0.0028,0.0,-452.6935,1.2209,1.2253,0.0816,0.162,0.263,1.2165,0.0199,0.0445,0.0855
10,5,"Tue Feb 05, 2019",Toronto,0,66%,+170,+133,+132,+128,+125,+125,+130,+125,+130,+125,+125,+127,+132,+130,+130,+130,+130,+130,-,-,+125,+125,+125,+130,+130,+125,+135,-,+130,128.48,0.4377,0.41769999999999996,135,0.4255,0,1,-0.0184,0.0,139.41,2.3941,2.4219999999999997,0.0139,0.0221,0.0351,2.3662,0.0149,0.0247,0.0422
