,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Tue Feb 05, 2019",Saint Joseph's (PA),0,93%,-105,+106,+110,+110,+105,+110,+105,+105,+105,+110,+105,+105,+110,+103,+105,-,-,-,-,-,+110,+110,+110,+105,+105,+110,-,-,+105,107.0952,0.4829,0.4629,110,0.4762,0,1,-0.0279,0.0,116.03,2.1603,2.1835,0.0166,0.0275,2.1371,0.0179,0.0312
1,0,"Tue Feb 05, 2019",La Salle,0,7%,-105,-123,-120,-130,-125,-130,-125,-125,-125,-130,-125,-125,-120,-125,-125,-,-,-,-,-,-130,-130,-130,-125,-125,-130,-,-,-125,-126.0952,0.5576,0.5376,-120,0.5455,0,1,-0.0144,0.0,-116.2656,1.8601,1.8773,0.0223,0.0389,1.8429,0.02,0.0361
2,1,"Tue Feb 05, 2019",Illinois,0,97%,-145,-157,-160,-160,-550,-160,-160,-165,-550,-160,-155,-165,-550,-161,-159,-,-550,-160,-,-,-550,-160,-160,-160,-550,-160,-,-,-550,-278.7826,0.6857,0.6657,-155,0.6078,1,0,0.0952,0.14753499999999986,-199.1239,1.5022,1.5122,0.0376,0.0711,1.4922,0.02,0.0399
3,1,"Tue Feb 05, 2019",Pittsburgh,0,3%,+125,+134,+150,+140,+425,+140,+140,+145,+425,+140,+135,+145,+425,+132,+139,-,+425,+135,-,-,+425,+140,+140,+140,+425,+140,-,-,+425,226.5217,0.3483,0.3283,425,0.1905,1,0,0.7236,0.17025294117647055,204.6,3.046,3.0869,0.0095,0.014,3.0051,0.0101,0.0153
4,2,"Tue Feb 05, 2019",Wake Forest,0,51%,+3000,-,+3250,-,-602,-,+5715,-,-580,-,-,+3250,-575,-,-,-,-641,-,-,-,-600,-,-,+4155,-575,-,+720,-,-580,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
5,2,"Tue Feb 05, 2019",Boston College,0,49%,-7000,-,-7500,-,+453,-,-11215,-,+390,-,-,-7500,+431,-,-,-,+448,-,-,-,+450,-,-,-8155,+431,-,-,-,+390,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,1.0200080032012806,1.02,1.0194
6,3,"Tue Feb 05, 2019",(2) Duke,0,8%,+290,+247,+260,+260,-600,+260,+260,+270,-620,+260,+250,+250,-525,+244,+252,-,-600,+250,-,-,-,+260,+260,+260,-575,+260,-,-,-720,21.0455,0.438,0.418,270,0.2703,1,0,0.5466,0.20244444444444443,139.23,2.3923,2.4200999999999997,0.0139,0.0221,2.3645000000000005,0.0149,0.0248
7,3,"Tue Feb 05, 2019",Akron,0,92%,-350,-300,-290,-320,+500,-320,-320,-330,+470,-320,-300,-300,+430,-311,-307,-,+450,-310,-,-,-,-320,-320,-320,+431,-320,-,-,+385,-106.4545,0.6014,0.5814,500,0.1667,1,0,2.4884,0.49768,-138.8889,1.72,1.7344,0.0265,0.0477,1.7056,0.02,0.0374
8,4,"Tue Feb 05, 2019",Toledo,0,0%,+150,+157,+167,+160,-575,+165,+160,+150,-580,+160,+160,+165,-630,+155,+163,-,-,+160,-,-,-,+160,+160,+160,-620,+165,-,-,-,8.1,0.4787,0.4587,167,0.3745,1,0,0.2247,0.13456826347305387,118.01,2.1801,2.2037,0.0164,0.0269,2.1565000000000003,0.0176,0.0305
9,4,"Tue Feb 05, 2019",Miami (OH),0,100%,-170,-185,-178,-185,+431,-190,-185,-170,+425,-185,-180,-185,+480,-190,-188,-,-,-190,-,-,-,-185,-185,-185,+470,-190,-,-,-,-57.5,0.5553,0.5353,480,0.1724,1,0,2.1047,0.4384874999999999,-115.1941,1.8681,1.8855,0.0221,0.0386,1.8507,0.02,0.0361
