,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks,Kelly_Short_10ticks
0,0,"Wed Feb 06, 2019",Everton FC,0,-,-,+574,+976,+945,+844,-,-300,+950,+500,-,-300,+844,+482,-,-300,+978,+502,-,-300,+866,+469,-,-300,+844,+482,-,-300,+950,+500,450.2727,0.2982,0.2782,978,0.0928,1,0,1.999,0.2043963190184049,259.45,3.5945,3.6464,0.0075,0.0105,0.0154,3.5426,0.0079,0.0114,0.0173
1,0,"Wed Feb 06, 2019",Draw,0,-,-,-300,-334,-339,-344,+574,+351,-335,+860,+574,+351,-344,+850,+574,+351,-348,+985,+574,+351,-410,-,+574,+351,-344,+844,+574,+351,-335,+1000,246.5185,0.3873,0.36729999999999996,1000,0.0909,1,0,3.0403,0.3040299999999999,172.26,2.7226,2.7571000000000003,0.0113,0.0172,0.0266,2.6881,0.012,0.0189,0.0311
2,0,"Saturday, February 09, 2019",Fulham FC,0,-,-,+351,+499,+524,+482,-,-169,+400,-337,-,-169,+394,-333,-,-169,+426,-337,-,-169,+389,-,-,-169,+394,-344,-,-169,+400,-320,74.9524,0.4542,0.4342,524,0.1603,1,0,1.7094,0.32622290076335875,130.31,2.3031,2.3292,0.0148,0.024,0.0383,2.277,0.0159,0.0269,0.0465
3,1,"Saturday, February 09, 2019",Manchester United,0,-,-,+349,+429,+353,+850,+349,+272,-150,+484,+349,+272,-158,+440,+349,+272,-151,+502,+349,+272,-169,-,+349,+272,-158,+482,+349,+272,-150,+560,268.1111,0.3032,0.2832,850,0.1053,1,0,1.6904,0.1988705882352941,253.11,3.5311,3.5817,0.0077,0.0108,0.0159,3.4805,0.0081,0.0117,0.0179
4,1,"Saturday, February 09, 2019",Draw,0,-,-,-169,-148,-171,-333,-,+243,+110,+800,-,+243,+102,+850,-,+243,+109,+985,-,+243,-102,-,-,+243,+102,+860,-,+243,+110,-,228.15,0.3856,0.3656,985,0.0922,1,0,2.9668,0.3011939086294416,173.52,2.7352,2.7699,0.0112,0.017,0.0263,2.7005,0.0119,0.0188,0.0308
5,1,"Saturday, February 09, 2019",Crystal Palace,0,-,-,+272,+325,+272,+440,-103,+211,+280,-357,-103,+211,+269,-333,-103,+211,+276,-337,-103,+211,+257,-,-103,+211,+269,-337,-103,+211,+280,-,85.5385,0.4092,0.3892,440,0.1852,1,0,1.1017,0.25038181818181815,156.94,2.5694,2.6008000000000004,0.0123,0.0192,0.0301,2.5380000000000003,0.0132,0.0213,0.0356
6,2,"Saturday, February 09, 2019",West Ham United,0,-,-,-103,+110,-103,+394,-,-182,+450,+450,-,-182,+416,+475,-,-182,+459,+502,-,-182,+425,-,-,-182,+416,+484,-,-182,+450,-,186.65,0.369,0.349,502,0.1661,1,0,1.101,0.21931872509960154,186.53,2.8653,2.9026000000000005,0.0104,0.0156,0.0239,2.8280000000000003,0.0111,0.0171,0.0277
7,2,"Saturday, February 09, 2019",Draw,0,-,-,+243,+278,+241,-158,+385,+272,-165,-,+385,+272,-161,+945,+385,+272,-162,+985,+385,+272,-178,+800,+385,+272,-161,+952,+385,+272,-165,+800,297.6296,0.3168,0.2968,985,0.0922,1,0,2.2203,0.22540913705583754,236.93,3.3693,3.4167,0.0082,0.0117,0.0174,3.3219,0.0087,0.0127,0.0197
8,2,"Saturday, February 09, 2019",Huddersfield Town,0,-,-,+211,+254,+213,+307,-,+889,-475,-,-,+889,-454,-339,-,+889,-503,-337,-,+889,-562,-359,-,+889,-454,-369,-,+889,-475,-275,81.7619,0.5046,0.48460000000000003,889,0.1011,1,0,3.7927,0.4266247469066367,106.36,2.0636,2.0849,0.0181,0.0305,0.0496,2.0423,0.0196,0.0345,0.0588
9,3,"Saturday, February 09, 2019",Arsenal FC,0,-,-,+385,+463,+385,+370,-563,+489,+1300,-,-563,+489,+1101,+524,-563,+489,+1391,+502,-563,+489,+1079,+460,-563,+489,+1101,+488,-563,+489,+1300,+450,402.037,0.305,0.285,1391,0.0671,1,0,3.2493,0.23359813084112147,250.88,3.5088,3.559,0.0078,0.0109,0.0161,3.4586,0.0082,0.0119,0.0181
