,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
2,1,"Tue Feb 05, 2019",Pittsburgh,0,97%,-550,-602,-600,-575,-500,-580,-605,-580,-570,-575,-500,-630,-600,-641,-600,-,-,-600,-,-,-575,-575,-575,-605,-550,-580,-720,-,-600,-588.6087,0.8542,0.8341999999999999,-500,0.8333,1,0,0.001,0.005199999999999649,-503.0181,1.1988,1.2028,0.09,0.1783,1.1948,0.02,0.045
3,1,"Tue Feb 05, 2019",Wake Forest,0,3%,+425,+453,+500,+431,+405,+390,+455,+425,+440,+431,+405,+480,+500,+448,+450,-,-,+450,-,-,+425,+431,+431,+455,+425,+390,+385,-,+450,437.1739,0.1867,0.16670000000000001,500,0.1667,1,0,0.0002,4.0000000000040004e-05,499.88,5.9988,6.0988,0.0039,0.0049,5.8988,0.0041,0.0052
18,9,"Tue Feb 05, 2019",Stetson,0,100%,-,-280,-338,-310,-350,-280,-350,-345,-330,-280,-350,-330,-325,-280,-352,-340,-,-280,-345,-,-,-280,-350,-350,-345,-280,-350,-,-,-322.6087,0.7621,0.7421,-280,0.7368,1,0,0.0071,0.019979999999999887,-287.7698,1.3475,1.3544,0.0533,0.1044,1.3405,0.0201,0.0423
20,10,"Tue Feb 05, 2019",Ball State,0,50%,-,+2750,-,+2750,-330,+2750,-,+4205,-320,+2750,-,-,-310,+2750,-,-,-,+2750,-,-,-325,+2750,-,-,-345,+2750,-,-,-350,1615.0,0.3271,0.3071,4205,0.0232,1,0,12.2207,0.29062199762187874,225.63,3.2563,3.3014,0.0086,0.0124,3.2112,0.0091,0.0135
21,10,"Tue Feb 05, 2019",Northern Illinois,0,50%,-,-6000,-,-6000,+275,-6000,-,-8205,+250,-6000,-,-,+280,-6000,-,-,-,-6000,-,-,+265,-6000,-,-,+285,-6000,-,-,+275,-3638.3333,0.6982,0.6782,285,0.2597,1,0,1.6111,0.5652877192982457,-210.7482,1.4745,1.484,0.0397,0.0756,1.465,0.02,0.0403
22,11,"Tue Feb 05, 2019",Valparaiso,0,40%,+115,+120,+130,+125,-,+125,+125,+125,-,+125,+125,+125,+2750,+118,+125,-,-,+125,-,-,-,+125,+125,+125,+4205,+125,-,-,-,497.1111,0.3991,0.3791,4205,0.0232,1,0,15.3203,0.36433424494649225,163.78,2.6378,2.6706000000000003,0.0118,0.0182,2.605,0.0126,0.0202
23,11,"Tue Feb 05, 2019",Illinois State,0,60%,-135,-141,-140,-145,-,-145,-145,-145,-,-145,-145,-145,-6000,-144,-145,-,-,-145,-,-,-,-145,-145,-145,-8205,-145,-,-,-,-917.5,0.6347,0.6147,-140,0.5833,1,0,0.0538,0.07528000000000008,-159.5405,1.6268,1.6393,0.0303,0.0557,1.6143,0.02,0.0384
24,12,"Tue Feb 05, 2019",(10) Marquette,0,56%,+290,+254,+265,+252,-,+255,+250,+250,-,+252,+255,+255,+2750,+251,+257,-,-,+255,-,-,-,+252,+252,+250,-,+255,-,-,-,400.5882,0.2681,0.24810000000000001,2750,0.0351,1,0,6.0708,0.22075818181818183,303.06,4.0306,4.091200000000001,0.0064,0.0087,3.97,0.0068,0.0094
25,12,"Tue Feb 05, 2019",(7) Michigan,0,44%,-350,-310,-295,-310,-,-310,-310,-300,-,-310,-305,-310,-6000,-322,-312,-,-,-315,-,-,-,-310,-310,-310,-,-310,-,-,-,-644.0588,0.7691,0.7491,-295,0.7468,1,0,0.003,0.008944999999999847,-298.5966,1.3349,1.3416000000000001,0.0552,0.1084,1.3282,0.02,0.0425
26,13,"Tue Feb 05, 2019",Rutgers,0,48%,-600,-486,-475,-500,+125,-600,-535,-500,+120,-500,-475,-500,+130,-513,-517,-,-,-530,-,-,+125,-500,-500,-535,+125,-600,-,-,+125,-341.6364,0.7302,0.7101999999999999,130,0.4348,1,0,0.6335,0.487276923076923,-245.038,1.4081,1.4163000000000001,0.046,0.0887,1.3999,0.02,0.0413
