,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,Rot,FC Barcelona,0,69%,-143,-126,-127,-129,-132,+257,+345,-135,+315,+257,+326,-132,+295,+257,+347,-126,+308,+257,+320,-,-,+257,+326,-129,+300,+257,+345,-128,+325,151.1538,0.36,0.33999999999999997,347,0.2237,1,0,0.5198,0.14979827089337172,194.12,2.9412,2.98,0.01,0.0149,2.9024,0.0106,0.0163
1,0,Rot,Real Madrid,0,30%,+298,+345,+339,+326,+290,-130,+305,+355,-143,-129,+300,+290,-125,-131,+311,+345,-126,-143,+287,-,-,-129,+300,+326,-135,-130,+305,+375,-,139.12,0.371,0.351,375,0.2105,1,0,0.6672,0.1779333333333333,184.9,2.849,2.886,0.0105,0.0158,2.8120000000000003,0.0112,0.0173
2,0,Rot,Draw,0,1%,+257,+308,+314,+300,+295,-,+186,+155,+300,-,+186,+155,+315,-,+186,+163,+345,-,+186,+150,-,-,+186,+155,+355,-,+186,+155,-,229.05,0.3186,0.2986,355,0.2198,1,0,0.3586,0.10102253521126756,234.9,3.349,3.396,0.0083,0.0118,3.302,0.0088,0.0129
3,1,"Thursday, February 07, 2019 - Soccer",Real Betis Balompie,0,100%,-,+175,+204,+206,-,+127,+203,+185,+285,+127,+203,+186,+305,+127,+203,+186,+308,+127,+203,+174,-,+127,+203,+186,+315,+127,+203,+185,-,195.2,0.35,0.32999999999999996,315,0.241,1,0,0.3695,0.11730158730158725,203.03,3.0303,3.0709,0.0096,0.0141,2.9897,0.0102,0.0154
4,1,"Thursday, February 07, 2019 - Soccer",Draw,0,0%,-,+132,+148,+149,-,-,+132,+205,-135,-,+132,+197,-127,-,+132,+202,-126,-,+132,+189,-140,-,+132,+197,-136,-,+132,+205,-138,76.8571,0.4409,0.4209,205,0.3279,1,0,0.2837,0.13841219512195124,137.59,2.3759,2.4034,0.0141,0.0225,2.3484,0.015,0.0251
5,1,"Friday, February 08, 2019 - Soccer",Real Valladolid,0,0%,-,+208,+242,+237,-,+175,+208,+140,+320,+175,+208,+144,+339,+175,+208,+147,+345,+175,+208,+134,+315,+175,+208,+144,+330,+175,+208,+140,+320,214.9259,0.3308,0.31079999999999997,345,0.2247,1,0,0.3831,0.111031884057971,221.75,3.2175,3.2618,0.0088,0.0127,3.1731,0.0093,0.0138
6,2,"Friday, February 08, 2019 - Soccer",Draw,0,50%,-,-120,-110,-108,+127,-,+299,-115,+310,-,+299,-113,+314,-,+299,-111,+308,-,+299,-120,+309,-,+299,-113,+293,-,+299,-115,+300,124.0909,0.3734,0.3534,314,0.2415,1,0,0.4631,0.14747643312101913,182.97,2.8297,2.8663,0.0106,0.016,2.7931,0.0113,0.0175
7,2,"Saturday, February 09, 2019 - Soccer",Getafe CF,0,0%,-,+299,+373,+369,+186,-120,+208,+365,+225,-120,+208,+357,+226,-120,+208,+370,+229,-120,+208,+333,+213,-120,+208,+357,+226,-120,+208,+365,+225,187.3571,0.3361,0.3161,373,0.2114,1,0,0.4952,0.13274879356568364,216.36,3.1636,3.2069,0.009,0.0131,3.1203,0.0095,0.0142
8,2,"Saturday, February 09, 2019 - Soccer",Celta de Vigo,0,50%,-,+208,+243,+243,+203,-,-,+135,+155,-,-,+132,+153,-,-,+138,+163,-,-,+126,-,-,-,+132,+144,-,-,+135,+166,165.0667,0.3845,0.3645,243,0.2915,1,0,0.2502,0.10297736625514406,174.35,2.7435,2.7784,0.0111,0.0169,2.7085999999999997,0.0118,0.0187
9,3,"Saturday, February 09, 2019 - Soccer",Draw,0,50%,-,-,+139,-,+164,-,-,+220,+180,-,-,+216,+174,-,-,+221,+187,-,-,+206,-,-,-,+216,+200,-,-,+220,+190,194.8462,0.3417,0.3217,221,0.3115,1,0,0.0327,0.014776923076923049,210.85,3.1085,3.1507,0.0092,0.0135,3.0663,0.0098,0.0147
10,3,"Saturday, February 09, 2019 - Soccer",Real Madrid,0,0%,-,-,+223,-,+188,-,+301,-125,+215,-,+301,-121,+215,-,+301,-119,+231,-,+301,-132,-,-,+301,-121,+227,-,+301,-125,+230,136.4211,0.3693,0.3493,301,0.2494,1,0,0.4007,0.13312059800664452,186.29,2.8629,2.9002,0.0104,0.0156,2.8256,0.0111,0.0172
11,3,"Saturday, February 09, 2019 - Soccer",Draw,0,50%,-,-,+237,-,+229,-135,+237,+355,+140,-135,+237,+346,+155,-135,+237,+357,+163,-135,+237,+335,-,-135,+237,+346,+155,-135,+237,+355,-,157.7083,0.3644,0.3444,357,0.2188,1,0,0.5739,0.16075854341736692,190.36,2.9036,2.9417,0.0102,0.0152,2.8655,0.0108,0.0167
12,4,"Saturday, February 09, 2019 - Soccer",Espanyol Barcelona,0,0%,-,-135,-117,-117,+161,-,+264,-105,+170,-,+264,-106,+185,-,+264,-102,+187,-,+264,-112,-,-,+264,-106,+180,-,+264,-105,-,73.1,0.4099,0.38989999999999997,264,0.2747,1,0,0.4192,0.1588015151515151,156.48,2.5648,2.5961,0.0124,0.0193,2.5335,0.0132,0.0214
13,4,"Saturday, February 09, 2019 - Soccer",Rayo Vallecano,0,100%,-,+301,+360,+371,+193,-110,+212,+320,+210,-110,+212,+305,+225,-110,+212,+329,+231,-110,+212,+303,-,-110,+212,+305,+215,-110,+212,+320,-,176.9231,0.338,0.318,371,0.2123,1,0,0.4978,0.1341725067385445,214.47,3.1447,3.1876,0.0091,0.0132,3.1018,0.0096,0.0144
14,4,"Saturday, February 09, 2019 - Soccer",Draw,0,0%,-,+237,+268,+263,+227,-,+204,+135,-,-,+204,+131,+161,-,+204,+140,+163,-,+204,+127,+150,-,+204,+131,-,-,+204,+135,+135,181.35,0.3643,0.3443,268,0.2717,1,0,0.267,0.09963582089552239,190.44,2.9044,2.9425,0.0102,0.0152,2.8663,0.0108,0.0167
15,5,"Saturday, February 09, 2019 - Soccer",Girona FC,0,100%,-,-110,-101,-100,+155,+123,+192,+240,-,+123,+192,+229,+193,+123,+192,+238,+187,+123,+192,+219,+180,+123,+192,+229,-,+123,+192,+240,+220,150.3462,0.378,0.358,240,0.2941,1,0,0.2172,0.09049999999999998,179.33,2.7933,2.8292,0.0108,0.0164,2.7574,0.0115,0.018
