,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
1,0,Rot,Valencia CF,0,28%,+186,+188,+193,+180,+181,+180,+188,+165,+175,+180,+181,+180,+193,+186,+188,+188,+188,+177,-,-,+176,+180,+200,+188,+180,+180,+200,-,+220,185.4,0.3508,0.3308,220,0.3125,1,0,0.0586,0.026618181818181843,202.3,3.023,3.0635,0.0096,0.0142,2.9825,0.0102,0.0155
3,1,"Friday, February 08, 2019 - Soccer",Real Valladolid,0,50%,-120,-107,-104,-111,+175,-120,-110,-120,-,-120,-111,-110,-,-120,-108,-107,-,-120,-118,-,-,-120,-111,-111,-,-120,-110,-104,-,-99.381,0.5225,0.5025,175,0.3636,1,0,0.3819,0.21821428571428564,-101.0101,1.99,2.0098000000000003,0.0194,0.0331,1.9702,0.02,0.0351
4,1,"Friday, February 08, 2019 - Soccer",Draw,0,50%,+299,+364,+360,+347,+132,+299,+355,+285,-,+299,+347,+280,-,+299,+361,+364,-,+299,+333,-,-,+299,+347,+347,-,+299,+355,+375,-,321.2381,0.2428,0.2228,375,0.2105,1,0,0.0583,0.015546666666666672,348.83,4.4883,4.5581,0.0056,0.0074,4.4185,0.0059,0.0079
6,2,"Saturday, February 09, 2019 - Soccer",Celta de Vigo,0,90%,+123,+145,+146,+136,+200,+123,+135,+131,+175,+123,+136,+140,+175,+123,+144,+145,+175,+123,+131,-,+175,+123,+136,+136,+175,+123,+135,+148,+175,145.6296,0.41,0.38999999999999996,200,0.3333,1,0,0.17,0.08499999999999991,156.41,2.5641,2.5953999999999997,0.0124,0.0193,2.5328,0.0132,0.0214
7,2,"Saturday, February 09, 2019 - Soccer",Draw,0,2%,+193,+215,+214,+212,+152,+193,+210,+208,+132,+193,+212,+198,+132,+193,+213,+215,+132,+193,+200,-,+132,+193,+212,+212,+132,+193,+210,+218,+132,187.0741,0.3533,0.3333,218,0.3145,1,0,0.0599,0.027474311926605505,200.03,3.0003,3.0403,0.0097,0.0144,2.9603,0.0103,0.0157
8,2,"Saturday, February 09, 2019 - Soccer",Real Madrid,0,8%,+204,+233,+233,+228,+239,+204,+225,+266,+208,+204,+228,+215,+208,+204,+233,+233,+208,+204,+215,-,+208,+204,+228,+228,+208,+204,+225,+234,+208,219.8148,0.3133,0.2933,266,0.2732,1,0,0.0735,0.027623308270676706,240.95,3.4095,3.4577,0.0081,0.0115,3.3613,0.0085,0.0125
9,3,"Saturday, February 09, 2019 - Soccer",Draw,0,0%,-135,-117,-116,-121,+206,-135,-125,-130,+195,-135,-121,-120,+197,-135,-119,-117,+198,-135,-130,-,+187,-135,-121,-121,+197,-135,-125,-114,+195,-41.9259,0.4992,0.47919999999999996,206,0.3268,1,0,0.4664,0.22638446601941742,108.68,2.0868,2.1085000000000003,0.0177,0.0297,2.0651,0.0191,0.0339
10,3,"Saturday, February 09, 2019 - Soccer",Espanyol Barcelona,0,100%,+301,+360,+369,+346,+151,+301,+355,+325,+145,+301,+346,+320,+144,+301,+357,+360,+151,+301,+334,-,+138,+301,+346,+346,+144,+301,+355,+380,+145,286.037,0.2765,0.2565,380,0.2083,1,0,0.2312,0.060842105263157885,289.86,3.8986,3.9566,0.0067,0.0092,3.8406000000000002,0.0071,0.0099
12,4,"Saturday, February 09, 2019 - Soccer",Draw,0,33%,-110,-100,+100,-104,+197,-110,-105,-105,+190,-110,-104,-106,+193,-110,-101,+100,+200,-110,-111,-,-,-110,-104,-104,+197,-110,-105,+104,+220,-11.8462,0.4714,0.45139999999999997,220,0.3125,1,0,0.4445,0.20203636363636363,121.53,2.2153,2.2396000000000003,0.0159,0.026,2.191,0.0171,0.0294
13,4,"Saturday, February 09, 2019 - Soccer",Girona FC,0,33%,+264,+331,+328,+310,+144,+264,+320,+265,+140,+264,+310,+285,+151,+264,+329,+331,+152,+264,+301,-,-,+264,+310,+310,+144,+264,+320,+330,+155,263.4615,0.2873,0.2673,331,0.232,1,0,0.1521,0.04594048338368578,274.11,3.7411,3.7959000000000005,0.0071,0.0098,3.6863,0.0075,0.0106
