,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Fri Feb 08, 2019",Denver,0,50%,+170,+165,+170,+170,+165,+165,+160,+165,+165,+170,+165,+165,+170,+162,+165,+165,+165,+165,-,-,+165,+170,+170,+160,+165,+165,+174,-,+170,166.24,0.3757,0.35569999999999996,174,0.365,0,1,-0.0254,0.0,181.14,2.8114,2.8476,0.0107,0.0162,2.7752,0.0114,0.0178
1,0,"Fri Feb 08, 2019",Philadelphia,0,50%,-215,-183,-185,-200,-190,-190,-185,-190,-185,-200,-190,-190,-185,-189,-195,-195,-195,-195,-,-,-195,-200,-200,-185,-185,-190,-179,-,-200,-191.04,0.6563,0.6363,-179,0.6416,0,1,-0.0082,0.0,-174.9475,1.5716,1.583,0.0331,0.0617,1.5602,0.02,0.0391
2,1,"Fri Feb 08, 2019",Cleveland,0,60%,+425,+432,+400,+384,+405,+350,+390,+375,+427,+384,+405,+370,+400,+429,+400,+400,+400,+425,-,-,+380,+384,+384,+390,+425,+350,+440,-,+400,397.16,0.2016,0.1816,440,0.1852,0,1,-0.0194,0.0,450.66,5.5066,5.5967,0.0043,0.0055,5.4165,0.0045,0.0058
3,1,"Fri Feb 08, 2019",Washington,0,40%,-550,-511,-450,-500,-500,-500,-515,-500,-547,-500,-500,-470,-450,-552,-520,-520,-520,-550,-,-,-490,-500,-500,-515,-550,-500,-500,-,-525,-507.4,0.8351,0.8150999999999999,-450,0.8182,0,1,-0.0038,0.0,-440.9171,1.2268,1.2313,0.0793,0.1578,1.2223,0.02,0.0445
4,2,"Fri Feb 08, 2019",New York,0,45%,+310,+329,+340,+303,+330,+300,+325,+315,+320,+303,+330,+300,+340,+324,+326,+326,+326,+340,-,-,+335,+303,+303,+325,+310,+300,+340,-,+310,320.12,0.2383,0.21830000000000002,340,0.2273,0,1,-0.0395,0.0,358.09,4.5809,4.6525,0.0054,0.0072,4.5093,0.0057,0.0077
5,2,"Fri Feb 08, 2019",Detroit,0,55%,-370,-379,-380,-380,-400,-400,-405,-400,-400,-380,-400,-400,-380,-402,-401,-401,-401,-430,-,-,-440,-380,-380,-405,-380,-400,-370,-,-390,-395.36,0.7979,0.7779,-370,0.7872,0,1,-0.0119,0.0,-350.2627,1.2855,1.2912,0.0642,0.127,1.2798,0.02,0.0433
6,3,"Fri Feb 08, 2019",Chicago,0,50%,+315,+335,+340,+317,+330,+310,+330,+315,+310,+317,+330,+300,+340,+330,+333,+333,+333,+360,-,-,+335,+317,+317,+330,+320,+310,+340,-,+325,326.28,0.2348,0.21480000000000002,360,0.2174,0,1,-0.0119,0.0,365.55,4.6555,4.7286,0.0053,0.007,4.5824,0.0056,0.0075
7,3,"Fri Feb 08, 2019",Brooklyn,0,50%,-380,-387,-380,-400,-400,-420,-420,-400,-400,-400,-400,-400,-380,-410,-408,-408,-408,-450,-,-,-440,-400,-400,-420,-400,-420,-375,-,-425,-406.04,0.8022,0.7822,-375,0.7895,0,1,-0.0092,0.0,-359.1954,1.2784,1.284,0.0658,0.1301,1.2728,0.0201,0.0435
8,4,"Fri Feb 08, 2019",Milwaukee,0,48%,-350,-308,-315,-310,-315,-320,-350,-320,-330,-310,-315,-330,-315,-324,-329,-329,-329,-330,-,-,-340,-310,-310,-350,-350,-320,-305,-,-340,-324.16,0.764,0.744,-305,0.7531,0,1,-0.0121,0.0,-290.6132,1.3441,1.351,0.054,0.1056,1.3372,0.02,0.0423
9,4,"Fri Feb 08, 2019",Dallas,0,52%,+290,+271,+285,+252,+265,+260,+280,+260,+255,+252,+265,+265,+285,+267,+269,+269,+269,+265,-,-,+265,+252,+252,+280,+290,+260,+276,-,+270,267.16,0.2726,0.2526,290,0.2564,0,1,-0.0149,0.0,295.88,3.9588,4.017999999999999,0.0066,0.009,3.8996,0.0069,0.0097
