,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_30ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Tue Feb 12, 2019",L.A. Lakers,0,69%,-240,-187,-192,-220,-210,-220,-205,-205,-220,-220,-210,-200,-192,-,-207,-210,-210,-215,-,-,-215,-220,-220,-205,-200,-220,-185,-,-210,-208.25,0.6752,0.6552,-185,0.6491,1,0,0.0094,0.017320000000000033,-190.0057,1.5263,1.5368,0.0359,0.0676,0.2432,1.5158,0.02,0.0396
1,0,"Tue Feb 12, 2019",Atlanta,0,31%,+200,+168,+177,+184,+180,+180,+175,+175,+180,+184,+180,+170,+177,-,+172,+175,+175,+175,-,-,+180,+184,+184,+175,+170,+180,+180,-,+175,177.2917,0.3607,0.3407,184,0.3521,0,1,-0.0324,0.0,193.51,2.9351,2.9737999999999998,0.01,0.0149,0.0507,2.8964,0.0107,0.0164
2,1,"Tue Feb 12, 2019",Orlando,0,54%,+170,+167,+167,+170,+165,+165,+160,+165,+165,+170,+165,+165,+167,-,+160,+163,+163,+165,-,-,+160,+170,+170,+160,+165,+165,+163,-,+170,165.2083,0.3771,0.3571,170,0.3704,0,1,-0.0358,0.0,180.03,2.8003,2.8363,0.0108,0.0163,0.0562,2.7643,0.0115,0.0179
3,1,"Tue Feb 12, 2019",New Orleans,0,46%,-200,-186,-178,-200,-190,-190,-185,-190,-190,-200,-190,-185,-178,-,-185,-183,-183,-195,-,-,-190,-200,-200,-185,-185,-190,-173,-,-200,-188.7917,0.6535,0.6335,-173,0.6337,0,1,-0.0003,0.0,-172.8608,1.5785,1.5901,0.0328,0.0609,0.2217,1.5669,0.02,0.039
4,2,"Tue Feb 12, 2019",Boston,0,47%,+200,+227,+235,+218,+225,+220,+225,+215,+225,+218,+225,+225,+235,-,+230,+230,+230,+220,-,-,+230,+218,+218,+225,+210,+220,+240,-,+220,224.3333,0.3085,0.2885,240,0.2941,0,1,-0.0191,0.0,246.62,3.4662,3.5155,0.0079,0.0112,0.0358,3.4169,0.0083,0.0121
5,2,"Tue Feb 12, 2019",Philadelphia,0,53%,-240,-255,-255,-265,-265,-270,-275,-255,-265,-265,-265,-265,-255,-,-270,-270,-270,-270,-,-,-285,-265,-265,-275,-250,-270,-256,-,-270,-265.4583,0.7262,0.7061999999999999,-250,0.7143,0,1,-0.0113,0.0,-240.3846,1.416,1.4243000000000001,0.0449,0.0868,0.3006,1.4077,0.02,0.0412
6,3,"Tue Feb 12, 2019",San Antonio,0,62%,-200,-177,-170,-180,-180,-190,-175,-175,-180,-180,-180,-175,-170,-,-175,-175,-175,-185,-,-,-185,-180,-180,-175,-175,-190,-167,-,-180,-178.0833,0.6403,0.6203,-167,0.6255,0,1,-0.0083,0.0,-163.372,1.6121,1.6242999999999999,0.031,0.0572,0.2095,1.5998999999999999,0.02,0.0386
7,3,"Tue Feb 12, 2019",Memphis,0,38%,+170,+160,+160,+155,+160,+165,+155,+155,+160,+155,+160,+155,+160,-,+155,+155,+155,+155,-,-,+160,+155,+155,+155,+155,+165,+157,-,+160,157.5833,0.3883,0.36829999999999996,165,0.3774,0,1,-0.024,0.0,171.52,2.7152,2.7495000000000003,0.0113,0.0173,0.0601,2.6809000000000003,0.012,0.019
8,4,"Tue Feb 12, 2019",Utah,0,43%,+345,+356,+380,+371,+355,+325,+360,+350,+360,+371,+355,+350,+380,-,+360,+360,+360,+350,-,-,+370,+371,+371,+360,+350,+325,+390,-,+350,359.5833,0.2178,0.1978,390,0.2041,0,1,-0.0308,0.0,405.56,5.0556,5.1367,0.0048,0.0062,0.017,4.9745,0.0051,0.0066
9,4,"Tue Feb 12, 2019",Golden State,0,57%,-430,-413,-430,-480,-425,-450,-460,-450,-460,-480,-425,-450,-430,-,-460,-460,-460,-450,-,-,-490,-480,-480,-460,-450,-450,-430,-,-450,-453.0417,0.8189,0.7988999999999999,-413,0.8051,0,1,-0.0077,0.0,-397.2984,1.2517,1.2567,0.0721,0.1432,0.4377,1.2467,0.02,0.044
