,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_30ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Tue Feb 12, 2019 - Soccer",Manchester United,0,68%,+185,+128,+132,+126,+129,+125,+125,+115,+120,+126,+129,+120,+132,+135,+129,+128,+128,+116,+210,+210,-100,+126,+126,+125,+120,+125,+143,+210,+160,128.5,0.4292,0.4092,210,0.3226,1,0,0.2685,0.1278666666666667,144.38,2.4438,2.4726999999999997,0.0134,0.0212,0.0759,2.4149000000000003,0.0143,0.0237
1,0,"Tue Feb 12, 2019 - Soccer",Paris Saint-Germain,0,30%,+122,+237,+232,+213,+220,+230,+235,+225,+230,+213,+220,+230,+232,+210,+235,+237,+237,+211,+123,+123,+247,+213,+213,+235,+222,+230,+208,+123,+155,212.1071,0.3256,0.3056,247,0.2882,1,0,0.0604,0.02446639676113362,227.23,3.2723,3.3177,0.0086,0.0123,0.0403,3.2269,0.009,0.0134
2,0,"Tue Feb 12, 2019 - Soccer",Draw,0,2%,+213,+254,+250,+246,+235,+250,+255,+235,+245,+246,+235,+245,+250,+256,+253,+254,+254,+233,+247,+247,+268,+246,+246,+255,+239,+250,+264,+247,+250,248.3929,0.2872,0.2672,268,0.2717,0,1,-0.0167,0.0,274.25,3.7425,3.7974,0.0071,0.0098,0.0306,3.6876000000000007,0.0075,0.0106
3,1,"Tue Feb 12, 2019 - Soccer",AS Roma,0,71%,+101,+104,+106,-103,+101,+100,+102,+100,+100,-103,+101,+100,+106,+108,+104,+104,+104,-107,+106,+106,-117,-103,-103,+102,-105,+100,+110,+106,+105,51.2143,0.497,0.477,110,0.4762,1,0,0.0017,0.001545454545454577,109.64,2.0964,2.1183,0.0175,0.0293,0.1082,2.0745,0.019,0.0335
4,1,"Tue Feb 12, 2019 - Soccer",FC Porto,0,27%,+216,+305,+303,+284,+285,+305,+295,+275,+280,+284,+285,+280,+303,+285,+305,+305,+305,+279,+259,+259,+302,+284,+284,+295,+290,+305,+290,+259,+250,287.1429,0.2587,0.2387,305,0.2469,0,1,-0.0333,0.0,318.94,4.1894,4.2532,0.0061,0.0082,0.0244,4.1256,0.0064,0.0088
5,1,"Tue Feb 12, 2019 - Soccer",Draw,0,3%,+228,+253,+250,+254,+230,+250,+255,+235,+245,+254,+230,+245,+250,+246,+253,+253,+253,+230,+241,+241,+266,+254,+254,+255,+240,+250,+248,+241,+240,247.0,0.2884,0.26839999999999997,266,0.2732,0,1,-0.0177,0.0,272.58,3.7258,3.7802999999999995,0.0071,0.0099,0.0309,3.6713,0.0075,0.0107
6,2,"Wednesday, February 13, 2019 - Soccer",Tottenham Hotspur,0,94%,+118,+112,+115,+103,+113,+110,+110,+105,+105,+103,+113,+105,+115,+134,+112,+112,+112,+102,+127,+127,+106,+103,+103,+110,+107,+110,+137,+127,+130,113.1429,0.4701,0.4501,137,0.4219,1,0,0.0667,0.04871313868613142,122.17,2.2217,2.2461,0.0158,0.0258,0.0944,2.1973000000000003,0.017,0.0292
7,2,"Wednesday, February 13, 2019 - Soccer",Borussia Dortmund,0,6%,+184,+266,+261,+254,+250,+260,+235,+245,+250,+254,+250,+250,+261,+211,+266,+266,+266,+242,+205,+205,+244,+254,+254,+235,+254,+260,+218,+205,+190,243.25,0.2926,0.2726,266,0.2732,0,1,-0.0023,0.0,266.84,3.6684,3.7218,0.0073,0.0102,0.0319,3.615,0.0077,0.011
8,2,"Wednesday, February 13, 2019 - Soccer",Draw,0,0%,+223,+255,+256,+263,+225,+255,+245,+250,+255,+263,+225,+255,+256,+256,+255,+255,+255,+237,+244,+244,+253,+263,+263,+245,+243,+255,+270,+244,+250,251.25,0.2849,0.26489999999999997,270,0.2703,0,1,-0.0199,0.0,277.5,3.775,3.8304999999999993,0.007,0.0097,0.0301,3.7195,0.0074,0.0105
9,3,"Wednesday, February 13, 2019 - Soccer",Ajax Amsterdam,0,89%,+230,+289,+284,+275,+290,+295,+275,+275,+285,+275,+290,+285,+284,+273,+289,+289,+289,+267,+232,+232,+289,+275,+275,+275,+279,+295,+282,+232,+260,276.25,0.2664,0.24640000000000004,295,0.2532,0,1,-0.0267,0.0,305.84,4.0584,4.1196,0.0064,0.0086,0.026,3.9972,0.0067,0.0093
