,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value,Kelly
4,2,H2H,Purdue,0,51%,-125,-128,-113,-125,+155,-120,-125,-120,+160,-125,-130,-123,+165,-117,-125,-120,+155,-130,-,-,+155,-125,-125,-125,+145,-120,-,-,+150,-42.125,0.5054337306822633,165,0.37735849056603776,0.4554337306822633,1,1.65,0.20689938630799776,0.1253935674593926
5,2,H2H,Ohio State,0,49%,+105,+110,+103,+105,-175,+100,+105,+100,-180,+105,+110,+103,-175,-104,+105,+100,-175,+110,-,-,-185,+105,+105,+105,-165,+100,-,-,-170,14.25,0.5329822153911481,110,0.47619047619047616,0.4829822153911481,1,1.1,0.014262652321410996,0.012966047564919085
7,3,H2H,La Salle,0,60%,-145,-130,-130,-135,+110,-135,-135,-135,+105,-135,-130,-135,+103,-,-135,-135,+100,-135,-,-,+110,-135,-140,-135,+105,-135,-,-,+105,-61.391304347826086,0.547000389238639,110,0.47619047619047616,0.49700038923863904,1,1.1,0.043700817401141956,0.039728015819219954
8,4,H2H,Fordham,0,59%,+1050,+1230,+1375,-,+145,-,+1330,+1000,+145,-,-,+1200,+145,-,+1175,+1175,+145,-,-,-,+145,-,-,+1330,+145,-,-,-,+145,722.0,0.23097883266850047,1375,0.06779661016949153,0.18097883266850046,1,13.75,1.6694377818603816,0.1214136568625732
9,4,H2H,George Washington,0,41%,-1600,-2623,-1775,-,-165,-,-2080,-2857,-165,-,-,-2000,-165,-,-2275,-2275,-165,-,-,-,-165,-,-,-2080,-165,-,-,-,-165,-1274.6666666666667,0.8007361519607643,-165,0.6226415094339622,0.7507361519607643,1,0.6060606060606061,0.2057277592097123,0.3394508026960253
14,7,H2H,Indiana State,0,100%,+255,+305,+315,+296,+121,+300,+310,+300,+125,+296,+320,+280,+120,+287,+318,+310,+120,+305,-,-,-,+296,+296,+310,+120,+300,-,-,-,261.3636363636364,0.2948206524710314,320,0.23809523809523808,0.2448206524710314,1,3.2,0.02824674037833197,0.00882710636822874
15,7,H2H,George Mason,0,0%,-310,-379,-345,-370,-140,-400,-390,-380,-145,-370,-380,-360,-140,-375,-378,-370,-140,-390,-,-,-,-370,-370,-390,-140,-400,-,-,-,-323.72727272727275,0.7437190321255699,-140,0.5833333333333334,0.6937190321255698,1,0.7142857142857143,0.18923262650097689,0.2649256771013676
18,9,H2H,Illinois State,0,45%,-105,-114,-113,-125,+110,-,-120,-,+115,-125,-,-,+120,-116,-120,-110,+115,-,-,-,+110,-125,-125,-120,+115,-,-,-,+115,-28.5,0.5138917030520339,120,0.45454545454545453,0.4638917030520339,1,1.2,0.020561746714474638,0.017134788928728866
20,10,H2H,Vanderbilt,0,61%,+525,+490,+540,+534,-,+500,+545,+475,+1200,+534,+525,+500,+1375,+485,+500,+500,+1175,+500,-,-,+1250,+534,+534,+545,+900,+500,+470,-,+1125,676.5,0.14274514454118928,1375,0.06779661016949153,0.09274514454118928,1,13.75,0.36799088198254193,0.026762973235093957
22,11,H2H,Florida International,0,60%,-118,-104,+102,+103,+148,+100,+100,+100,+145,+103,+100,-103,+145,-106,+100,+100,+148,-,-,-,+145,+103,+103,+100,+145,+100,-,-,+145,87.91304347826087,0.47150073848105856,148,0.40322580645161293,0.42150073848105857,1,1.48,0.04532183143302515,0.030622859076368344
24,12,H2H,Lafayette,0,31%,-,+500,-,+475,+125,+500,-,+495,+125,+500,-,-,+125,+500,-,+475,+125,+500,+475,-,+125,+500,-,-,+125,+500,-,-,+125,349.72222222222223,0.2759768963946287,500,0.16666666666666666,0.2259768963946287,1,5.0,0.3558613783677722,0.07117227567355444
25,12,H2H,Colgate,0,69%,-,-900,-,-650,-145,-900,-,-645,-145,-900,-,-,-145,-900,-,-650,-145,-900,-650,-,-145,-900,-,-,-145,-900,-,-,-145,-550.5555555555555,0.7727016086076488,-145,0.5918367346938775,0.7227016086076488,1,0.6896551724137931,0.22111651109568242,0.3206189410887395
26,13,H2H,Holy Cross,0,90%,-,-120,-,-102,+138,-120,-,-105,+140,-120,-,-,+140,-120,-,-105,+134,-120,-,-,+140,-120,-,-,+140,-120,-,-,+140,-10.588235294117647,0.48696319912025965,140,0.4166666666666667,0.43696319912025966,1,1.4,0.04871167788862307,0.034794055634730765
28,14,H2H,New Hampshire,0,50%,-,+885,-,+925,+145,+885,-,+925,+140,+885,-,+925,+147,+885,-,+925,+143,+885,-,+925,-,+885,-,+925,+140,+885,-,+925,-,704.4736842105264,0.18165601366973175,925,0.0975609756097561,0.13165601366973173,1,9.25,0.3494741401147503,0.037780988120513545
29,14,H2H,Hartford,0,50%,-,-1350,-,-1400,-155,-1350,-,-1400,-160,-1350,-,-1400,-167,-1350,-,-1400,-163,-1350,-,-1400,-,-1350,-,-1400,-160,-1350,-,-1400,-,-1055.5263157894738,0.8491803741357732,-155,0.607843137254902,0.7991803741357731,1,0.6451612903225806,0.3147806155136913,0.4879099540462215
30,15,H2H,Lehigh,0,75%,-,-220,-,+600,+140,-220,-,+600,+140,-220,-,+600,+140,-220,-,+600,+143,-220,-,+600,-,-220,-,+600,+140,-220,-,+600,-,177.0,0.41529943686376436,600,0.14285714285714285,0.36529943686376437,1,6.0,1.5570960580463507,0.25951600967439176
31,15,H2H,Navy,0,25%,-,+180,-,-900,-160,+180,-,-900,-160,+180,-,-900,-160,+180,-,-900,-163,+180,-,-900,-,+180,-,-900,-160,+180,-,-900,-,-307.5263157894737,0.6253321223503333,180,0.35714285714285715,0.5753321223503333,1,1.8,0.6109299425809332,0.339405523656074
32,16,H2H,Vermont,0,0%,-,-185,+450,+180,+147,-185,+450,+180,+140,-185,+450,+180,+145,-185,+450,+180,+143,-185,+450,+180,+140,-185,+450,+180,+135,-185,+450,+180,+140,146.60714285714286,0.4005951084067793,450,0.18181818181818182,0.3505951084067793,1,4.5,0.9282730962372863,0.2062829102749525
33,16,H2H,Binghamton,0,100%,-,+160,-600,-220,-167,+160,-600,-220,-160,+160,-600,-220,-155,+160,-600,-220,-163,+160,-600,-220,-165,+160,-600,-220,-155,+160,-600,-220,-160,-205.17857142857142,0.6363980262475917,160,0.3846153846153846,0.5863980262475916,1,1.6,0.5246348682437383,0.3278967926523364
34,17,H2H,Bucknell,0,6%,-,-220,+650,-,+130,-220,+650,-,+130,-220,+650,-,+135,-220,+650,-,+125,-220,+650,-,+125,-220,+650,-,+125,-220,+650,-,+125,185.95238095238096,0.41993848778076337,650,0.13333333333333333,0.3699384877807634,1,6.5,1.7745386583557254,0.27300594743934237
35,17,H2H,Stony Brook,0,94%,-,+180,-1000,-,-150,+180,-1000,-,-150,+180,-1000,-,-145,+180,-1000,-,-145,+180,-1000,-,-145,+180,-1000,-,-145,+180,-1000,-,-145,-322.14285714285717,0.620134287481226,180,0.35714285714285715,0.570134287481226,1,1.8,0.5963760049474328,0.33132000274857376
36,18,H2H,Albany,0,60%,-,-340,-200,-,+320,-340,-200,-,+300,-340,-200,-,+315,-340,-200,-,+318,-340,-200,-,+290,-340,-200,-,+300,-340,-200,-,+290,-78.42857142857143,0.5622319824693229,320,0.23809523809523808,0.5122319824693229,1,3.2,1.1513743263711562,0.3598044769909863
37,18,H2H,Sam Houston State,0,40%,-,+280,+170,-,-380,+280,+170,-,-380,+280,+170,-,-345,+280,+170,-,-378,+280,+170,-,-370,+280,+170,-,-370,+280,+170,-,-370,26.523809523809526,0.4736099616523475,280,0.2631578947368421,0.4236099616523475,1,2.8,0.6097178542789203,0.21775637652818586
40,20,H2H,Stephen F. Austin,0,32%,-135,-875,-,+700,-,-875,-,+700,-115,-875,-,+700,-113,-875,-,+700,-110,-875,-,+700,-,-875,-,+700,-,-875,-,+700,-120,-93.5,0.5162064168983593,700,0.125,0.46620641689835934,1,7.0,2.7296513351868743,0.38995019074098203
41,20,H2H,Saint Louis,0,68%,+115,+685,-,-1100,-,+685,-,-1100,-105,+685,-,-1100,+103,+685,-,-1100,-110,+685,-,-1100,-,+685,-,-1100,-,+685,-,-1100,+100,-162.05555555555554,0.5187223275049313,685,0.12738853503184713,0.4687223275049313,1,6.85,2.6794702709137104,0.3911635431990818
42,21,H2H,Duquesne,0,49%,+240,+200,-,+200,-700,+200,-,+200,-700,+200,-,+200,-700,+200,-,+200,-700,+200,-,+200,-700,+200,-,+200,-700,+200,-,+200,-700,-100.0,0.5138888888888888,200,0.3333333333333333,0.46388888888888885,1,2.0,0.3916666666666665,0.19583333333333325
43,21,H2H,Northern Iowa,0,51%,-280,-240,-,-240,+500,-240,-,-240,+500,-240,-,-240,+500,-240,-,-240,+500,-240,-,-240,+500,-240,-,-240,+500,-240,-,-240,+500,6.666666666666667,0.526143790849673,500,0.16666666666666666,0.476143790849673,1,5.0,1.8568627450980382,0.37137254901960765
44,22,H2H,Southern Illinois,0,98%,+255,+180,-,-,-496,+180,-,-,-550,+180,-,-,-580,+180,-,-,-524,+180,-,-,-600,+180,-,-,-580,+180,-,-,-550,-187.14285714285714,0.6019493755168561,180,0.35714285714285715,0.5519493755168561,1,1.8,0.5454582514471971,0.30303236191510946
45,22,H2H,Evansville,0,2%,-310,-220,-,-,+385,-220,-,-,+375,-220,-,-,+434,-220,-,-,+381,-220,-,-,+450,-220,-,-,+434,-220,-,-,+375,92.42857142857143,0.4431420302509742,450,0.18181818181818182,0.3931420302509742,1,4.5,1.1622811663803583,0.2582847036400796
46,23,H2H,Drake,0,62%,+1750,+200,-,-110,-475,+200,-,-110,-560,+200,-,-110,-450,+200,-,-110,-525,+200,-,-110,-,+200,-,-110,-475,+200,-,-110,-530,-119.25,0.5500055210489994,200,0.3333333333333333,0.5000055210489993,1,2.0,0.5000165631469979,0.25000828157349897
47,23,H2H,East Carolina,0,38%,-3500,-240,-,-110,+420,-240,-,-110,+435,-240,-,-110,+375,-240,-,-110,+410,-240,-,-110,-,-240,-,-110,+367,-240,-,-110,+400,-2.15,0.4903902113443858,435,0.1869158878504673,0.44039021134438583,1,4.35,1.356087630692464,0.31174428291780787
48,24,H2H,Tulane,0,60%,+115,+450,-,-125,-580,+450,-,-125,-480,+450,-,-125,-500,+450,-,-125,-495,+450,-,-125,-,+450,-,-125,-560,+450,-,-125,-,-17.894736842105264,0.49241549999530143,450,0.18181818181818182,0.44241549999530144,1,4.5,1.433285249974158,0.31850783332759064
49,24,H2H,South Dakota,0,40%,-135,-600,-,+105,+434,-600,-,+105,+365,-600,-,+105,+400,-600,-,+105,+395,-600,-,+105,-,-600,-,+105,+435,-600,-,+105,-,-75.57894736842105,0.5476784166976837,435,0.1869158878504673,0.4976784166976837,1,4.35,1.6625795293326078,0.3822021906511742
50,25,H2H,North Dakota,0,40%,-,+125,+170,-,-450,+125,+170,-,-500,+125,+170,-,-475,+125,+170,-,-527,+125,+170,-,-500,+125,+170,-,-450,+125,+170,-,-525,-64.85714285714286,0.548253872861043,170,0.37037037037037035,0.498253872861043,1,1.7,0.34528545672481614,0.20310909219106832
51,25,H2H,Southeastern Louisiana,0,60%,-,-145,-200,-,+375,-145,-200,-,+400,-145,-200,-,+420,-145,-200,-,+407,-145,-200,-,+375,-145,-200,-,+350,-145,-200,-,+400,14.857142857142858,0.48773071497189474,420,0.1923076923076923,0.43773071497189475,1,4.2,1.2761997178538529,0.3038570756794888
52,26,H2H,Houston Baptist,0,50%,-,+2000,+115,-,+525,+2000,+115,-,+525,+2000,+115,-,+540,+2000,+115,-,+500,+2000,+115,-,+490,+2000,+115,-,+500,+2000,+115,-,+500,875.4761904761905,0.22547089582121116,2000,0.047619047619047616,0.17547089582121117,1,20.0,2.684888812245435,0.13424444061227175
53,26,H2H,New Orleans,0,50%,-,-4000,-135,-,-675,-4000,-135,-,-675,-4000,-135,-,-660,-4000,-135,-,-700,-4000,-135,-,-690,-4000,-135,-,-700,-4000,-135,-,-700,-1606.904761904762,0.807586626021388,-135,0.574468085106383,0.7575866260213879,1,0.7407407407407407,0.3187619045557494,0.4303285711502617
54,27,H2H,Central Arkansas,0,45%,-,+425,-,-,+100,+425,-,-,+105,+425,-,-,+102,+425,-,-,+100,+425,-,-,-105,+425,-,-,+100,+425,-,-,+100,248.35714285714286,0.34488448844884484,425,0.19047619047619047,0.29488448844884485,1,4.25,0.5481435643564354,0.12897495631916128
55,27,H2H,Nicholls State,0,55%,-,-550,-,-,-120,-550,-,-,-125,-550,-,-,-112,-550,-,-,-120,-550,-,-,-115,-550,-,-,-120,-550,-,-,-120,-334.42857142857144,0.6945454477266676,-112,0.5283018867924528,0.6445454477266676,1,0.8928571428571429,0.22003245462547794,0.24643634918053528
70,35,H2H,Colorado State,0,100%,+150,+800,-,-,+115,+800,-,-,+115,+800,-,-,+115,+800,-,-,+115,+800,-,-,+115,+800,-,-,+115,+800,-,-,+115,457.5,0.2881136950904392,800,0.1111111111111111,0.23811369509043923,1,8.0,1.143023255813953,0.14287790697674413
71,35,H2H,Oakland,0,0%,-170,-1250,-,-,-135,-1250,-,-,-135,-1250,-,-,-135,-1250,-,-,-135,-1250,-,-,-135,-1250,-,-,-135,-1250,-,-,-135,-692.5,0.7501970055161544,-135,0.574468085106383,0.7001970055161544,1,0.7407407407407407,0.21886145404663904,0.2954629629629627
74,37,H2H,William & Mary,0,-,-,+885,-,-,+180,+885,-,-,+180,+885,-,-,+180,+885,-,-,+180,+885,-,-,+180,+885,-,-,+180,+885,-,-,+180,532.5,0.22933284989122554,885,0.10152284263959391,0.17933284989122555,1,8.85,0.7664285714285716,0.08660209846650527
75,37,H2H,NC-Wilmington,0,-,-,-1350,-,-,-220,-1350,-,-,-220,-1350,-,-,-220,-1350,-,-,-220,-1350,-,-,-220,-1350,-,-,-220,-1350,-,-,-220,-785.0,0.8092672413793105,-220,0.6875,0.7592672413793105,1,0.45454545454545453,0.10438871473354244,0.22965517241379338
