Draw
Tottenham Hotspur
Newcastle United
Brighton
Brighton & Hove Albion FC
Watford FC
Burnley FC
Southampton FC
Chelsea FC
Huddersfield Town
Crystal Palace
Fulham FC
Everton FC
Wolverhampton Wanderers
Cardiff City
AFC Bournemouth
Leicester City
Manchester United
Manchester City
Arsenal FC
West Ham United
Liverpool FC
FC Barcelona
Real Madrid
Real Betis Balompie
Valencia CF
Real Valladolid
Villarreal CF
Getafe CF
Celta de Vigo
Atletico Madrid
Espanyol Barcelona
Rayo Vallecano
Girona FC
SD Huesca
CD Leganes
Real Sociedad
Sevilla FC
SD Eibar
Athletic Bilbao
Deportivo Alaves Sad
UD Levante
Dijon FCO
Olympique Marseille
Paris Saint-Germain
FC Girondins Bordeaux
SC Amiens
SM Caen
Racing Strasbourg
SCO Angers
Montpellier HSC
AS Monaco
FC Nantes
Olympique Nimes
Toulouse FC
Stade Reims
EA Guingamp
Lille OSC
Stade Rennes
AS Saint Etienne
OGC Nice
Olympique Lyon
Lazio roma
FC Empoli
AC Chievo Verona
AS Roma
ACF Fiorentina
SSC Napoli
Parma Calcio 1913 S.r.l.
Inter Milan
Bologna FC
Genoa FC
Atalanta Bergamasca
Spal 2013
FC Torino
Udinese Calcio
Sampdoria Genoa
Frosinone Calcio
US Sassuolo
Juventus Turin
AC Milan
Cagliari Calcio
Tiburones Rojos de Veracruz
UANL Tigres
Atlas FC
Puebla FC
Queretaro FC
Pumas Unam
CD Monterrey
CF Lobos B.U.A.P.
CD Pachuca
CA Monarcas Moreila
CF America
Club Leon
Necaxa
Guadalajara Chivas
Deportivo Toluca FC
Cruz Azul
Club Santos Laguna
Xolos de Tijuana
1. FSV Mainz 05
Bayer Leverkusen
Borussia Dortmund
1899 Hoffenheim
RB Leipzig
Eintracht Frankfurt
Monchengladbach
Hertha BSC
Hannover 96
1 FC Nuremberg
SC Freiburg
VfL Wolfsburg
Bayern Munich
FC Schalke 04
Werder Bremen
FC Augsburg
Fortuna Dusseldorf
Vf8 Stuttgart
NAC Breda
AZ Alkmaar
Heracles Almelo
Ajax Amsterdam
SC Heerenveen
PEC Zwolle
VVV Venlo
Willem II Tilburg
Feyenoord Rotterdam
De Graafschap
Fortuna Sittard
SBV Excelsior
FC Emmen
ADO Den Haag
FC Groningen
Vitesse Arnhem
FC Utrecht
PSV Eindhoven
Fenerbahce
FC Zenit St Petersburg
FC Porto
